<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TC-T.US,5,20131112,160500,16.5500,16.5500,16.5400,16.5400,400,0
TC-T.US,5,20131112,163500,16.5500,16.5500,16.5500,16.5500,400,0
TC-T.US,5,20131112,170500,16.5500,16.5500,16.5500,16.5500,100,0
TC-T.US,5,20131112,184000,16.5500,16.5500,16.5500,16.5500,300,0
TC-T.US,5,20131112,185500,16.4500,16.4500,16.4500,16.4500,300,0
TC-T.US,5,20131112,194500,16.4500,16.4500,16.4000,16.4000,300,0
TC-T.US,5,20131112,195500,16.5000,16.5000,16.5000,16.5000,1000,0
TC-T.US,5,20131112,202000,16.3400,16.3400,16.3100,16.3100,2200,0
TC-T.US,5,20131112,211500,16.4000,16.4000,16.4000,16.4000,200,0
TC-T.US,5,20131112,212500,16.2700,16.2700,16.2700,16.2700,2200,0
TC-T.US,5,20131112,213500,16.2700,16.2700,16.2700,16.2700,800,0
TC-T.US,5,20131112,214500,16.4400,16.4400,16.4400,16.4400,800,0
TC-T.US,5,20131112,215000,16.4400,16.4400,16.4400,16.4400,500,0
TC-T.US,5,20131112,215500,16.4400,16.4400,16.4400,16.4400,200,0
TC-T.US,5,20131113,154500,17.0500,17.0500,17.0000,17.0000,1300,0
TC-T.US,5,20131113,155000,16.7400,16.7400,16.7400,16.7400,8276,0
TC-T.US,5,20131113,162000,17.1400,17.1400,17.1400,17.1400,300,0
TC-T.US,5,20131113,163500,16.8500,16.8500,16.8500,16.8500,300,0
TC-T.US,5,20131113,165000,17.1800,17.1800,17.1800,17.1800,1000,0
TC-T.US,5,20131113,173000,17.0000,17.0000,17.0000,17.0000,1930,0
TC-T.US,5,20131113,190000,16.9500,16.9500,16.9500,16.9500,300,0
TC-T.US,5,20131113,193000,16.8800,16.8800,16.8800,16.8800,200,0
TC-T.US,5,20131113,202500,16.8800,16.8800,16.8500,16.8500,800,0
TC-T.US,5,20131113,205000,16.7000,16.7000,16.7000,16.7000,200,0
TC-T.US,5,20131113,212000,16.4500,16.5200,16.4500,16.5200,800,0
TC-T.US,5,20131114,155000,16.3700,16.3700,16.3700,16.3700,100,0
TC-T.US,5,20131114,155500,16.3700,16.3700,16.3700,16.3700,250,0
TC-T.US,5,20131114,160500,16.1500,16.2000,16.1500,16.2000,850,0
TC-T.US,5,20131114,162000,16.2000,16.2500,16.2000,16.2500,1000,0
TC-T.US,5,20131114,162500,16.2500,16.2500,16.2500,16.2500,1200,0
TC-T.US,5,20131114,172000,16.2000,16.2000,16.0900,16.1500,2200,0
TC-T.US,5,20131114,172500,16.1500,16.1500,16.1500,16.1500,500,0
TC-T.US,5,20131114,173500,16.0100,16.0100,16.0100,16.0100,1400,0
TC-T.US,5,20131114,174000,15.9500,15.9500,15.9000,15.9000,3250,0
TC-T.US,5,20131114,180000,15.9000,15.9200,15.9000,15.9000,500,0
TC-T.US,5,20131114,191500,16.1000,16.1000,16.1000,16.1000,441,0
TC-T.US,5,20131114,195000,16.0600,16.0600,16.0600,16.0600,200,0
TC-T.US,5,20131114,203500,16.0600,16.0700,16.0600,16.0700,500,0
TC-T.US,5,20131114,204500,16.0600,16.0600,16.0100,16.0100,700,0
TC-T.US,5,20131114,210000,16.1000,16.1000,16.1000,16.1000,200,0
TC-T.US,5,20131114,215500,16.2200,16.2200,16.2200,16.2200,700,0
TC-T.US,5,20131114,220000,16.0500,16.0500,16.0500,16.0500,150,0
TC-T.US,5,20131115,154000,16.0100,16.0100,15.9500,15.9500,200,0
TC-T.US,5,20131115,155000,15.9500,15.9500,15.9500,15.9500,200,0
TC-T.US,5,20131115,155500,15.8000,15.8000,15.8000,15.8000,200,0
TC-T.US,5,20131115,160000,15.8000,15.8000,15.8000,15.8000,200,0
TC-T.US,5,20131115,160500,15.6500,15.7200,15.5700,15.6600,1200,0
TC-T.US,5,20131115,165500,16.0100,16.0100,16.0100,16.0100,1000,0
TC-T.US,5,20131115,170000,15.8500,15.8500,15.8500,15.8500,200,0
TC-T.US,5,20131115,171500,16.0000,16.0000,16.0000,16.0000,700,0
TC-T.US,5,20131115,174000,15.9400,15.9400,15.9400,15.9400,3031,0
TC-T.US,5,20131115,201500,15.9400,15.9400,15.9400,15.9400,2000,0
TC-T.US,5,20131115,211500,15.9700,15.9700,15.9700,15.9700,100,0
TC-T.US,5,20131115,213000,15.9000,15.9000,15.9000,15.9000,100,0
TC-T.US,5,20131115,220000,15.9900,15.9900,15.9900,15.9900,100,0
TC-T.US,5,20131118,153500,15.9500,15.9500,15.9500,15.9500,200,0
TC-T.US,5,20131118,163500,15.9000,15.9000,15.9000,15.9000,100,0
TC-T.US,5,20131118,170000,15.9000,15.9000,15.9000,15.9000,200,0
TC-T.US,5,20131118,174500,15.8500,15.8500,15.8500,15.8500,600,0
