<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDC.US,5,20131112,153500,43.6600,43.7100,43.5300,43.7100,11597,0
TDC.US,5,20131112,154000,43.7900,43.8000,43.6300,43.7100,16299,0
TDC.US,5,20131112,154500,43.7600,43.8400,43.7500,43.7500,11448,0
TDC.US,5,20131112,155000,43.8200,43.9000,43.7800,43.8600,16784,0
TDC.US,5,20131112,155500,43.8600,43.8700,43.8200,43.8300,9250,0
TDC.US,5,20131112,160000,43.8100,43.9000,43.7600,43.8200,37503,0
TDC.US,5,20131112,160500,43.8400,43.9000,43.7000,43.8200,13398,0
TDC.US,5,20131112,161000,43.8200,43.8700,43.7800,43.7900,11468,0
TDC.US,5,20131112,161500,43.7900,43.8600,43.7500,43.8100,12858,0
TDC.US,5,20131112,162000,43.8100,43.9000,43.7800,43.8900,11000,0
TDC.US,5,20131112,162500,43.8800,43.9000,43.8100,43.9000,15101,0
TDC.US,5,20131112,163000,43.8900,43.9100,43.8700,43.8900,17975,0
TDC.US,5,20131112,163500,43.9000,43.9000,43.8200,43.8900,11107,0
TDC.US,5,20131112,164000,43.9000,43.9000,43.8600,43.8900,14407,0
TDC.US,5,20131112,164500,43.8800,43.9400,43.8800,43.9400,11400,0
TDC.US,5,20131112,165000,43.9200,44.0000,43.9100,44.0000,25745,0
TDC.US,5,20131112,165500,43.9900,43.9900,43.8900,43.9300,7245,0
TDC.US,5,20131112,170000,43.9200,43.9500,43.8900,43.9400,12866,0
TDC.US,5,20131112,170500,43.9400,43.9800,43.9400,43.9800,9660,0
TDC.US,5,20131112,171000,43.9700,43.9700,43.8600,43.8900,5850,0
TDC.US,5,20131112,171500,43.8900,43.9700,43.8700,43.9200,8846,0
TDC.US,5,20131112,172000,43.9200,43.9700,43.9100,43.9200,4582,0
TDC.US,5,20131112,172500,43.9300,43.9300,43.8800,43.9000,8485,0
TDC.US,5,20131112,173000,43.8800,43.9100,43.8300,43.9000,10137,0
TDC.US,5,20131112,173500,43.8900,43.9500,43.8600,43.8900,21605,0
TDC.US,5,20131112,174000,43.8900,43.9400,43.7900,43.7900,17995,0
TDC.US,5,20131112,174500,43.7700,43.8500,43.7700,43.8100,7574,0
