<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEI.US,5,20131112,153500,14.3500,14.3500,14.3500,14.3500,300,0
TEI.US,5,20131112,154000,14.4000,14.4000,14.2900,14.3000,11795,0
TEI.US,5,20131112,155000,14.3500,14.3600,14.3000,14.3100,3805,0
TEI.US,5,20131112,155500,14.3800,14.3800,14.2900,14.3200,3081,0
TEI.US,5,20131112,160500,14.2900,14.2900,14.2900,14.2900,1000,0
TEI.US,5,20131112,161000,14.3400,14.3400,14.3200,14.3400,4632,0
TEI.US,5,20131112,162000,14.3400,14.3400,14.3400,14.3400,200,0
TEI.US,5,20131112,162500,14.3400,14.3600,14.3400,14.3500,4689,0
TEI.US,5,20131112,163000,14.3600,14.3600,14.3600,14.3600,200,0
TEI.US,5,20131112,163500,14.3600,14.3600,14.3600,14.3600,100,0
TEI.US,5,20131112,164000,14.3200,14.3200,14.3100,14.3100,1205,0
TEI.US,5,20131112,165500,14.3400,14.3400,14.3000,14.3000,1600,0
TEI.US,5,20131112,170500,14.3200,14.3200,14.3200,14.3200,1500,0
TEI.US,5,20131112,171500,14.3400,14.3400,14.3100,14.3100,2079,0
TEI.US,5,20131112,173000,14.3100,14.3300,14.3100,14.3300,692,0
TEI.US,5,20131112,174500,14.3100,14.3100,14.3100,14.3100,185,0
TEI.US,5,20131112,175000,14.3100,14.3100,14.3100,14.3100,897,0
TEI.US,5,20131112,175500,14.3100,14.3100,14.3100,14.3100,174,0
TEI.US,5,20131112,180000,14.3100,14.3100,14.3100,14.3100,1800,0
TEI.US,5,20131112,181000,14.3000,14.3000,14.2800,14.2900,4090,0
TEI.US,5,20131112,181500,14.2800,14.2800,14.2600,14.2600,8100,0
TEI.US,5,20131112,182500,14.2500,14.2700,14.2500,14.2700,600,0
TEI.US,5,20131112,183500,14.2700,14.2700,14.2600,14.2700,1238,0
TEI.US,5,20131112,184000,14.2600,14.2700,14.2600,14.2600,2262,0
TEI.US,5,20131112,184500,14.2800,14.2800,14.2600,14.2600,1200,0
TEI.US,5,20131112,185000,14.2700,14.2800,14.2700,14.2800,568,0
TEI.US,5,20131112,185500,14.2800,14.2800,14.2800,14.2800,100,0
TEI.US,5,20131112,190000,14.2900,14.2900,14.2900,14.2900,100,0
TEI.US,5,20131112,190500,14.2800,14.2800,14.2800,14.2800,600,0
TEI.US,5,20131112,193000,14.2700,14.2700,14.2700,14.2700,1643,0
TEI.US,5,20131112,193500,14.2700,14.2700,14.2600,14.2600,955,0
TEI.US,5,20131112,194000,14.2600,14.2800,14.2300,14.2600,14143,0
TEI.US,5,20131112,194500,14.2700,14.2700,14.1800,14.1800,21030,0
TEI.US,5,20131112,195000,14.2100,14.2100,14.2100,14.2100,1700,0
TEI.US,5,20131112,195500,14.2100,14.2100,14.2000,14.2100,870,0
TEI.US,5,20131112,200000,14.2000,14.2100,14.2000,14.2100,369,0
TEI.US,5,20131112,200500,14.1800,14.1900,14.1600,14.1600,3624,0
TEI.US,5,20131112,201000,14.1600,14.1800,14.1300,14.1500,4223,0
TEI.US,5,20131112,201500,14.1700,14.1700,14.1700,14.1700,100,0
TEI.US,5,20131112,202000,14.1700,14.1700,14.1700,14.1700,1370,0
TEI.US,5,20131112,202500,14.1700,14.1700,14.1700,14.1700,100,0
TEI.US,5,20131112,203000,14.1800,14.1800,14.1800,14.1800,360,0
TEI.US,5,20131112,204500,14.1700,14.1800,14.1600,14.1600,4919,0
TEI.US,5,20131112,205000,14.1600,14.1800,14.1600,14.1800,599,0
TEI.US,5,20131112,205500,14.1600,14.1600,14.1600,14.1600,265,0
TEI.US,5,20131112,210000,14.1700,14.1700,14.1600,14.1600,232,0
TEI.US,5,20131112,210500,14.1800,14.1800,14.1800,14.1800,387,0
TEI.US,5,20131112,211000,14.1900,14.1900,14.1900,14.1900,700,0
TEI.US,5,20131112,211500,14.1900,14.1900,14.1900,14.1900,215,0
TEI.US,5,20131112,213000,14.1900,14.1900,14.1900,14.1900,789,0
TEI.US,5,20131112,213500,14.1900,14.1900,14.1900,14.1900,300,0
TEI.US,5,20131112,214000,14.1900,14.2000,14.1900,14.1900,7643,0
TEI.US,5,20131112,214500,14.1900,14.1900,14.1900,14.1900,1109,0
TEI.US,5,20131112,215000,14.1900,14.1900,14.1900,14.1900,200,0
TEI.US,5,20131112,215500,14.1900,14.1900,14.1900,14.1900,300,0
TEI.US,5,20131112,220000,14.1900,14.2000,14.1900,14.1900,1321,0
TEI.US,5,20131113,153500,14.1800,14.1800,14.1500,14.1500,450,0
TEI.US,5,20131113,154000,14.2000,14.2100,14.2000,14.2100,2900,0
TEI.US,5,20131113,155000,14.2700,14.2700,14.2700,14.2700,178,0
TEI.US,5,20131113,160000,14.2500,14.2700,14.2500,14.2700,2700,0
TEI.US,5,20131113,161000,14.2500,14.2500,14.2500,14.2500,200,0
TEI.US,5,20131113,162000,14.2500,14.2600,14.2400,14.2400,3500,0
TEI.US,5,20131113,162500,14.2500,14.2500,14.2300,14.2300,534,0
TEI.US,5,20131113,163000,14.2500,14.2500,14.2500,14.2500,1000,0
TEI.US,5,20131113,163500,14.2300,14.2600,14.2300,14.2600,750,0
TEI.US,5,20131113,164000,14.2500,14.2500,14.2500,14.2500,700,0
TEI.US,5,20131113,164500,14.2100,14.2100,14.2100,14.2100,100,0
TEI.US,5,20131113,165000,14.2500,14.2500,14.2500,14.2500,100,0
TEI.US,5,20131113,165500,14.2500,14.2500,14.2500,14.2500,200,0
TEI.US,5,20131113,170000,14.2200,14.2400,14.2200,14.2400,1153,0
TEI.US,5,20131113,170500,14.2500,14.2500,14.2200,14.2500,1600,0
TEI.US,5,20131113,171000,14.2500,14.2700,14.2500,14.2700,6400,0
TEI.US,5,20131113,171500,14.2700,14.2800,14.2700,14.2800,3200,0
TEI.US,5,20131113,172000,14.2700,14.2700,14.2500,14.2500,977,0
TEI.US,5,20131113,172500,14.2500,14.2500,14.2500,14.2500,4171,0
TEI.US,5,20131113,173000,14.2400,14.2500,14.2400,14.2500,2125,0
TEI.US,5,20131113,174000,14.2400,14.2400,14.1200,14.1200,12185,0
TEI.US,5,20131113,175000,14.1500,14.1600,14.0800,14.1600,3280,0
TEI.US,5,20131113,175500,14.1600,14.1600,14.1400,14.1400,257,0
TEI.US,5,20131113,180000,14.1500,14.1500,14.1400,14.1400,474,0
TEI.US,5,20131113,180500,14.1400,14.1400,14.1300,14.1400,400,0
TEI.US,5,20131113,181000,14.1500,14.1600,14.1300,14.1600,950,0
TEI.US,5,20131113,181500,14.1500,14.1600,14.1500,14.1600,300,0
TEI.US,5,20131113,182000,14.1500,14.1500,14.1500,14.1500,300,0
TEI.US,5,20131113,182500,14.1500,14.1600,14.1500,14.1500,1400,0
TEI.US,5,20131113,183000,14.1500,14.1600,14.1500,14.1500,2000,0
TEI.US,5,20131113,183500,14.1500,14.1700,14.1500,14.1700,5999,0
TEI.US,5,20131113,184000,14.1500,14.1500,14.1500,14.1500,100,0
TEI.US,5,20131113,184500,14.1500,14.1500,14.1500,14.1500,1300,0
TEI.US,5,20131113,185000,14.1500,14.1500,14.1500,14.1500,3300,0
TEI.US,5,20131113,185500,14.1500,14.1600,14.1500,14.1500,1042,0
TEI.US,5,20131113,190000,14.1500,14.1500,14.1500,14.1500,400,0
TEI.US,5,20131113,190500,14.1500,14.1500,14.1500,14.1500,2250,0
TEI.US,5,20131113,191000,14.1500,14.1500,14.1500,14.1500,600,0
TEI.US,5,20131113,191500,14.1500,14.1500,14.1500,14.1500,500,0
TEI.US,5,20131113,192000,14.1500,14.1500,14.1500,14.1500,400,0
TEI.US,5,20131113,192500,14.1600,14.1600,14.1500,14.1600,2416,0
TEI.US,5,20131113,193500,14.1500,14.1500,14.1500,14.1500,400,0
