<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEO.US,5,20131112,153500,19.7500,19.8400,19.7500,19.8400,511,0
TEO.US,5,20131112,154000,19.7600,19.7600,19.7600,19.7600,236,0
TEO.US,5,20131112,154500,19.7500,19.7500,19.7500,19.7500,370,0
TEO.US,5,20131112,155000,19.7500,19.7900,19.6900,19.7900,10682,0
TEO.US,5,20131112,155500,19.7500,19.9200,19.7500,19.9200,15804,0
TEO.US,5,20131112,160000,19.9700,20.0300,19.9300,19.9300,23560,0
TEO.US,5,20131112,160500,19.9000,19.9000,19.9000,19.9000,100,0
TEO.US,5,20131112,161500,19.9900,19.9900,19.9900,19.9900,100,0
TEO.US,5,20131112,162000,20.0100,20.0100,20.0100,20.0100,100,0
TEO.US,5,20131112,162500,19.9500,19.9800,19.9400,19.9600,700,0
TEO.US,5,20131112,163000,19.9700,20.0100,19.9200,19.9500,14168,0
TEO.US,5,20131112,163500,19.9200,19.9500,19.8800,19.8800,5900,0
TEO.US,5,20131112,164000,19.8700,19.8700,19.8400,19.8400,300,0
TEO.US,5,20131112,165000,19.8000,19.8000,19.8000,19.8000,100,0
TEO.US,5,20131112,165500,19.8200,19.8800,19.8200,19.8300,300,0
TEO.US,5,20131112,170000,19.7600,19.7800,19.7400,19.7400,1460,0
TEO.US,5,20131112,170500,19.7400,19.7400,19.7400,19.7400,200,0
TEO.US,5,20131112,171500,19.7600,19.8300,19.7600,19.7700,1445,0
TEO.US,5,20131112,172000,19.8000,19.8000,19.8000,19.8000,100,0
TEO.US,5,20131112,172500,19.7600,19.7900,19.7400,19.7400,475,0
TEO.US,5,20131112,173000,19.7500,19.7600,19.7500,19.7600,300,0
TEO.US,5,20131112,173500,19.7500,19.8100,19.7500,19.8100,800,0
TEO.US,5,20131112,175000,19.7500,19.7500,19.7400,19.7400,600,0
TEO.US,5,20131112,175500,19.7600,19.7700,19.5700,19.6500,1100,0
TEO.US,5,20131112,181000,19.6000,19.6400,19.5800,19.5800,1870,0
TEO.US,5,20131112,181500,19.5800,19.5900,19.5200,19.5200,1300,0
TEO.US,5,20131112,182000,19.5400,19.5400,19.5200,19.5300,1700,0
TEO.US,5,20131112,182500,19.5600,19.5800,19.5300,19.5700,5167,0
TEO.US,5,20131112,183500,19.5800,19.5800,19.5300,19.5600,6000,0
TEO.US,5,20131112,184000,19.5600,19.5800,19.5400,19.5500,1300,0
TEO.US,5,20131112,184500,19.5500,19.5500,19.5500,19.5500,859,0
TEO.US,5,20131112,185000,19.5500,19.5500,19.5500,19.5500,119,0
TEO.US,5,20131112,185500,19.5600,19.5800,19.5200,19.5200,6500,0
TEO.US,5,20131112,190000,19.5600,19.5700,19.5100,19.5100,1300,0
TEO.US,5,20131112,190500,19.5100,19.5200,19.5100,19.5200,300,0
TEO.US,5,20131112,191500,19.5300,19.5300,19.5100,19.5100,500,0
TEO.US,5,20131112,192000,19.5100,19.5100,19.4200,19.4200,4731,0
TEO.US,5,20131112,192500,19.4600,19.5100,19.4600,19.5000,500,0
TEO.US,5,20131112,193000,19.5100,19.5100,19.4800,19.4800,400,0
TEO.US,5,20131112,193500,19.4700,19.4700,19.4500,19.4500,964,0
TEO.US,5,20131112,194000,19.4500,19.4500,19.4400,19.4400,1200,0
TEO.US,5,20131112,194500,19.4500,19.4500,19.3100,19.3100,2975,0
TEO.US,5,20131112,195000,19.3700,19.3700,19.3400,19.3400,200,0
TEO.US,5,20131112,195500,19.3600,19.3800,19.3600,19.3800,300,0
TEO.US,5,20131112,200500,19.3800,19.4100,19.3800,19.4100,1200,0
TEO.US,5,20131112,201000,19.4200,19.4300,19.3800,19.4300,4000,0
TEO.US,5,20131112,201500,19.4500,19.4500,19.3600,19.4200,3600,0
TEO.US,5,20131112,202000,19.3600,19.3600,19.3600,19.3600,100,0
TEO.US,5,20131112,202500,19.3800,19.3800,19.3400,19.3800,420,0
TEO.US,5,20131112,203500,19.3800,19.3800,19.3400,19.3400,826,0
TEO.US,5,20131112,204500,19.3700,19.3800,19.3700,19.3800,300,0
TEO.US,5,20131112,205000,19.3900,19.3900,19.3900,19.3900,100,0
TEO.US,5,20131112,205500,19.3900,19.3900,19.3500,19.3900,1500,0
TEO.US,5,20131112,210000,19.3800,19.3800,19.3400,19.3700,600,0
TEO.US,5,20131112,210500,19.3400,19.3400,19.3200,19.3200,1700,0
TEO.US,5,20131112,211000,19.3400,19.3600,19.3200,19.3500,1700,0
TEO.US,5,20131112,211500,19.3600,19.3600,19.3400,19.3400,200,0
