<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TKC.US,5,20131112,153500,14.0200,14.0600,14.0200,14.0300,111028,0
TKC.US,5,20131112,154000,14.0800,14.1500,14.0800,14.1500,14006,0
TKC.US,5,20131112,154500,14.1500,14.1800,14.1500,14.1500,15100,0
TKC.US,5,20131112,155000,14.1500,14.1600,14.1500,14.1600,1747,0
TKC.US,5,20131112,155500,14.1600,14.1800,14.1600,14.1700,20252,0
TKC.US,5,20131112,160000,14.2000,14.2200,14.2000,14.2200,300,0
TKC.US,5,20131112,160500,14.2300,14.2400,14.2000,14.2300,18767,0
TKC.US,5,20131112,161000,14.2300,14.2300,14.2300,14.2300,2400,0
TKC.US,5,20131112,161500,14.2300,14.2600,14.2300,14.2600,1800,0
TKC.US,5,20131112,162000,14.2700,14.2800,14.2500,14.2600,13212,0
TKC.US,5,20131112,162500,14.2700,14.2700,14.2600,14.2600,14851,0
TKC.US,5,20131112,163000,14.2600,14.2600,14.2600,14.2600,500,0
TKC.US,5,20131112,163500,14.2700,14.3100,14.2700,14.3100,300,0
TKC.US,5,20131112,164000,14.3000,14.3100,14.3000,14.3100,2100,0
TKC.US,5,20131112,164500,14.3200,14.3600,14.3200,14.3600,1600,0
TKC.US,5,20131112,165000,14.3300,14.3500,14.3300,14.3500,1392,0
TKC.US,5,20131112,165500,14.3500,14.3500,14.3500,14.3500,400,0
TKC.US,5,20131112,170500,14.3500,14.3500,14.3400,14.3400,200,0
TKC.US,5,20131112,171000,14.3400,14.3400,14.2700,14.2800,11709,0
TKC.US,5,20131112,171500,14.3400,14.3400,14.3400,14.3400,800,0
TKC.US,5,20131112,172000,14.3400,14.3400,14.3300,14.3300,400,0
TKC.US,5,20131112,172500,14.3300,14.3300,14.2900,14.2900,4700,0
TKC.US,5,20131112,173000,14.3000,14.3000,14.2900,14.2900,1100,0
