<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TK.US,5,20131112,153500,43.9000,44.0000,43.7600,43.7600,2225,0
TK.US,5,20131112,154000,43.7400,43.7400,43.7200,43.7200,802,0
TK.US,5,20131112,154500,43.7000,43.7000,43.6000,43.6000,2800,0
TK.US,5,20131112,155000,43.6500,43.6500,43.6500,43.6500,400,0
TK.US,5,20131112,160000,43.6600,43.6600,43.5600,43.5600,400,0
TK.US,5,20131112,160500,43.6100,43.6200,43.5100,43.5100,1800,0
TK.US,5,20131112,161000,43.5000,43.5000,43.3600,43.4400,2791,0
TK.US,5,20131112,161500,43.4500,43.4600,43.4000,43.4200,1000,0
TK.US,5,20131112,162000,43.4300,43.5600,43.4000,43.5500,1100,0
TK.US,5,20131112,162500,43.5800,43.5800,43.4900,43.5800,1000,0
TK.US,5,20131112,163000,43.5500,43.6000,43.5400,43.5500,1000,0
TK.US,5,20131112,163500,43.5800,43.5800,43.4500,43.5100,1100,0
TK.US,5,20131112,164500,43.5000,43.6400,43.5000,43.6400,500,0
TK.US,5,20131112,165000,43.5800,43.6300,43.5700,43.6100,700,0
TK.US,5,20131112,165500,43.5700,43.5900,43.5200,43.5200,800,0
TK.US,5,20131112,170000,43.5100,43.5100,43.4000,43.4000,600,0
TK.US,5,20131112,170500,43.3800,43.5300,43.3800,43.5300,500,0
TK.US,5,20131112,171000,43.4900,43.5300,43.4600,43.5100,800,0
TK.US,5,20131112,171500,43.4700,43.6000,43.4700,43.5400,700,0
TK.US,5,20131112,172500,43.5700,43.5700,43.4400,43.4400,300,0
TK.US,5,20131112,173000,43.4700,43.4900,43.4700,43.4900,1700,0
TK.US,5,20131112,173500,43.5100,43.5600,43.5100,43.5200,600,0
TK.US,5,20131112,174000,43.5200,43.5500,43.4200,43.5000,1600,0
TK.US,5,20131112,174500,43.4500,43.4800,43.4500,43.4500,700,0
TK.US,5,20131112,175000,43.3900,43.3900,43.3100,43.3900,800,0
TK.US,5,20131112,175500,43.4000,43.4100,43.3600,43.3800,600,0
TK.US,5,20131112,180000,43.3800,43.4900,43.3300,43.4100,8100,0
TK.US,5,20131112,180500,43.4100,43.4400,43.3000,43.3000,2200,0
TK.US,5,20131112,181000,43.2900,43.3100,43.2000,43.2100,742,0
TK.US,5,20131112,181500,43.2200,43.3600,43.2200,43.3100,1800,0
TK.US,5,20131112,182000,43.2800,43.3400,43.2800,43.3100,1000,0
TK.US,5,20131112,182500,43.3100,43.3100,43.3000,43.3000,300,0
TK.US,5,20131112,183000,43.3000,43.3000,43.3000,43.3000,100,0
TK.US,5,20131112,183500,43.3000,43.3100,43.1800,43.2700,1908,0
TK.US,5,20131112,184000,43.2900,43.2900,43.2900,43.2900,400,0
TK.US,5,20131112,184500,43.2900,43.3100,43.2900,43.3000,600,0
TK.US,5,20131112,185000,43.3100,43.3200,43.2900,43.3100,900,0
TK.US,5,20131112,185500,43.3200,43.3800,43.3100,43.3200,900,0
TK.US,5,20131112,190000,43.2800,43.2900,43.2800,43.2900,300,0
TK.US,5,20131112,190500,43.3000,43.3000,43.2400,43.2400,400,0
TK.US,5,20131112,191000,43.2400,43.3800,43.2400,43.3000,7200,0
TK.US,5,20131112,191500,43.3700,43.3700,43.2900,43.2900,1000,0
TK.US,5,20131112,192000,43.2400,43.2700,43.2200,43.2200,400,0
TK.US,5,20131112,192500,43.2400,43.3400,43.2300,43.2900,2300,0
TK.US,5,20131112,193000,43.2700,43.4000,43.2700,43.3200,2300,0
TK.US,5,20131112,193500,43.3000,43.3000,43.2200,43.2200,600,0
TK.US,5,20131112,194000,43.1900,43.2200,43.1800,43.2200,700,0
TK.US,5,20131112,194500,43.2000,43.2000,43.1300,43.1300,900,0
TK.US,5,20131112,195000,43.2100,43.2300,43.2100,43.2200,500,0
TK.US,5,20131112,195500,43.2000,43.2700,43.1900,43.2300,1200,0
TK.US,5,20131112,200000,43.2100,43.2600,43.2100,43.2600,1661,0
TK.US,5,20131112,200500,43.2500,43.3100,43.2500,43.2800,1100,0
TK.US,5,20131112,201000,43.2700,43.3300,43.2400,43.3300,1200,0
TK.US,5,20131112,201500,43.3000,43.3100,43.2800,43.2900,1400,0
TK.US,5,20131112,202000,43.2900,43.3600,43.2900,43.3300,1261,0
TK.US,5,20131112,202500,43.2800,43.3000,43.2800,43.3000,655,0
TK.US,5,20131112,203000,43.2900,43.3000,43.2600,43.2600,2003,0
TK.US,5,20131112,203500,43.2700,43.3900,43.2700,43.3300,1900,0
TK.US,5,20131112,204000,43.3400,43.4000,43.3000,43.3100,1800,0
TK.US,5,20131112,204500,43.3100,43.3400,43.2900,43.3200,1100,0
TK.US,5,20131112,205000,43.3400,43.3600,43.3300,43.3600,800,0
TK.US,5,20131112,205500,43.3500,43.3500,43.3500,43.3500,300,0
TK.US,5,20131112,210000,43.3300,43.3400,43.3100,43.3400,2400,0
TK.US,5,20131112,210500,43.3800,43.3800,43.3700,43.3700,300,0
TK.US,5,20131112,211000,43.3600,43.3600,43.3300,43.3300,1200,0
TK.US,5,20131112,211500,43.3000,43.4000,43.3000,43.4000,2800,0
TK.US,5,20131112,212000,43.3700,43.3900,43.3400,43.3900,1546,0
TK.US,5,20131112,212500,43.3700,43.4000,43.3000,43.3000,3000,0
TK.US,5,20131112,213000,43.3300,43.3300,43.2800,43.2800,1950,0
TK.US,5,20131112,213500,43.2500,43.3400,43.2500,43.3200,4700,0
TK.US,5,20131112,214000,43.2800,43.3000,43.2800,43.2900,3600,0
TK.US,5,20131112,214500,43.2900,43.3600,43.2500,43.2600,5588,0
TK.US,5,20131112,215000,43.2400,43.2500,43.1500,43.1800,5589,0
TK.US,5,20131112,215500,43.1900,43.2700,43.1900,43.2400,11729,0
TK.US,5,20131112,220000,43.2300,43.2800,43.2200,43.2700,11079,0
TK.US,5,20131112,220500,43.2400,43.2400,43.2400,43.2400,12642,0
TK.US,5,20131113,153500,43.1000,43.1000,43.1000,43.1000,200,0
TK.US,5,20131113,154000,42.9400,42.9400,42.9400,42.9400,100,0
TK.US,5,20131113,154500,42.8900,42.8900,42.8100,42.8300,600,0
TK.US,5,20131113,155000,42.7800,42.7800,42.7800,42.7800,100,0
TK.US,5,20131113,155500,42.8100,42.8100,42.6100,42.6400,3200,0
TK.US,5,20131113,160000,42.6300,42.8900,42.6300,42.8900,3000,0
TK.US,5,20131113,160500,42.7800,42.8700,42.7800,42.8700,1000,0
TK.US,5,20131113,161000,42.9200,42.9300,42.8100,42.8100,500,0
TK.US,5,20131113,161500,42.8100,42.8700,42.8100,42.8700,200,0
TK.US,5,20131113,162000,42.9000,42.9900,42.8900,42.9900,1325,0
TK.US,5,20131113,162500,42.9900,43.0400,42.9900,43.0400,200,0
TK.US,5,20131113,163000,43.0800,43.1200,43.0500,43.0500,850,0
TK.US,5,20131113,163500,43.0700,43.1400,43.0700,43.1200,400,0
TK.US,5,20131113,164000,43.1300,43.3000,43.1000,43.3000,5400,0
TK.US,5,20131113,164500,43.2300,43.2300,43.1200,43.1900,8117,0
TK.US,5,20131113,165000,43.2000,43.2300,43.1700,43.1700,1900,0
TK.US,5,20131113,165500,43.2200,43.2300,43.2000,43.2000,1288,0
TK.US,5,20131113,170000,43.1800,43.2600,43.1800,43.2600,5300,0
TK.US,5,20131113,170500,43.2700,43.3000,43.2000,43.2100,1000,0
TK.US,5,20131113,171000,43.3100,43.3100,43.2400,43.2700,500,0
TK.US,5,20131113,171500,43.2100,43.2800,43.2100,43.2800,800,0
TK.US,5,20131113,172000,43.2600,43.2600,43.2100,43.2600,500,0
TK.US,5,20131113,172500,43.2700,43.3000,43.2200,43.2500,2660,0
TK.US,5,20131113,173000,43.3100,43.3500,43.2700,43.2700,3961,0
TK.US,5,20131113,173500,43.2900,43.3000,43.2600,43.2600,700,0
TK.US,5,20131113,174000,43.2700,43.2800,43.0500,43.0500,2510,0
TK.US,5,20131113,174500,43.1000,43.1500,43.1000,43.1500,929,0
TK.US,5,20131113,175000,43.1900,43.3200,43.1900,43.3000,2900,0
TK.US,5,20131113,175500,43.3300,43.3600,43.2500,43.3000,4200,0
TK.US,5,20131113,180000,43.2600,43.2600,43.2000,43.2000,451,0
TK.US,5,20131113,180500,43.2700,43.2700,43.1400,43.1700,700,0
TK.US,5,20131113,181000,43.1300,43.1300,43.1300,43.1300,100,0
TK.US,5,20131113,181500,43.1300,43.1800,43.1300,43.1700,1586,0
TK.US,5,20131113,182000,43.1800,43.3100,43.1800,43.2800,1999,0
TK.US,5,20131113,182500,43.3100,43.4200,43.3100,43.4200,300,0
TK.US,5,20131113,183000,43.3600,43.3600,43.3600,43.3600,100,0
TK.US,5,20131113,183500,43.3500,43.3500,43.2800,43.3200,1100,0
TK.US,5,20131113,184000,43.2900,43.2900,43.2700,43.2900,650,0
TK.US,5,20131113,184500,43.2900,43.2900,43.2800,43.2800,200,0
TK.US,5,20131113,185500,43.3000,43.4200,43.2800,43.4200,1700,0
TK.US,5,20131113,190000,43.3800,43.4100,43.3500,43.3500,440,0
TK.US,5,20131113,190500,43.3500,43.3500,43.2200,43.2600,2300,0
TK.US,5,20131113,191000,43.2700,43.3300,43.2600,43.3200,1100,0
TK.US,5,20131113,191500,43.3300,43.3300,43.3300,43.3300,100,0
TK.US,5,20131113,192000,43.3300,43.3300,43.3300,43.3300,100,0
TK.US,5,20131113,192500,43.3200,43.3200,43.3200,43.3200,100,0
TK.US,5,20131113,193000,43.3200,43.4300,43.2900,43.4300,1700,0
TK.US,5,20131113,193500,43.3900,43.4500,43.3900,43.4400,984,0
TK.US,5,20131113,194000,43.4300,43.4800,43.4300,43.4800,200,0
TK.US,5,20131113,194500,43.4500,43.4500,43.4500,43.4500,200,0
TK.US,5,20131113,195000,43.4100,43.4500,43.4000,43.4500,1200,0
TK.US,5,20131113,195500,43.4700,43.4700,43.4200,43.4400,1300,0
TK.US,5,20131113,200000,43.4500,43.4800,43.3900,43.3900,800,0
TK.US,5,20131113,200500,43.4400,43.4400,43.4300,43.4400,600,0
TK.US,5,20131113,201000,43.4800,43.4800,43.4400,43.4400,600,0
TK.US,5,20131113,202000,43.4500,43.4900,43.4200,43.4400,1500,0
TK.US,5,20131113,202500,43.4700,43.4700,43.4700,43.4700,100,0
TK.US,5,20131113,203000,43.4800,43.4800,43.4500,43.4700,1000,0
TK.US,5,20131113,203500,43.4500,43.4800,43.4300,43.4300,500,0
TK.US,5,20131113,204000,43.4400,43.4400,43.4400,43.4400,400,0
TK.US,5,20131113,204500,43.4000,43.4000,43.3600,43.3600,1000,0
TK.US,5,20131113,205000,43.3400,43.3600,43.3400,43.3600,800,0
TK.US,5,20131113,205500,43.3800,43.3800,43.3800,43.3800,100,0
TK.US,5,20131113,210000,43.3700,43.3700,43.3400,43.3700,1861,0
TK.US,5,20131113,210500,43.3500,43.3700,43.3400,43.3700,900,0
TK.US,5,20131113,211000,43.3600,43.3600,43.3600,43.3600,900,0
TK.US,5,20131113,211500,43.3500,43.3500,43.3000,43.3100,1600,0
TK.US,5,20131113,212000,43.3300,43.3400,43.2900,43.3200,3151,0
TK.US,5,20131113,212500,43.3200,43.3300,43.2800,43.3300,3600,0
TK.US,5,20131113,213000,43.3300,43.3700,43.3100,43.3200,2000,0
TK.US,5,20131113,213500,43.3200,43.3600,43.3200,43.3500,2500,0
TK.US,5,20131113,214000,43.3700,43.4100,43.3700,43.4000,3261,0
TK.US,5,20131113,214500,43.4000,43.5100,43.4000,43.4600,4143,0
TK.US,5,20131113,215000,43.4900,43.5500,43.4800,43.4900,10048,0
TK.US,5,20131113,215500,43.5100,43.6000,43.5100,43.6000,16073,0
TK.US,5,20131113,220000,43.6100,43.6200,43.5600,43.6100,13536,0
TK.US,5,20131113,220500,43.5800,43.5800,43.5800,43.5800,15942,0
TK.US,5,20131114,153500,43.6400,43.6400,43.6200,43.6200,3662,0
TK.US,5,20131114,154000,43.6200,43.6200,43.6200,43.6200,300,0
TK.US,5,20131114,154500,43.6200,43.6200,43.6200,43.6200,200,0
TK.US,5,20131114,155000,43.6100,43.6100,43.5300,43.5700,1200,0
TK.US,5,20131114,155500,43.5400,43.6000,43.5400,43.6000,1300,0
TK.US,5,20131114,160000,43.6300,43.6400,43.5700,43.6100,1000,0
TK.US,5,20131114,160500,43.5800,43.5800,43.5200,43.5500,1100,0
TK.US,5,20131114,161000,43.6100,43.6100,43.5000,43.5000,700,0
TK.US,5,20131114,161500,43.5100,43.6200,43.5100,43.5900,2875,0
TK.US,5,20131114,162000,43.5900,43.5900,43.5500,43.5900,1200,0
TK.US,5,20131114,162500,43.5700,43.5800,43.5100,43.5500,1900,0
TK.US,5,20131114,163000,43.5700,43.5700,43.5600,43.5600,500,0
TK.US,5,20131114,163500,43.6000,43.6500,43.5900,43.6200,1240,0
TK.US,5,20131114,164000,43.6200,43.6200,43.6200,43.6200,207,0
TK.US,5,20131114,164500,43.6500,43.6500,43.6400,43.6400,300,0
TK.US,5,20131114,165000,43.7000,43.7900,43.7000,43.7900,400,0
TK.US,5,20131114,165500,43.7600,43.7600,43.7400,43.7600,1400,0
TK.US,5,20131114,170000,43.7900,43.8400,43.7900,43.8200,3300,0
TK.US,5,20131114,170500,43.8000,43.8000,43.7600,43.7800,700,0
TK.US,5,20131114,171000,43.8200,43.8300,43.8200,43.8200,1400,0
TK.US,5,20131114,171500,43.8800,43.8800,43.8300,43.8300,1300,0
TK.US,5,20131114,172000,43.7900,43.8200,43.7900,43.8200,700,0
TK.US,5,20131114,172500,43.8500,43.8500,43.8200,43.8500,2600,0
TK.US,5,20131114,173000,43.8500,43.9000,43.8500,43.9000,1100,0
TK.US,5,20131114,173500,43.8600,43.8600,43.7700,43.7800,2400,0
TK.US,5,20131114,174000,43.7800,43.8100,43.7800,43.8000,1000,0
