<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLI.US,5,20131112,153500,12.1000,12.1000,12.1000,12.1000,500,0
TLI.US,5,20131112,154500,12.0900,12.0900,12.0700,12.0700,300,0
TLI.US,5,20131112,155000,12.0900,12.0900,12.0900,12.0900,852,0
TLI.US,5,20131112,160000,12.0800,12.0800,12.0800,12.0800,100,0
TLI.US,5,20131112,160500,12.0800,12.0800,12.0800,12.0800,100,0
TLI.US,5,20131112,161000,12.0800,12.0800,12.0800,12.0800,100,0
TLI.US,5,20131112,161500,12.0700,12.0700,12.0700,12.0700,500,0
TLI.US,5,20131112,163000,12.0700,12.0700,12.0700,12.0700,100,0
TLI.US,5,20131112,163500,12.0700,12.0700,12.0700,12.0700,100,0
TLI.US,5,20131112,164000,12.0600,12.0600,12.0600,12.0600,500,0
TLI.US,5,20131112,164500,12.0500,12.0500,12.0500,12.0500,500,0
TLI.US,5,20131112,165000,12.0400,12.0400,12.0400,12.0400,1550,0
TLI.US,5,20131112,165500,12.0400,12.0400,12.0400,12.0400,100,0
TLI.US,5,20131112,170000,12.0400,12.0400,12.0400,12.0400,450,0
TLI.US,5,20131112,171000,12.0500,12.0500,12.0500,12.0500,100,0
TLI.US,5,20131112,171500,12.0500,12.0500,12.0500,12.0500,100,0
TLI.US,5,20131112,172000,12.0500,12.0500,12.0500,12.0500,100,0
TLI.US,5,20131112,172500,12.0500,12.0500,12.0500,12.0500,128,0
TLI.US,5,20131112,202500,12.0200,12.0200,12.0200,12.0200,800,0
TLI.US,5,20131112,212500,12.0600,12.0600,12.0600,12.0600,1200,0
TLI.US,5,20131112,213000,12.0400,12.0400,12.0200,12.0300,3000,0
TLI.US,5,20131112,215000,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131113,153500,12.0700,12.0700,12.0700,12.0700,100,0
TLI.US,5,20131113,154000,12.0200,12.0200,12.0200,12.0200,100,0
TLI.US,5,20131113,154500,12.0500,12.0500,12.0500,12.0500,558,0
TLI.US,5,20131113,155000,12.0700,12.0700,12.0700,12.0700,116,0
TLI.US,5,20131113,161000,12.0400,12.0400,12.0300,12.0300,553,0
TLI.US,5,20131113,162000,12.0300,12.0300,12.0300,12.0300,200,0
TLI.US,5,20131113,164000,12.0200,12.0400,12.0200,12.0400,226,0
TLI.US,5,20131113,171500,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131113,182000,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131113,185500,12.0300,12.0300,12.0300,12.0300,2342,0
TLI.US,5,20131113,191500,12.0300,12.0300,12.0300,12.0300,1126,0
TLI.US,5,20131113,193000,12.0400,12.0400,12.0400,12.0400,150,0
TLI.US,5,20131113,195000,12.0400,12.0400,12.0400,12.0400,100,0
TLI.US,5,20131113,205000,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131113,215000,12.0300,12.0300,12.0300,12.0300,1461,0
TLI.US,5,20131113,220000,12.0400,12.0400,12.0400,12.0400,240,0
TLI.US,5,20131114,154500,12.0400,12.0400,12.0300,12.0300,692,0
TLI.US,5,20131114,155000,12.0400,12.0400,12.0400,12.0400,1270,0
TLI.US,5,20131114,155500,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131114,160500,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131114,161000,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131114,161500,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131114,162500,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131114,163000,12.0300,12.0300,12.0300,12.0300,100,0
TLI.US,5,20131114,164500,12.0300,12.0300,12.0300,12.0300,208,0
TLI.US,5,20131114,165000,12.0400,12.0400,12.0400,12.0400,500,0
TLI.US,5,20131114,171000,12.0300,12.0300,12.0300,12.0300,700,0
TLI.US,5,20131114,172000,12.0400,12.0400,12.0400,12.0400,100,0
TLI.US,5,20131114,172500,12.0300,12.0300,12.0300,12.0300,491,0
TLI.US,5,20131114,180500,12.0400,12.0400,12.0400,12.0400,1665,0
TLI.US,5,20131114,181500,12.0500,12.0600,12.0500,12.0600,1300,0
TLI.US,5,20131114,190500,12.0500,12.0500,12.0500,12.0500,1200,0
TLI.US,5,20131114,191000,12.0500,12.0500,12.0500,12.0500,500,0
TLI.US,5,20131114,192500,12.0600,12.0600,12.0600,12.0600,1600,0
TLI.US,5,20131114,193500,12.0600,12.0600,12.0600,12.0600,100,0
TLI.US,5,20131114,194000,12.0500,12.0600,12.0500,12.0600,400,0
TLI.US,5,20131114,213000,12.0900,12.0900,12.0800,12.0800,2000,0
