<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLLP.US,5,20131112,153500,52.6500,52.6500,52.6200,52.6200,300,0
TLLP.US,5,20131112,154000,53.4100,53.4100,53.4000,53.4000,300,0
TLLP.US,5,20131112,154500,53.4500,53.4500,53.1700,53.4100,900,0
TLLP.US,5,20131112,155500,53.4300,53.4800,53.4200,53.4800,600,0
TLLP.US,5,20131112,160000,53.4400,53.5300,53.4400,53.5100,700,0
TLLP.US,5,20131112,160500,53.5500,53.5600,53.5000,53.5000,500,0
TLLP.US,5,20131112,161000,53.7100,53.8400,53.5500,53.5500,1600,0
TLLP.US,5,20131112,161500,53.5700,53.5700,53.5600,53.5600,300,0
TLLP.US,5,20131112,163500,53.6400,53.6400,53.6400,53.6400,100,0
TLLP.US,5,20131112,164000,53.6600,53.6600,53.6600,53.6600,100,0
TLLP.US,5,20131112,164500,53.8000,53.8000,53.7900,53.8000,600,0
TLLP.US,5,20131112,165000,53.6300,54.0000,53.6300,54.0000,9204,0
TLLP.US,5,20131112,165500,53.9900,53.9900,53.7700,53.8800,1900,0
TLLP.US,5,20131112,171000,53.9000,53.9000,53.7800,53.8500,2376,0
TLLP.US,5,20131112,171500,53.9400,54.0000,53.9400,53.9900,1100,0
TLLP.US,5,20131112,172000,53.9700,54.0000,53.8400,53.8400,300,0
TLLP.US,5,20131112,172500,53.8100,53.8100,53.8100,53.8100,100,0
TLLP.US,5,20131112,173000,53.8100,53.8100,53.8100,53.8100,100,0
TLLP.US,5,20131112,174000,53.8400,53.8400,53.8400,53.8400,110,0
TLLP.US,5,20131112,174500,53.8000,53.9000,53.8000,53.8900,800,0
TLLP.US,5,20131112,175000,53.8000,53.8000,53.8000,53.8000,100,0
TLLP.US,5,20131112,175500,53.8500,53.8500,53.8500,53.8500,100,0
TLLP.US,5,20131112,181000,53.8300,53.8300,53.8300,53.8300,100,0
TLLP.US,5,20131112,182000,53.6400,53.6400,53.6400,53.6400,122,0
