<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMHC.US,5,20131112,153500,20.8000,20.9200,20.7900,20.9100,588,0
TMHC.US,5,20131112,154000,20.9200,21.0000,20.7600,20.8100,1400,0
TMHC.US,5,20131112,154500,20.9000,21.0400,20.8800,21.0400,3800,0
TMHC.US,5,20131112,155000,21.0600,21.2300,21.0200,21.1900,6855,0
TMHC.US,5,20131112,155500,21.1800,21.2300,21.0900,21.2300,2800,0
TMHC.US,5,20131112,160000,21.1500,21.2700,20.9500,21.1300,15376,0
TMHC.US,5,20131112,160500,21.0900,21.1200,20.9300,20.9400,2710,0
TMHC.US,5,20131112,161000,20.9800,21.1400,20.9800,21.1100,4274,0
TMHC.US,5,20131112,161500,21.1000,21.1000,20.9100,20.9100,2847,0
TMHC.US,5,20131112,162000,20.9600,21.1500,20.9600,21.1200,4630,0
TMHC.US,5,20131112,162500,21.1300,21.1300,20.9900,20.9900,4377,0
TMHC.US,5,20131112,163000,21.0600,21.0700,21.0000,21.0600,2100,0
TMHC.US,5,20131112,163500,21.0000,21.0600,20.9500,20.9500,1700,0
TMHC.US,5,20131112,164000,20.9200,21.0200,20.7700,20.8800,6200,0
TMHC.US,5,20131112,164500,20.9100,20.9700,20.8800,20.9100,1100,0
TMHC.US,5,20131112,165000,20.9600,20.9600,20.7600,20.7600,2100,0
TMHC.US,5,20131112,165500,20.7100,20.7200,20.6600,20.6600,3350,0
TMHC.US,5,20131112,170000,20.6900,20.7300,20.6500,20.6500,2800,0
TMHC.US,5,20131112,170500,20.6300,20.6900,20.5400,20.6600,6128,0
TMHC.US,5,20131112,171000,20.6900,20.6900,20.5700,20.5700,1500,0
TMHC.US,5,20131112,171500,20.5800,20.7000,20.5500,20.7000,1700,0
TMHC.US,5,20131112,172000,20.7000,20.8200,20.6900,20.8100,1300,0
TMHC.US,5,20131112,172500,20.8000,20.8000,20.6000,20.6000,1900,0
