<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMO.US,5,20131112,153500,98.0900,98.0900,97.3800,97.5900,16246,0
TMO.US,5,20131112,154000,97.6700,97.8800,97.5900,97.6000,4877,0
TMO.US,5,20131112,154500,97.6200,97.9800,97.6200,97.7600,6644,0
TMO.US,5,20131112,155000,97.7700,97.9200,97.7700,97.8200,5504,0
TMO.US,5,20131112,155500,97.7900,97.8700,97.6800,97.8300,7541,0
TMO.US,5,20131112,160000,97.8600,97.9100,97.7700,97.7700,4635,0
TMO.US,5,20131112,160500,97.8400,97.8600,97.6800,97.7400,4712,0
TMO.US,5,20131112,161000,97.6800,97.7100,97.5500,97.5600,5500,0
TMO.US,5,20131112,161500,97.6000,97.7300,97.6000,97.6700,5000,0
TMO.US,5,20131112,162000,97.6200,97.9500,97.5200,97.9100,24380,0
TMO.US,5,20131112,162500,97.9100,97.9300,97.8000,97.8700,31326,0
TMO.US,5,20131112,163000,97.8400,98.0100,97.8400,97.9800,13409,0
TMO.US,5,20131112,163500,97.9800,98.0900,97.9100,97.9900,5137,0
TMO.US,5,20131112,164000,97.9600,98.0400,97.9300,98.0300,3100,0
TMO.US,5,20131112,164500,98.0100,98.0700,97.9600,98.0200,4900,0
TMO.US,5,20131112,165000,97.9800,98.1300,97.9600,98.0100,30871,0
TMO.US,5,20131112,165500,98.0600,98.0600,97.9700,98.0000,12500,0
TMO.US,5,20131112,170000,98.0100,98.0600,98.0000,98.0000,6500,0
TMO.US,5,20131112,170500,98.0000,98.0600,98.0000,98.0400,10010,0
TMO.US,5,20131112,171000,98.0600,98.1000,98.0000,98.0000,4400,0
TMO.US,5,20131112,171500,98.0400,98.1700,98.0400,98.1600,5874,0
TMO.US,5,20131112,172000,98.1500,98.1500,98.0500,98.0700,4198,0
TMO.US,5,20131112,172500,98.0600,98.1500,98.0100,98.1200,33218,0
TMO.US,5,20131112,173000,98.1000,98.3500,98.0800,98.3500,32905,0
TMO.US,5,20131112,173500,98.3400,98.4500,98.2500,98.4000,52650,0
TMO.US,5,20131112,174000,98.3700,98.3700,98.0500,98.0500,4385,0
TMO.US,5,20131112,174500,98.0400,98.0800,97.9200,97.9400,14600,0
TMO.US,5,20131112,175000,98.0000,98.0000,97.7200,97.7300,13017,0
TMO.US,5,20131112,175500,97.7400,97.8800,97.6800,97.6800,9350,0
TMO.US,5,20131112,180000,97.6900,97.7700,97.6900,97.7000,14713,0
TMO.US,5,20131112,180500,97.7800,97.8600,97.7500,97.7700,6418,0
TMO.US,5,20131112,181000,97.7600,97.7800,97.5700,97.6200,4212,0
TMO.US,5,20131112,181500,97.6300,97.6800,97.6000,97.6800,5500,0
TMO.US,5,20131112,182000,97.7000,97.7100,97.6000,97.6000,6716,0
TMO.US,5,20131112,182500,97.5900,97.6400,97.5100,97.5800,8007,0
TMO.US,5,20131112,183000,97.5400,97.6100,97.4700,97.5500,5940,0
TMO.US,5,20131112,183500,97.5400,97.5400,97.3900,97.4700,11274,0
TMO.US,5,20131112,184000,97.4700,97.6400,97.4700,97.6200,17634,0
TMO.US,5,20131112,184500,97.6200,97.7000,97.6200,97.6400,21204,0
TMO.US,5,20131112,185000,97.6400,97.6800,97.6100,97.6300,9543,0
TMO.US,5,20131112,185500,97.6700,97.6700,97.6200,97.6700,8971,0
TMO.US,5,20131112,190000,97.6500,97.7000,97.5700,97.6400,30097,0
TMO.US,5,20131112,190500,97.6500,97.6700,97.5100,97.5300,18897,0
TMO.US,5,20131112,191000,97.5300,97.5400,97.4800,97.5200,11100,0
TMO.US,5,20131112,191500,97.5300,97.7300,97.5300,97.7100,7675,0
TMO.US,5,20131112,192000,97.7000,97.7000,97.6000,97.6300,10960,0
TMO.US,5,20131112,192500,97.6400,97.6600,97.6000,97.6200,5730,0
TMO.US,5,20131112,193000,97.6200,97.6600,97.4900,97.4900,26599,0
TMO.US,5,20131112,193500,97.4800,97.5300,97.3500,97.3900,8400,0
TMO.US,5,20131112,194000,97.3700,97.4400,97.2800,97.4400,10331,0
TMO.US,5,20131112,194500,97.4400,97.4600,97.4100,97.4300,4996,0
TMO.US,5,20131112,195000,97.4400,97.5200,97.4400,97.5000,9619,0
TMO.US,5,20131112,195500,97.5000,97.5000,97.4200,97.4200,5800,0
TMO.US,5,20131112,200000,97.4200,97.5100,97.4200,97.4400,8603,0
TMO.US,5,20131112,200500,97.4500,97.5100,97.4500,97.5000,7912,0
TMO.US,5,20131112,201000,97.4900,97.5100,97.4600,97.4700,3714,0
TMO.US,5,20131112,201500,97.4600,97.4600,97.4300,97.4400,5500,0
TMO.US,5,20131112,202000,97.4300,97.4600,97.3900,97.4100,20661,0
TMO.US,5,20131112,202500,97.4100,97.4700,97.4100,97.4400,10062,0
TMO.US,5,20131112,203000,97.4400,97.4500,97.4000,97.4000,3458,0
TMO.US,5,20131112,203500,97.4000,97.4400,97.3800,97.4400,10903,0
TMO.US,5,20131112,204000,97.4400,97.5100,97.4300,97.5100,21531,0
TMO.US,5,20131112,204500,97.5200,97.5500,97.4700,97.5100,5074,0
TMO.US,5,20131112,205000,97.5000,97.5900,97.4900,97.5900,6710,0
TMO.US,5,20131112,205500,97.6200,97.6300,97.5100,97.5200,4720,0
TMO.US,5,20131112,210000,97.5300,97.6800,97.5000,97.6700,10591,0
TMO.US,5,20131112,210500,97.6500,97.7600,97.6500,97.7500,9741,0
TMO.US,5,20131112,211000,97.7500,97.8000,97.7500,97.8000,9364,0
TMO.US,5,20131112,211500,97.8000,97.8800,97.8000,97.8300,8790,0
TMO.US,5,20131112,212000,97.8300,97.8400,97.8100,97.8100,7880,0
TMO.US,5,20131112,212500,97.8200,97.8300,97.7400,97.7400,14497,0
TMO.US,5,20131112,213000,97.7300,97.7400,97.7100,97.7200,7098,0
TMO.US,5,20131112,213500,97.7100,97.7100,97.6600,97.7000,12797,0
TMO.US,5,20131112,214000,97.7000,97.8000,97.7000,97.7700,10997,0
TMO.US,5,20131112,214500,97.7600,97.8200,97.7400,97.7400,10529,0
TMO.US,5,20131112,215000,97.7300,97.7400,97.6500,97.6800,26698,0
TMO.US,5,20131112,215500,97.6800,97.6800,97.5800,97.6000,22338,0
TMO.US,5,20131112,220000,97.5900,97.7600,97.5900,97.7100,48790,0
TMO.US,5,20131112,220500,97.6900,97.6900,97.6900,97.6900,51640,0
