<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TM.US,5,20131112,153500,126.4400,126.9400,126.3900,126.6800,7500,0
TM.US,5,20131112,154000,126.7200,126.9300,126.6200,126.9000,10222,0
TM.US,5,20131112,154500,126.7900,126.8000,126.5800,126.6100,4917,0
TM.US,5,20131112,155000,126.6100,126.8600,126.6100,126.8600,1266,0
TM.US,5,20131112,155500,126.8500,126.8700,126.5900,126.7200,4900,0
TM.US,5,20131112,160000,126.7000,126.8000,126.6200,126.8000,3328,0
TM.US,5,20131112,160500,126.8000,126.8600,126.6700,126.6700,2200,0
TM.US,5,20131112,161000,126.6800,126.7600,126.6500,126.6500,1200,0
TM.US,5,20131112,161500,126.6500,126.8300,126.6500,126.8000,2700,0
TM.US,5,20131112,162000,126.6400,126.9500,126.6400,126.9500,1900,0
TM.US,5,20131112,162500,126.9500,126.9800,126.8700,126.9100,2480,0
TM.US,5,20131112,163000,126.8700,126.8700,126.8600,126.8600,300,0
TM.US,5,20131112,163500,126.8500,126.9200,126.8400,126.8900,1876,0
TM.US,5,20131112,164000,126.9000,127.0200,126.9000,127.0100,3199,0
TM.US,5,20131112,164500,127.0200,127.0600,127.0000,127.0100,3450,0
TM.US,5,20131112,165000,127.0000,127.0000,126.9000,126.9000,300,0
TM.US,5,20131112,165500,126.9500,126.9500,126.8200,126.8200,5525,0
TM.US,5,20131112,170000,126.7700,126.7700,126.7700,126.7700,300,0
TM.US,5,20131112,170500,126.6800,126.6800,126.5400,126.6700,20233,0
TM.US,5,20131112,171000,126.7000,126.7500,126.6900,126.7200,2013,0
TM.US,5,20131112,171500,126.7600,126.8500,126.7600,126.8500,633,0
TM.US,5,20131112,172000,126.8200,126.8200,126.8200,126.8200,1000,0
TM.US,5,20131112,172500,126.9400,126.9500,126.9300,126.9300,300,0
TM.US,5,20131112,173000,126.9300,126.9300,126.8800,126.8800,900,0
TM.US,5,20131112,173500,126.9100,126.9800,126.9000,126.9200,1400,0
TM.US,5,20131112,174000,126.9900,126.9900,126.8200,126.8200,1000,0
TM.US,5,20131112,174500,126.6800,126.7900,126.6700,126.7800,2500,0
TM.US,5,20131112,175000,126.7900,126.8900,126.6500,126.6500,3000,0
TM.US,5,20131112,175500,126.6900,126.6900,126.6700,126.6800,850,0
TM.US,5,20131112,180000,126.6400,126.6400,126.5500,126.6300,1022,0
TM.US,5,20131112,180500,126.6400,126.7400,126.6300,126.7400,1137,0
TM.US,5,20131112,181000,126.6300,126.6400,126.5000,126.5000,2000,0
TM.US,5,20131112,181500,126.6000,126.7600,126.5900,126.7600,1443,0
TM.US,5,20131112,182000,126.7400,126.7800,126.7100,126.7100,1100,0
TM.US,5,20131112,182500,126.6900,126.6900,126.6900,126.6900,250,0
TM.US,5,20131112,183000,126.7900,126.8300,126.7900,126.8300,300,0
TM.US,5,20131112,183500,126.7800,126.8200,126.7200,126.8200,1259,0
TM.US,5,20131112,184000,126.7800,126.8200,126.7800,126.8200,200,0
TM.US,5,20131112,184500,126.8100,126.8100,126.8100,126.8100,200,0
TM.US,5,20131112,185500,126.7700,126.8300,126.7600,126.7700,7968,0
TM.US,5,20131112,190000,126.8000,126.8500,126.7900,126.8300,4815,0
TM.US,5,20131112,190500,126.8200,126.8300,126.7000,126.7100,1801,0
TM.US,5,20131112,191000,126.8300,126.9500,126.8300,126.8900,1108,0
TM.US,5,20131112,191500,126.9500,127.0100,126.9400,127.0000,6250,0
TM.US,5,20131112,192000,127.0000,127.0700,127.0000,127.0000,1000,0
TM.US,5,20131112,192500,127.0700,127.0700,127.0300,127.0300,1900,0
TM.US,5,20131112,193000,127.0300,127.0800,126.9500,126.9500,1000,0
TM.US,5,20131112,193500,126.9300,126.9800,126.7400,126.8600,3446,0
TM.US,5,20131112,194000,126.7600,126.9500,126.7600,126.7700,7764,0
TM.US,5,20131112,194500,126.8300,126.9100,126.8000,126.8100,10500,0
TM.US,5,20131112,195000,126.8800,126.8900,126.8500,126.8700,2503,0
TM.US,5,20131112,195500,126.9300,126.9300,126.8400,126.8700,1005,0
TM.US,5,20131112,200000,126.8800,126.9000,126.8800,126.9000,1200,0
TM.US,5,20131112,200500,126.9300,126.9300,126.8500,126.8700,1112,0
TM.US,5,20131112,201000,126.8800,126.9100,126.8700,126.9100,1000,0
TM.US,5,20131112,201500,126.8900,126.9300,126.8900,126.9000,1329,0
TM.US,5,20131112,202000,126.8700,126.8900,126.8200,126.8200,700,0
TM.US,5,20131112,202500,126.8500,126.8500,126.8500,126.8500,1629,0
TM.US,5,20131112,203000,126.8500,126.8600,126.8100,126.8500,3698,0
TM.US,5,20131112,203500,126.8100,126.9100,126.8000,126.9100,1155,0
TM.US,5,20131112,204000,126.9000,126.9800,126.9000,126.9500,3145,0
TM.US,5,20131112,204500,127.0000,127.0000,126.9300,126.9600,1419,0
TM.US,5,20131112,205000,126.9100,126.9100,126.8700,126.8700,3693,0
TM.US,5,20131112,205500,126.8600,126.8800,126.8600,126.8800,900,0
TM.US,5,20131112,210000,126.9000,127.0700,126.9000,127.0500,5644,0
TM.US,5,20131112,210500,127.0700,127.1100,127.0200,127.0200,2925,0
TM.US,5,20131112,211000,127.0900,127.0900,127.0400,127.0700,3200,0
TM.US,5,20131112,211500,127.0900,127.0900,127.0100,127.0100,1351,0
TM.US,5,20131112,212000,127.0000,127.0800,127.0000,127.0600,600,0
TM.US,5,20131112,212500,127.0900,127.1000,127.0700,127.0700,1100,0
TM.US,5,20131112,213000,127.0900,127.1100,127.0200,127.0200,2500,0
TM.US,5,20131112,213500,127.0100,127.1500,127.0100,127.0700,2863,0
TM.US,5,20131112,214000,127.1000,127.1100,127.0800,127.1000,2038,0
TM.US,5,20131112,214500,127.1000,127.1400,127.1000,127.1000,2034,0
TM.US,5,20131112,215000,127.1400,127.1500,127.0200,127.0700,4779,0
TM.US,5,20131112,215500,127.0800,127.2000,127.0800,127.1100,3153,0
TM.US,5,20131112,220000,127.1400,127.3400,127.1000,127.2800,18659,0
TM.US,5,20131112,220500,127.3000,127.3000,127.3000,127.3000,5404,0
TM.US,5,20131113,153500,126.3200,126.4700,125.9800,126.2500,4000,0
TM.US,5,20131113,154000,126.3100,126.7700,126.3100,126.6700,14466,0
TM.US,5,20131113,154500,126.6700,126.7300,126.5600,126.5700,3600,0
TM.US,5,20131113,155000,126.7000,127.0200,126.6900,126.9200,11589,0
TM.US,5,20131113,155500,126.8900,126.8900,126.7800,126.8500,3060,0
TM.US,5,20131113,160000,126.8500,127.2200,126.8300,127.0400,10000,0
TM.US,5,20131113,160500,127.0300,127.1900,127.0300,127.1200,5232,0
TM.US,5,20131113,161000,127.1300,127.1400,126.8100,126.8100,3470,0
TM.US,5,20131113,161500,126.8100,127.0000,126.8100,127.0000,2992,0
TM.US,5,20131113,162000,127.1200,127.1300,127.0300,127.0300,2305,0
TM.US,5,20131113,162500,127.1000,127.1400,127.0200,127.0200,2133,0
TM.US,5,20131113,163000,127.0200,127.2000,127.0100,127.0500,3500,0
TM.US,5,20131113,163500,127.0800,127.1300,127.0800,127.0800,500,0
TM.US,5,20131113,164000,127.1100,127.3600,127.1100,127.3300,16770,0
TM.US,5,20131113,164500,127.3700,127.4600,127.1100,127.2100,14735,0
TM.US,5,20131113,165000,127.2500,127.4600,127.2500,127.3500,2856,0
TM.US,5,20131113,165500,127.3100,127.4200,127.3100,127.3400,3900,0
TM.US,5,20131113,170000,127.2700,127.3300,127.2400,127.2500,1195,0
TM.US,5,20131113,170500,127.2600,127.2800,127.1500,127.1500,5700,0
TM.US,5,20131113,171000,127.2400,127.2900,127.1500,127.1500,2500,0
TM.US,5,20131113,171500,127.1600,127.1600,127.1500,127.1500,879,0
TM.US,5,20131113,172000,127.1600,127.1900,127.1600,127.1900,2144,0
TM.US,5,20131113,172500,127.2100,127.3100,127.2100,127.3000,5289,0
TM.US,5,20131113,173000,127.3000,127.4500,127.3000,127.3400,6569,0
TM.US,5,20131113,173500,127.3700,127.4200,127.3500,127.3800,4621,0
TM.US,5,20131113,174000,127.3700,127.3700,127.0100,127.0200,20262,0
TM.US,5,20131113,174500,127.0300,127.0500,126.8600,126.8700,4822,0
TM.US,5,20131113,175000,126.9400,126.9600,126.9300,126.9500,1972,0
TM.US,5,20131113,175500,126.9700,126.9900,126.9400,126.9400,1650,0
