<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TREX.US,5,20131112,154500,68.0500,68.1800,68.0500,68.1800,1015,0
TREX.US,5,20131112,155000,68.2600,68.2700,68.0700,68.2100,600,0
TREX.US,5,20131112,155500,68.0800,68.0800,67.9700,67.9700,600,0
TREX.US,5,20131112,160000,67.7900,67.7900,67.7900,67.7900,100,0
TREX.US,5,20131112,160500,68.0400,68.0400,67.7800,67.9100,1000,0
TREX.US,5,20131112,161000,67.8100,67.9200,67.8100,67.8700,500,0
TREX.US,5,20131112,161500,67.9800,67.9900,67.9800,67.9900,600,0
TREX.US,5,20131112,162000,68.0300,68.0300,68.0300,68.0300,200,0
TREX.US,5,20131112,162500,68.0500,68.0500,68.0500,68.0500,300,0
TREX.US,5,20131112,163000,67.9300,67.9700,67.9000,67.9700,500,0
TREX.US,5,20131112,163500,68.0000,68.1500,68.0000,68.1500,900,0
TREX.US,5,20131112,164000,68.0900,68.0900,68.0800,68.0800,300,0
TREX.US,5,20131112,164500,68.0800,68.0800,67.8000,67.8400,1183,0
TREX.US,5,20131112,165000,67.8000,67.8200,67.8000,67.8200,700,0
TREX.US,5,20131112,165500,67.9400,68.0700,67.9100,68.0300,700,0
TREX.US,5,20131112,170000,67.9300,67.9500,67.7800,67.7800,1199,0
TREX.US,5,20131112,170500,67.8500,67.9700,67.8500,67.9700,2503,0
TREX.US,5,20131112,171000,67.9700,68.0700,67.9200,68.0300,2087,0
TREX.US,5,20131112,171500,68.0300,68.1100,68.0100,68.0800,3755,0
TREX.US,5,20131112,172000,67.9700,68.0400,67.9700,68.0400,200,0
TREX.US,5,20131112,172500,67.9300,68.0200,67.8700,67.8700,900,0
TREX.US,5,20131112,173000,67.8500,68.0400,67.8100,67.9600,3300,0
TREX.US,5,20131112,173500,67.9800,68.1700,67.9700,68.1700,2700,0
TREX.US,5,20131112,174000,68.1200,68.1200,67.9300,67.9300,1200,0
