<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRLA.US,5,20131112,153500,35.9300,36.3300,35.9300,36.3300,9225,0
TRLA.US,5,20131112,154000,36.3300,36.5700,36.2200,36.2200,12100,0
TRLA.US,5,20131112,154500,36.2200,36.6100,36.1100,36.1600,12010,0
TRLA.US,5,20131112,155000,36.1600,36.8700,36.1600,36.8400,13070,0
TRLA.US,5,20131112,155500,36.7300,36.8400,36.4700,36.4700,10463,0
TRLA.US,5,20131112,160000,36.5400,36.5400,36.3900,36.4600,9600,0
TRLA.US,5,20131112,160500,36.4300,36.4600,36.2100,36.2100,17150,0
TRLA.US,5,20131112,161000,36.1700,36.2100,36.1300,36.2000,4242,0
TRLA.US,5,20131112,161500,36.2200,36.2700,36.1600,36.2500,13231,0
TRLA.US,5,20131112,162000,36.2500,36.4200,36.1500,36.4200,12250,0
TRLA.US,5,20131112,162500,36.4300,36.4300,36.3100,36.4200,5506,0
TRLA.US,5,20131112,163000,36.4100,36.5200,36.3000,36.4800,7130,0
TRLA.US,5,20131112,163500,36.4900,36.5200,36.2700,36.4100,8490,0
TRLA.US,5,20131112,164000,36.4400,36.4400,36.3300,36.3600,17723,0
TRLA.US,5,20131112,164500,36.3500,36.3900,36.2100,36.3900,27666,0
TRLA.US,5,20131112,165000,36.3900,36.3900,36.2400,36.2700,39075,0
TRLA.US,5,20131112,165500,36.2600,36.3100,36.2200,36.2900,9700,0
TRLA.US,5,20131112,170000,36.2700,36.3000,36.2000,36.2200,15000,0
TRLA.US,5,20131112,170500,36.2000,36.2400,36.1200,36.2200,12760,0
TRLA.US,5,20131112,171000,36.2200,36.2200,35.9700,36.0400,19817,0
TRLA.US,5,20131112,171500,36.0200,36.1200,36.0200,36.0800,4500,0
TRLA.US,5,20131112,172000,36.0700,36.1000,36.0300,36.1000,2710,0
TRLA.US,5,20131112,172500,36.1000,36.1900,36.0600,36.1900,3000,0
TRLA.US,5,20131112,173000,36.1900,36.3100,36.1500,36.2600,35243,0
TRLA.US,5,20131112,173500,36.2600,36.2800,36.2200,36.2800,2145,0
TRLA.US,5,20131112,174000,36.3100,36.3100,36.1400,36.1500,6700,0
TRLA.US,5,20131112,174500,36.1400,36.1500,35.9400,35.9600,19062,0
TRLA.US,5,20131112,175000,35.9500,36.0200,35.7500,35.7500,23601,0
TRLA.US,5,20131112,175500,35.7700,35.7900,35.7500,35.7800,3600,0
TRLA.US,5,20131112,180000,35.7800,35.8200,35.7500,35.7500,3715,0
TRLA.US,5,20131112,180500,35.8000,35.8000,35.5700,35.5900,6200,0
TRLA.US,5,20131112,181000,35.5700,35.6000,35.3300,35.4900,17110,0
TRLA.US,5,20131112,181500,35.5000,35.5100,35.4600,35.4700,3250,0
TRLA.US,5,20131112,182000,35.5300,35.7100,35.4900,35.6600,7170,0
TRLA.US,5,20131112,182500,35.5800,35.6100,35.5800,35.6100,600,0
TRLA.US,5,20131112,183000,35.5800,35.6800,35.5800,35.6100,9800,0
TRLA.US,5,20131112,183500,35.6100,35.7500,35.6000,35.7400,4500,0
TRLA.US,5,20131112,184000,35.7500,35.8400,35.6300,35.7400,19456,0
TRLA.US,5,20131112,184500,35.7600,35.8500,35.6300,35.8500,8301,0
TRLA.US,5,20131112,185000,35.8200,35.9000,35.7500,35.8100,16856,0
TRLA.US,5,20131112,185500,35.8500,35.9500,35.8300,35.8900,3600,0
TRLA.US,5,20131112,190000,35.8600,35.8600,35.7300,35.7300,2503,0
TRLA.US,5,20131112,190500,35.7400,35.8900,35.7400,35.8400,11902,0
TRLA.US,5,20131112,191000,35.8400,35.9600,35.8100,35.9100,5968,0
TRLA.US,5,20131112,191500,35.9300,36.0100,35.9100,35.9800,8810,0
TRLA.US,5,20131112,192000,35.9800,36.0100,35.9300,35.9700,6200,0
TRLA.US,5,20131112,192500,35.9700,36.0600,35.9300,36.0400,10100,0
TRLA.US,5,20131112,193000,36.0400,36.1300,36.0000,36.0400,8504,0
TRLA.US,5,20131112,193500,35.9800,36.0100,35.9600,35.9800,3200,0
TRLA.US,5,20131112,194000,35.9300,36.0900,35.8800,36.0500,8197,0
TRLA.US,5,20131112,194500,36.0600,36.1200,36.0500,36.1200,4800,0
TRLA.US,5,20131112,195000,36.0800,36.2000,36.0800,36.1700,3000,0
TRLA.US,5,20131112,195500,36.1400,36.1600,36.1300,36.1400,1700,0
TRLA.US,5,20131112,200000,36.1400,36.2000,36.0800,36.1200,5050,0
TRLA.US,5,20131112,200500,36.1600,36.2000,36.1100,36.1500,22465,0
TRLA.US,5,20131112,201000,36.1500,36.1600,36.1200,36.1500,5003,0
TRLA.US,5,20131112,201500,36.1200,36.1600,36.1200,36.1600,1000,0
TRLA.US,5,20131112,202000,36.1500,36.2000,36.1200,36.1800,7073,0
TRLA.US,5,20131112,202500,36.1600,36.1600,36.1000,36.1200,2450,0
TRLA.US,5,20131112,203000,36.1000,36.1500,36.0700,36.0700,2300,0
TRLA.US,5,20131112,203500,36.0700,36.1200,36.0700,36.1200,700,0
TRLA.US,5,20131112,204000,36.1300,36.2000,36.0800,36.1200,7900,0
TRLA.US,5,20131112,204500,36.1400,36.1600,36.1300,36.1300,1894,0
TRLA.US,5,20131112,205000,36.1300,36.2000,36.1100,36.1200,4324,0
TRLA.US,5,20131112,205500,36.1300,36.1300,36.0300,36.0300,3300,0
TRLA.US,5,20131112,210000,36.0400,36.1900,36.0300,36.1600,8400,0
TRLA.US,5,20131112,210500,36.1600,36.2100,36.1400,36.1500,6778,0
TRLA.US,5,20131112,211000,36.1300,36.1700,36.1000,36.1000,5286,0
TRLA.US,5,20131112,211500,36.1200,36.1900,36.1000,36.1200,3700,0
TRLA.US,5,20131112,212000,36.0800,36.1300,36.0800,36.1300,6300,0
TRLA.US,5,20131112,212500,36.1300,36.1400,35.9600,35.9600,8789,0
TRLA.US,5,20131112,213000,35.9700,36.0700,35.9300,36.0500,11365,0
TRLA.US,5,20131112,213500,36.0500,36.2000,36.0400,36.1300,25645,0
TRLA.US,5,20131112,214000,36.1300,36.1400,36.0000,36.0000,13828,0
TRLA.US,5,20131112,214500,35.9900,36.0400,35.9000,35.9200,18783,0
TRLA.US,5,20131112,215000,35.9300,35.9900,35.8200,35.9300,15489,0
TRLA.US,5,20131112,215500,35.9500,36.0000,35.9100,35.9800,20135,0
TRLA.US,5,20131112,220000,35.9700,36.1100,35.9300,36.0800,48052,0
TRLA.US,5,20131112,220500,36.0800,36.0800,36.0800,36.0800,10105,0
TRLA.US,5,20131113,153500,35.7200,36.1500,35.7200,36.0400,14765,0
TRLA.US,5,20131113,154000,36.0200,36.4000,36.0200,36.2100,12891,0
TRLA.US,5,20131113,154500,36.2400,36.6500,36.2300,36.6000,17109,0
TRLA.US,5,20131113,155000,36.5500,36.6400,36.2500,36.3400,22950,0
TRLA.US,5,20131113,155500,36.3100,36.3700,36.2600,36.3600,1600,0
TRLA.US,5,20131113,160000,36.3600,36.5800,36.3200,36.5000,10340,0
TRLA.US,5,20131113,160500,36.4600,36.5800,36.4400,36.4400,5432,0
TRLA.US,5,20131113,161000,36.3600,36.3600,36.2200,36.2700,1985,0
TRLA.US,5,20131113,161500,36.3200,36.5300,36.2500,36.5100,4999,0
TRLA.US,5,20131113,162000,36.5700,36.5800,36.3300,36.3300,5095,0
TRLA.US,5,20131113,162500,36.2400,36.4700,36.2400,36.4300,12676,0
TRLA.US,5,20131113,163000,36.4600,36.5800,36.4500,36.4800,8054,0
TRLA.US,5,20131113,163500,36.5100,36.5500,36.4500,36.5500,6348,0
TRLA.US,5,20131113,164000,36.5300,36.5800,36.4900,36.5400,11250,0
TRLA.US,5,20131113,164500,36.4800,36.5800,36.4800,36.5800,3665,0
TRLA.US,5,20131113,165000,36.5800,36.5800,36.4700,36.4700,30281,0
TRLA.US,5,20131113,165500,36.4700,36.5400,36.4600,36.4800,8300,0
TRLA.US,5,20131113,170000,36.4400,36.4400,36.3700,36.3900,941,0
TRLA.US,5,20131113,170500,36.3900,36.4500,36.3700,36.4400,7763,0
TRLA.US,5,20131113,171000,36.4500,36.4600,36.4100,36.4400,17386,0
TRLA.US,5,20131113,171500,36.4400,36.4700,36.4000,36.4500,4739,0
