<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRP.US,5,20131112,153500,44.6900,44.7100,44.6100,44.6800,10289,0
TRP.US,5,20131112,154000,44.6800,44.6800,44.5600,44.6000,13542,0
TRP.US,5,20131112,154500,44.5700,44.6400,44.5700,44.6100,4800,0
TRP.US,5,20131112,155000,44.6300,44.6300,44.6000,44.6200,3400,0
TRP.US,5,20131112,155500,44.6300,44.6300,44.5500,44.5500,3600,0
TRP.US,5,20131112,160000,44.5500,44.6300,44.5500,44.5800,5000,0
TRP.US,5,20131112,160500,44.5900,44.6000,44.5400,44.5800,4730,0
TRP.US,5,20131112,161000,44.5900,44.6400,44.5800,44.6100,3390,0
TRP.US,5,20131112,161500,44.6200,44.6200,44.6000,44.6000,2387,0
TRP.US,5,20131112,162000,44.6100,44.6500,44.6100,44.6400,900,0
TRP.US,5,20131112,162500,44.6400,44.6500,44.6300,44.6400,3413,0
TRP.US,5,20131112,163000,44.6200,44.6600,44.6000,44.6600,2763,0
TRP.US,5,20131112,163500,44.6700,44.7300,44.6700,44.6900,6800,0
TRP.US,5,20131112,164000,44.6700,44.6800,44.6700,44.6800,500,0
TRP.US,5,20131112,164500,44.6700,44.6800,44.6700,44.6800,810,0
TRP.US,5,20131112,165000,44.7000,44.7100,44.6800,44.6900,3100,0
TRP.US,5,20131112,165500,44.6800,44.6800,44.6300,44.6400,2600,0
TRP.US,5,20131112,170000,44.6400,44.6600,44.6400,44.6500,2000,0
TRP.US,5,20131112,170500,44.6500,44.6800,44.6400,44.6800,1946,0
TRP.US,5,20131112,171000,44.6900,44.7100,44.6700,44.7100,3097,0
TRP.US,5,20131112,171500,44.7200,44.7300,44.7100,44.7100,1824,0
TRP.US,5,20131112,172000,44.7200,44.7600,44.7100,44.7500,3059,0
TRP.US,5,20131112,172500,44.7700,44.8600,44.7700,44.8500,5200,0
TRP.US,5,20131112,173000,44.8500,44.8800,44.8400,44.8800,3227,0
TRP.US,5,20131112,173500,44.8800,44.8800,44.8300,44.8500,2500,0
TRP.US,5,20131112,174000,44.8600,44.8600,44.8100,44.8100,1999,0
TRP.US,5,20131112,174500,44.8000,44.8100,44.7400,44.7600,5203,0
TRP.US,5,20131112,175000,44.7700,44.7700,44.7500,44.7500,3067,0
TRP.US,5,20131112,175500,44.7300,44.7600,44.7200,44.7600,3226,0
TRP.US,5,20131112,180000,44.7800,44.8000,44.7800,44.7900,7031,0
TRP.US,5,20131112,180500,44.7900,44.8100,44.7800,44.8000,2000,0
TRP.US,5,20131112,181000,44.8000,44.8100,44.7700,44.8100,4400,0
TRP.US,5,20131112,181500,44.8100,44.8300,44.8000,44.8000,13450,0
TRP.US,5,20131112,182000,44.7800,44.7900,44.7600,44.7700,5200,0
TRP.US,5,20131112,182500,44.7600,44.7800,44.7400,44.7700,4470,0
TRP.US,5,20131112,183000,44.7600,44.7700,44.7500,44.7600,4932,0
TRP.US,5,20131112,183500,44.7600,44.7600,44.7300,44.7300,2800,0
TRP.US,5,20131112,184000,44.7400,44.7800,44.7400,44.7800,2700,0
TRP.US,5,20131112,184500,44.7900,44.8000,44.7800,44.8000,1123,0
TRP.US,5,20131112,185000,44.8000,44.8300,44.8000,44.8200,1793,0
TRP.US,5,20131112,185500,44.8100,44.8300,44.8000,44.8300,6900,0
TRP.US,5,20131112,190000,44.8200,44.8300,44.8000,44.8100,2848,0
TRP.US,5,20131112,190500,44.8100,44.8100,44.7900,44.8000,4232,0
TRP.US,5,20131112,191000,44.7800,44.8100,44.7800,44.7800,3368,0
TRP.US,5,20131112,191500,44.8000,44.8200,44.7900,44.8000,4290,0
TRP.US,5,20131112,192000,44.7700,44.7800,44.7700,44.7700,738,0
TRP.US,5,20131112,192500,44.7600,44.7600,44.7500,44.7500,2500,0
TRP.US,5,20131112,193000,44.7400,44.7400,44.6900,44.7200,5200,0
TRP.US,5,20131112,193500,44.7100,44.7200,44.6900,44.7000,5214,0
TRP.US,5,20131112,194000,44.7000,44.7100,44.6700,44.6700,4900,0
TRP.US,5,20131112,194500,44.6700,44.6900,44.6600,44.6800,5646,0
TRP.US,5,20131112,195000,44.6800,44.7000,44.6700,44.7000,2500,0
TRP.US,5,20131112,195500,44.6900,44.7100,44.6900,44.7100,2695,0
TRP.US,5,20131112,200000,44.7200,44.7600,44.7100,44.7400,7249,0
TRP.US,5,20131112,200500,44.7400,44.7900,44.7400,44.7900,4107,0
TRP.US,5,20131112,201000,44.7900,44.7900,44.7700,44.7900,2600,0
TRP.US,5,20131112,201500,44.7900,44.7900,44.7700,44.7800,3903,0
TRP.US,5,20131112,202000,44.7800,44.7800,44.7600,44.7700,4100,0
TRP.US,5,20131112,202500,44.7800,44.7900,44.7700,44.7800,800,0
TRP.US,5,20131112,203000,44.7800,44.8000,44.7700,44.7800,4949,0
TRP.US,5,20131112,203500,44.7700,44.7800,44.7600,44.7600,3280,0
TRP.US,5,20131112,204000,44.7600,44.8000,44.7600,44.7900,3040,0
TRP.US,5,20131112,204500,44.7900,44.8000,44.7800,44.8000,4800,0
TRP.US,5,20131112,205000,44.7900,44.8000,44.7800,44.7900,1400,0
TRP.US,5,20131112,205500,44.7800,44.7900,44.7300,44.7400,8898,0
TRP.US,5,20131112,210000,44.7300,44.7800,44.7200,44.7700,5130,0
TRP.US,5,20131112,210500,44.7600,44.7700,44.7200,44.7200,4400,0
TRP.US,5,20131112,211000,44.7100,44.7100,44.6900,44.7000,7988,0
TRP.US,5,20131112,211500,44.7000,44.7200,44.7000,44.7000,6112,0
TRP.US,5,20131112,212000,44.6900,44.7200,44.6800,44.6900,8444,0
TRP.US,5,20131112,212500,44.6900,44.7100,44.6300,44.6400,6070,0
TRP.US,5,20131112,213000,44.6400,44.6800,44.6400,44.6600,11107,0
TRP.US,5,20131112,213500,44.6500,44.7000,44.6500,44.7000,6148,0
TRP.US,5,20131112,214000,44.6900,44.7000,44.6600,44.6700,6875,0
