<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSL.US,5,20131112,153500,16.4400,16.8000,16.4100,16.7300,124206,0
TSL.US,5,20131112,154000,16.7400,17.0000,16.7000,16.7200,303872,0
TSL.US,5,20131112,154500,16.7400,16.8900,16.6700,16.7600,94209,0
TSL.US,5,20131112,155000,16.7700,16.8200,16.7200,16.7900,50996,0
TSL.US,5,20131112,155500,16.7800,16.8000,16.6800,16.7700,38859,0
TSL.US,5,20131112,160000,16.7700,16.7700,16.5300,16.6300,83286,0
TSL.US,5,20131112,160500,16.6000,16.6200,16.3100,16.3400,141132,0
TSL.US,5,20131112,161000,16.3800,16.4400,16.2100,16.3500,108759,0
TSL.US,5,20131112,161500,16.3600,16.4900,16.3300,16.3400,52765,0
TSL.US,5,20131112,162000,16.3400,16.4800,16.2700,16.4200,70075,0
TSL.US,5,20131112,162500,16.4300,16.4900,16.3300,16.4800,65277,0
TSL.US,5,20131112,163000,16.4600,16.4800,16.3700,16.4700,30292,0
TSL.US,5,20131112,163500,16.4600,16.5000,16.3600,16.3900,42071,0
TSL.US,5,20131112,164000,16.3900,16.5000,16.3700,16.3700,37805,0
TSL.US,5,20131112,164500,16.3700,16.4200,16.3000,16.3600,42252,0
TSL.US,5,20131112,165000,16.3600,16.4400,16.3200,16.3300,36616,0
TSL.US,5,20131112,165500,16.3300,16.3800,16.2400,16.2400,59842,0
TSL.US,5,20131112,170000,16.2400,16.2900,16.1000,16.1200,79038,0
TSL.US,5,20131112,170500,16.1200,16.3100,16.1200,16.3100,58270,0
TSL.US,5,20131112,171000,16.3100,16.3100,16.0800,16.1200,64610,0
TSL.US,5,20131112,171500,16.1300,16.2000,16.0800,16.1100,65628,0
TSL.US,5,20131112,172000,16.1100,16.2300,16.1000,16.2200,33075,0
TSL.US,5,20131112,172500,16.2300,16.2700,16.1900,16.2700,38918,0
TSL.US,5,20131112,173000,16.2700,16.3500,16.2600,16.3300,47554,0
TSL.US,5,20131112,173500,16.3300,16.3800,16.3100,16.3200,28575,0
TSL.US,5,20131112,174000,16.3200,16.3200,16.2300,16.2700,29306,0
TSL.US,5,20131112,174500,16.2700,16.3200,16.2300,16.2400,65356,0
