<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TW.US,5,20131112,153500,110.9900,111.1300,110.5200,111.0200,17260,0
TW.US,5,20131112,154000,111.0600,111.7600,111.0600,111.7000,6096,0
TW.US,5,20131112,154500,111.6600,111.8000,111.6200,111.7900,1212,0
TW.US,5,20131112,155000,111.7700,111.7700,111.4000,111.4000,1700,0
TW.US,5,20131112,155500,111.4500,111.4500,111.2700,111.3300,700,0
TW.US,5,20131112,160000,111.3100,111.3500,111.1700,111.2700,3700,0
TW.US,5,20131112,160500,111.2100,111.4200,110.7500,110.8700,7583,0
TW.US,5,20131112,161000,110.6700,110.9900,110.5700,110.9900,17447,0
TW.US,5,20131112,161500,111.0000,111.4000,110.9700,111.3700,13850,0
TW.US,5,20131112,162000,111.3900,112.2500,111.3700,112.2500,40161,0
TW.US,5,20131112,162500,112.1900,112.6100,112.0400,112.3400,7400,0
TW.US,5,20131112,163000,112.3500,112.3500,112.1700,112.2100,1000,0
TW.US,5,20131112,163500,112.1800,112.1800,111.7100,111.7700,9150,0
TW.US,5,20131112,164000,111.7300,111.7700,111.4900,111.7700,10180,0
TW.US,5,20131112,164500,111.7200,111.8300,111.6100,111.7800,21822,0
TW.US,5,20131112,165000,111.7800,112.0000,111.7800,111.9800,3246,0
TW.US,5,20131112,165500,111.9500,111.9700,111.8600,111.9400,2500,0
TW.US,5,20131112,170000,111.8500,111.8700,111.4800,111.5600,3200,0
TW.US,5,20131112,170500,111.5100,111.8200,111.5100,111.6400,3593,0
TW.US,5,20131112,171000,111.6400,111.7000,111.5800,111.5900,1900,0
TW.US,5,20131112,171500,111.5500,111.6600,111.4900,111.6400,4479,0
TW.US,5,20131112,172000,111.6700,111.6900,111.6700,111.6700,566,0
TW.US,5,20131112,172500,111.7400,111.8300,111.6100,111.7900,18319,0
TW.US,5,20131112,173000,111.8000,111.8400,111.8000,111.8300,400,0
TW.US,5,20131112,173500,111.8600,112.0000,111.8300,111.9100,30258,0
TW.US,5,20131112,174000,111.8900,111.9600,111.8000,111.8700,2791,0
TW.US,5,20131112,174500,111.8300,111.8800,111.6200,111.8800,800,0
TW.US,5,20131112,175000,111.7700,111.7900,111.6300,111.7900,3900,0
TW.US,5,20131112,175500,111.7300,111.8200,111.7200,111.8200,1400,0
TW.US,5,20131112,180000,111.7700,111.8100,111.7300,111.7400,3251,0
TW.US,5,20131112,180500,111.6500,111.8100,111.5900,111.6400,8700,0
TW.US,5,20131112,181000,111.5900,111.6000,111.3000,111.3800,3979,0
TW.US,5,20131112,181500,111.3700,111.5200,111.3700,111.5200,200,0
TW.US,5,20131112,182000,111.5600,111.7100,111.4500,111.7100,4018,0
TW.US,5,20131112,182500,111.6700,111.7700,111.6600,111.7600,7100,0
TW.US,5,20131112,183000,111.7700,111.7700,111.6800,111.7000,2700,0
TW.US,5,20131112,183500,111.6900,111.7600,111.6000,111.7600,5400,0
TW.US,5,20131112,184000,111.7500,111.9200,111.7400,111.8700,5749,0
TW.US,5,20131112,184500,111.8700,111.8800,111.7500,111.7700,6545,0
TW.US,5,20131112,185000,111.8300,111.9100,111.7600,111.8400,5966,0
TW.US,5,20131112,185500,111.8500,111.8500,111.7000,111.7400,2314,0
TW.US,5,20131112,190000,111.7100,111.7900,111.6800,111.7500,22685,0
TW.US,5,20131112,190500,111.7500,111.8400,111.7500,111.8200,3609,0
TW.US,5,20131112,191000,111.8300,111.8300,111.8000,111.8000,1800,0
TW.US,5,20131112,191500,111.8300,111.8300,111.6900,111.7300,1400,0
TW.US,5,20131112,192000,111.7100,111.7400,111.6900,111.7300,2128,0
TW.US,5,20131112,192500,111.7700,112.0000,111.7700,112.0000,6700,0
TW.US,5,20131112,193000,112.0000,112.0800,111.8500,111.9000,4400,0
TW.US,5,20131112,193500,111.8500,111.8900,111.7700,111.8700,4965,0
TW.US,5,20131112,194000,111.8700,111.8900,111.7300,111.8900,2800,0
TW.US,5,20131112,194500,111.8500,111.8900,111.8000,111.8000,3700,0
TW.US,5,20131112,195000,111.8200,111.8900,111.8000,111.8900,3700,0
TW.US,5,20131112,195500,111.9000,112.0000,111.9000,111.9300,2000,0
TW.US,5,20131112,200000,111.9400,111.9500,111.8300,111.8700,2300,0
TW.US,5,20131112,200500,111.8600,111.9500,111.8600,111.9500,4547,0
TW.US,5,20131112,201000,111.8700,111.9400,111.8500,111.9000,700,0
TW.US,5,20131112,201500,111.9000,111.9400,111.8400,111.9000,4194,0
TW.US,5,20131112,202000,111.9000,112.0000,111.8900,111.9900,5900,0
TW.US,5,20131112,202500,111.9700,112.0100,111.9200,111.9300,3003,0
TW.US,5,20131112,203000,111.9300,111.9300,111.7700,111.8500,1600,0
TW.US,5,20131112,203500,111.8800,111.9600,111.8500,111.9100,6000,0
TW.US,5,20131112,204000,111.9000,111.9600,111.8500,111.8500,3500,0
TW.US,5,20131112,204500,111.9000,111.9600,111.8800,111.9000,2742,0
TW.US,5,20131112,205000,111.9000,112.0200,111.8300,112.0200,3400,0
TW.US,5,20131112,205500,112.0500,112.1000,111.9700,112.0400,3700,0
TW.US,5,20131112,210000,112.0300,112.2000,112.0200,112.1900,4165,0
TW.US,5,20131112,210500,112.1600,112.2400,112.1200,112.1300,3200,0
TW.US,5,20131112,211000,112.1400,112.1400,111.9600,111.9600,4500,0
TW.US,5,20131112,211500,111.9000,112.0900,111.9000,112.0600,9447,0
TW.US,5,20131112,212000,112.0800,112.0900,112.0100,112.0900,5600,0
TW.US,5,20131112,212500,112.0700,112.2000,111.9300,111.9300,10794,0
TW.US,5,20131112,213000,111.9700,111.9800,111.9200,111.9800,8842,0
TW.US,5,20131112,213500,111.9500,112.0400,111.9500,112.0400,14825,0
TW.US,5,20131112,214000,112.0600,112.2100,111.9900,112.1500,11859,0
TW.US,5,20131112,214500,112.1500,112.1600,112.1200,112.1300,7666,0
TW.US,5,20131112,215000,112.1100,112.1100,111.9300,111.9300,8945,0
TW.US,5,20131112,215500,111.9300,111.9900,111.8200,111.8700,13009,0
TW.US,5,20131112,220000,111.8600,112.2100,111.8400,112.0900,21254,0
TW.US,5,20131112,220500,112.0700,112.0700,112.0700,112.0700,19419,0
TW.US,5,20131113,153500,111.2900,111.7500,111.2900,111.7300,1400,0
TW.US,5,20131113,154500,111.6600,111.6600,111.5100,111.5700,569,0
TW.US,5,20131113,155000,111.6300,111.8300,111.5200,111.8300,1959,0
TW.US,5,20131113,155500,111.8600,112.0000,111.6300,111.6300,3107,0
TW.US,5,20131113,160000,111.6900,112.0000,111.6300,112.0000,2492,0
TW.US,5,20131113,160500,111.9900,112.0000,111.6700,111.6900,4900,0
TW.US,5,20131113,161000,111.6300,111.7200,111.4900,111.6900,1460,0
TW.US,5,20131113,161500,111.9500,112.0000,111.8400,111.8500,1200,0
TW.US,5,20131113,162000,112.0100,112.1600,111.8000,111.8000,3505,0
TW.US,5,20131113,162500,111.7300,111.7700,111.5900,111.5900,1400,0
TW.US,5,20131113,163000,111.5900,111.7400,111.5400,111.5400,5108,0
TW.US,5,20131113,163500,111.5700,111.9000,111.5700,111.7100,12100,0
TW.US,5,20131113,164000,111.7000,111.7800,111.6400,111.7800,3200,0
TW.US,5,20131113,164500,111.8100,112.1000,111.8100,111.9800,1203,0
TW.US,5,20131113,165000,112.1200,112.1200,111.9200,111.9500,1500,0
TW.US,5,20131113,165500,111.9500,112.0400,111.8200,111.8200,3500,0
TW.US,5,20131113,170000,111.8300,112.1200,111.8300,112.1000,22012,0
TW.US,5,20131113,170500,112.1300,112.1500,111.9900,112.0400,3000,0
TW.US,5,20131113,171000,112.0700,112.0900,112.0000,112.0000,3401,0
TW.US,5,20131113,171500,112.0100,112.0800,111.7900,111.8600,20961,0
TW.US,5,20131113,172000,111.7300,111.9900,111.7100,111.8800,11069,0
TW.US,5,20131113,172500,111.9900,112.0700,111.9400,112.0600,19710,0
TW.US,5,20131113,173000,112.0000,112.1600,111.9700,112.1600,6112,0
TW.US,5,20131113,173500,112.1500,112.1500,112.0600,112.1300,2835,0
TW.US,5,20131113,174000,112.1700,112.2300,112.1100,112.1100,2411,0
TW.US,5,20131113,174500,112.1100,112.1100,112.0300,112.0700,3400,0
TW.US,5,20131113,175000,112.0600,112.1000,112.0000,112.1000,2100,0
TW.US,5,20131113,175500,112.0000,112.2500,112.0000,112.1300,2519,0
TW.US,5,20131113,180000,112.0500,112.1200,112.0000,112.0000,1400,0
TW.US,5,20131113,180500,112.0500,112.0900,112.0000,112.0900,1352,0
TW.US,5,20131113,181000,112.0000,112.0500,111.8100,111.8100,4000,0
TW.US,5,20131113,181500,111.8100,111.8100,111.6400,111.7100,11000,0
TW.US,5,20131113,182000,111.7000,111.8900,111.7000,111.7200,4100,0
TW.US,5,20131113,182500,111.7100,111.9700,111.7100,111.9100,2000,0
TW.US,5,20131113,183000,111.8700,111.9500,111.8200,111.9500,3339,0
TW.US,5,20131113,183500,111.9600,111.9600,111.8700,111.8800,1400,0
TW.US,5,20131113,184000,111.8700,111.9500,111.8700,111.9200,2347,0
TW.US,5,20131113,184500,111.9400,111.9400,111.8400,111.8800,4399,0
TW.US,5,20131113,185000,111.9200,112.0000,111.8500,112.0000,3439,0
TW.US,5,20131113,185500,111.9300,112.0000,111.9200,111.9400,1900,0
TW.US,5,20131113,190000,111.9900,112.0400,111.8900,111.9500,4000,0
TW.US,5,20131113,190500,111.8900,112.0800,111.8800,111.9700,4248,0
TW.US,5,20131113,191000,112.0800,112.0900,111.9700,112.0800,2700,0
TW.US,5,20131113,191500,111.9900,112.0700,111.8700,111.8800,5892,0
TW.US,5,20131113,192000,111.8800,111.9100,111.8600,111.9100,2461,0
TW.US,5,20131113,192500,111.9500,111.9600,111.8700,111.9600,700,0
TW.US,5,20131113,193000,112.0000,112.0000,111.8300,111.8800,5115,0
TW.US,5,20131113,193500,111.8900,112.0000,111.8900,112.0000,1800,0
TW.US,5,20131113,194000,111.9900,112.0100,111.8300,111.9000,3239,0
TW.US,5,20131113,194500,111.8600,111.9400,111.8200,111.9400,1443,0
TW.US,5,20131113,195000,111.8800,112.1200,111.8800,112.1100,2400,0
TW.US,5,20131113,195500,112.1200,112.1200,111.9300,111.9300,3100,0
TW.US,5,20131113,200000,111.9500,111.9900,111.8700,111.9100,2700,0
TW.US,5,20131113,200500,111.8600,111.9500,111.8100,111.8400,2436,0
TW.US,5,20131113,201000,111.8100,111.8800,111.8000,111.8800,1400,0
TW.US,5,20131113,201500,111.8500,111.9000,111.8300,111.8700,1247,0
TW.US,5,20131113,202000,111.8500,111.9000,111.8100,111.9000,2705,0
TW.US,5,20131113,202500,111.8900,111.9700,111.8600,111.9100,14829,0
TW.US,5,20131113,203000,111.9000,111.9600,111.8700,111.8700,2000,0
TW.US,5,20131113,203500,111.8700,111.9600,111.8300,111.8300,1800,0
TW.US,5,20131113,204000,111.8300,111.8300,111.6500,111.6500,2938,0
TW.US,5,20131113,204500,111.6900,111.7300,111.6600,111.7000,3020,0
TW.US,5,20131113,205000,111.6800,111.8100,111.6700,111.7300,3000,0
TW.US,5,20131113,205500,111.7300,111.8100,111.7300,111.7500,1300,0
TW.US,5,20131113,210000,111.7300,111.8100,111.7300,111.8100,3100,0
TW.US,5,20131113,210500,111.7700,111.8400,111.7700,111.7900,1405,0
TW.US,5,20131113,211000,111.8400,111.9700,111.8200,111.9200,4416,0
TW.US,5,20131113,211500,111.9000,112.0000,111.8800,112.0000,1900,0
TW.US,5,20131113,212000,111.9600,111.9600,111.8000,111.8200,2643,0
TW.US,5,20131113,212500,111.8500,111.9200,111.8300,111.8800,3657,0
TW.US,5,20131113,213000,111.8900,111.9400,111.5500,111.5500,11162,0
TW.US,5,20131113,213500,111.6000,111.6800,111.5400,111.5600,7709,0
TW.US,5,20131113,214000,111.5700,111.7000,111.5700,111.6900,6800,0
TW.US,5,20131113,214500,111.6800,111.9000,111.6800,111.6900,5600,0
TW.US,5,20131113,215000,111.7400,111.8800,111.6300,111.6300,9545,0
TW.US,5,20131113,215500,111.6400,111.6900,111.4700,111.5500,14790,0
TW.US,5,20131113,220000,111.5500,111.7200,111.4700,111.7000,22578,0
TW.US,5,20131113,220500,111.7200,111.7200,111.7200,111.7200,14975,0
