<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TYG-B.US,5,20131112,210000,8.6000,8.6000,8.6000,8.6000,5000,0
TYG-B.US,5,20131113,162500,8.6500,8.6500,8.6500,8.6500,775,0
TYG-B.US,5,20131113,170000,8.7000,8.7200,8.7000,8.7200,2069,0
TYG-B.US,5,20131113,182500,8.7100,8.7100,8.7100,8.7100,120,0
TYG-B.US,5,20131113,202500,8.6600,8.6600,8.6600,8.6600,2000,0
TYG-B.US,5,20131113,220000,8.7100,8.7100,8.7100,8.7100,100,0
TYG-B.US,5,20131114,172000,8.6500,8.6500,8.6500,8.6500,505,0
TYG-B.US,5,20131114,203500,8.6500,8.6500,8.6500,8.6500,1500,0
TYG-B.US,5,20131114,211000,8.6000,8.6000,8.6000,8.6000,3100,0
TYG-B.US,5,20131114,212000,8.6000,8.6000,8.6000,8.6000,1280,0
TYG-B.US,5,20131114,213000,8.5900,8.5900,8.5900,8.5900,1500,0
TYG-B.US,5,20131114,214000,8.6000,8.6000,8.6000,8.6000,100,0
TYG-B.US,5,20131114,214500,8.6000,8.6000,8.6000,8.6000,200,0
TYG-B.US,5,20131114,220000,8.6000,8.6000,8.6000,8.6000,162,0
TYG-B.US,5,20131115,154000,8.5700,8.5700,8.5600,8.5600,920,0
TYG-B.US,5,20131115,170500,8.6100,8.7200,8.6000,8.7200,1800,0
TYG-B.US,5,20131115,174000,8.7300,8.7300,8.7300,8.7300,2200,0
TYG-B.US,5,20131115,175500,8.7000,8.7000,8.7000,8.7000,100,0
TYG-B.US,5,20131115,182500,8.7300,8.7300,8.7300,8.7300,1000,0
TYG-B.US,5,20131115,183000,8.7300,8.7300,8.7300,8.7300,1200,0
TYG-B.US,5,20131115,185000,8.7400,8.7400,8.7400,8.7400,1444,0
TYG-B.US,5,20131115,201000,8.7000,8.7000,8.7000,8.7000,1000,0
TYG-B.US,5,20131115,204500,8.7100,8.7100,8.7100,8.7100,1000,0
TYG-B.US,5,20131118,155500,8.6100,8.6100,8.6100,8.6100,400,0
TYG-B.US,5,20131118,160500,8.6800,8.6800,8.6800,8.6800,335,0
TYG-B.US,5,20131118,170000,8.7000,8.7000,8.6500,8.6500,3500,0
TYG-B.US,5,20131118,180500,8.7000,8.7000,8.7000,8.7000,1500,0
TYG-B.US,5,20131118,192000,8.6100,8.6100,8.6000,8.6000,2500,0
TYG-B.US,5,20131118,213000,8.6000,8.6000,8.6000,8.6000,3000,0
TYG-B.US,5,20131118,214000,8.6500,8.6500,8.6100,8.6100,3000,0
