<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TYL.US,5,20131112,153500,95.1600,95.1600,95.1600,95.1600,100,0
TYL.US,5,20131112,154000,95.3300,95.3300,95.3300,95.3300,19900,0
TYL.US,5,20131112,154500,95.3300,95.6200,95.3300,95.6200,1100,0
TYL.US,5,20131112,155000,95.6600,96.2400,95.6600,96.0600,4067,0
TYL.US,5,20131112,155500,96.0000,96.0000,95.9000,96.0000,300,0
TYL.US,5,20131112,160000,96.0000,96.0000,95.9000,96.0000,2858,0
TYL.US,5,20131112,160500,95.9900,96.0000,95.6500,95.6500,13340,0
TYL.US,5,20131112,161000,95.5500,95.5500,95.1500,95.1500,1200,0
TYL.US,5,20131112,161500,95.0500,95.0500,94.9000,94.9000,400,0
TYL.US,5,20131112,162000,94.9900,95.2100,94.9900,95.2100,700,0
TYL.US,5,20131112,162500,95.1000,95.1000,94.9400,95.0000,700,0
TYL.US,5,20131112,163000,94.9000,94.9700,94.9000,94.9700,300,0
TYL.US,5,20131112,163500,95.0000,95.0400,95.0000,95.0400,782,0
TYL.US,5,20131112,164000,95.0000,95.0000,95.0000,95.0000,100,0
TYL.US,5,20131112,164500,94.9900,95.0900,94.9600,95.0200,9253,0
TYL.US,5,20131112,165000,95.0000,95.0200,94.7500,94.7500,1861,0
TYL.US,5,20131112,165500,94.9700,94.9900,94.9700,94.9900,1161,0
TYL.US,5,20131112,170000,95.0000,95.0000,94.7700,95.0000,5700,0
TYL.US,5,20131112,170500,95.0000,95.0000,95.0000,95.0000,500,0
TYL.US,5,20131112,171000,94.8400,95.0000,94.8400,95.0000,42767,0
TYL.US,5,20131112,171500,95.0500,95.1500,95.0500,95.1500,600,0
TYL.US,5,20131112,172500,95.6100,95.6100,95.5500,95.5500,500,0
TYL.US,5,20131112,173000,95.6200,95.6200,95.5800,95.5800,600,0
TYL.US,5,20131112,173500,95.7900,95.8300,95.7900,95.8300,700,0
TYL.US,5,20131112,174000,95.9300,95.9300,95.9300,95.9300,100,0
TYL.US,5,20131112,174500,95.8700,95.8700,95.7900,95.7900,200,0
TYL.US,5,20131112,175000,95.7600,95.7600,95.4600,95.4600,700,0
TYL.US,5,20131112,175500,95.4500,95.4500,95.4500,95.4500,200,0
TYL.US,5,20131112,180000,95.5600,95.5600,95.3900,95.3900,1075,0
TYL.US,5,20131112,180500,95.6500,95.6500,95.5900,95.5900,600,0
TYL.US,5,20131112,181000,95.6500,95.6500,95.3900,95.5800,3092,0
TYL.US,5,20131112,181500,95.6100,95.6900,95.6100,95.6900,500,0
TYL.US,5,20131112,182500,95.8600,96.0600,95.7700,96.0600,1700,0
TYL.US,5,20131112,183000,96.1100,96.1100,96.0500,96.0500,300,0
TYL.US,5,20131112,183500,96.0500,96.0500,96.0500,96.0500,100,0
TYL.US,5,20131112,184000,96.0600,96.0800,96.0600,96.0800,300,0
TYL.US,5,20131112,184500,96.0700,96.1600,96.0500,96.0500,600,0
TYL.US,5,20131112,185000,96.0700,96.1600,96.0700,96.1400,700,0
TYL.US,5,20131112,185500,96.1700,96.2000,96.1600,96.1600,300,0
TYL.US,5,20131112,190000,96.1600,96.1600,96.1600,96.1600,100,0
TYL.US,5,20131112,190500,96.1500,96.2000,96.1200,96.1200,500,0
TYL.US,5,20131112,191000,96.1200,96.1200,96.1200,96.1200,100,0
TYL.US,5,20131112,191500,96.2000,96.2000,96.0500,96.0800,800,0
TYL.US,5,20131112,192000,96.0900,96.2500,95.9900,96.2500,1000,0
TYL.US,5,20131112,192500,96.1300,96.2200,96.1300,96.2200,200,0
TYL.US,5,20131112,193500,96.3100,96.3100,96.2000,96.2000,200,0
TYL.US,5,20131112,194000,96.2400,96.2500,96.1300,96.2500,2278,0
TYL.US,5,20131112,194500,96.2200,96.4000,95.8400,95.9300,9004,0
TYL.US,5,20131112,195000,95.9900,96.0300,95.8600,96.0300,1909,0
TYL.US,5,20131112,195500,96.1900,96.2500,96.1900,96.2500,200,0
TYL.US,5,20131112,200000,96.1800,96.2100,95.9200,95.9200,7200,0
TYL.US,5,20131112,200500,96.0000,96.0100,95.8400,95.8400,11144,0
TYL.US,5,20131112,201000,95.8500,95.8500,95.6500,95.7000,1900,0
TYL.US,5,20131112,201500,95.7400,96.0100,95.7400,96.0100,1700,0
TYL.US,5,20131112,202000,95.9400,95.9900,95.9200,95.9300,2115,0
TYL.US,5,20131112,202500,95.9300,96.0200,95.6200,95.6300,13600,0
TYL.US,5,20131112,203000,95.6000,95.6300,95.5900,95.5900,1999,0
TYL.US,5,20131112,203500,95.5500,95.5500,95.5500,95.5500,476,0
TYL.US,5,20131112,204000,95.6400,95.6400,95.6400,95.6400,131,0
TYL.US,5,20131112,204500,95.6400,95.7800,95.6400,95.6700,1000,0
TYL.US,5,20131112,205000,95.7600,95.7700,95.6500,95.6900,1500,0
TYL.US,5,20131112,205500,95.6900,95.6900,95.6200,95.6200,400,0
