<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAM.US,5,20131112,154000,6.9700,6.9800,6.9600,6.9600,5350,0
UAM.US,5,20131112,154500,6.9500,6.9500,6.9300,6.9300,1000,0
UAM.US,5,20131112,155000,6.9100,6.9300,6.9100,6.9200,600,0
UAM.US,5,20131112,160000,6.9500,6.9500,6.9400,6.9400,700,0
UAM.US,5,20131112,162000,6.9400,6.9700,6.9400,6.9700,2726,0
UAM.US,5,20131112,162500,6.9700,6.9800,6.9700,6.9700,300,0
UAM.US,5,20131112,163000,6.9700,6.9700,6.9500,6.9700,900,0
UAM.US,5,20131112,163500,6.9700,7.0000,6.9700,7.0000,1573,0
UAM.US,5,20131112,164500,7.0100,7.0100,7.0000,7.0000,500,0
UAM.US,5,20131112,165000,7.0100,7.0100,7.0000,7.0000,200,0
UAM.US,5,20131112,165500,7.0100,7.0100,7.0100,7.0100,100,0
UAM.US,5,20131112,170000,7.0100,7.0300,7.0000,7.0300,600,0
UAM.US,5,20131112,170500,7.0200,7.0200,7.0200,7.0200,100,0
UAM.US,5,20131112,171000,7.0200,7.0200,7.0200,7.0200,100,0
UAM.US,5,20131112,171500,7.0200,7.0500,7.0100,7.0400,4962,0
UAM.US,5,20131112,172000,7.0400,7.0400,7.0200,7.0200,1000,0
UAM.US,5,20131112,172500,7.0100,7.0100,7.0000,7.0000,3500,0
UAM.US,5,20131112,173000,7.0000,7.0000,7.0000,7.0000,1400,0
UAM.US,5,20131112,173500,7.0000,7.0100,7.0000,7.0100,200,0
UAM.US,5,20131112,174000,7.0100,7.0100,6.9900,7.0000,5800,0
UAM.US,5,20131112,174500,6.9900,6.9900,6.9700,6.9700,1100,0
UAM.US,5,20131112,175000,6.9800,6.9800,6.9400,6.9400,1900,0
UAM.US,5,20131112,175500,6.9400,6.9400,6.9400,6.9400,200,0
UAM.US,5,20131112,180000,6.9500,6.9500,6.9400,6.9500,1700,0
UAM.US,5,20131112,180500,6.9400,6.9400,6.9300,6.9300,4500,0
UAM.US,5,20131112,181000,6.9200,6.9200,6.8700,6.8700,2600,0
UAM.US,5,20131112,181500,6.8700,6.8700,6.8500,6.8600,9379,0
UAM.US,5,20131112,182000,6.8600,6.8800,6.8600,6.8800,2898,0
UAM.US,5,20131112,182500,6.8800,6.9000,6.8700,6.8900,2482,0
UAM.US,5,20131112,183000,6.8900,6.8900,6.8900,6.8900,200,0
UAM.US,5,20131112,183500,6.8800,6.8900,6.8700,6.8900,1882,0
UAM.US,5,20131112,184000,6.8900,6.9000,6.8900,6.8900,1100,0
UAM.US,5,20131112,184500,6.8900,6.8900,6.8800,6.8800,539,0
UAM.US,5,20131112,185000,6.8800,6.8900,6.8800,6.8900,300,0
UAM.US,5,20131112,185500,6.8900,6.9100,6.8800,6.9100,1182,0
UAM.US,5,20131112,190000,6.9100,6.9100,6.8900,6.9100,400,0
UAM.US,5,20131112,190500,6.9000,6.9100,6.8900,6.9000,2615,0
UAM.US,5,20131112,191000,6.8900,6.9000,6.8900,6.9000,400,0
UAM.US,5,20131112,191500,6.9000,6.9200,6.9000,6.9100,1000,0
UAM.US,5,20131112,192000,6.9200,6.9400,6.9200,6.9400,682,0
UAM.US,5,20131112,192500,6.9400,6.9500,6.9400,6.9400,1300,0
UAM.US,5,20131112,193000,6.9500,6.9500,6.9300,6.9300,800,0
UAM.US,5,20131112,193500,6.9200,6.9200,6.9200,6.9200,100,0
UAM.US,5,20131112,194000,6.9200,6.9200,6.9200,6.9200,200,0
UAM.US,5,20131112,194500,6.9200,6.9200,6.9100,6.9100,1100,0
UAM.US,5,20131112,195000,6.9100,6.9400,6.9100,6.9400,2764,0
UAM.US,5,20131112,195500,6.9400,6.9500,6.9300,6.9500,2182,0
UAM.US,5,20131112,200000,6.9600,6.9600,6.9500,6.9500,510,0
UAM.US,5,20131112,200500,6.9600,6.9600,6.9500,6.9500,2700,0
UAM.US,5,20131112,201000,6.9500,6.9500,6.9500,6.9500,700,0
UAM.US,5,20131112,201500,6.9500,6.9600,6.9400,6.9500,12733,0
UAM.US,5,20131112,202000,6.9500,6.9600,6.9400,6.9600,4800,0
UAM.US,5,20131112,202500,6.9600,6.9700,6.9600,6.9600,500,0
UAM.US,5,20131112,203000,6.9600,6.9700,6.9600,6.9700,1000,0
UAM.US,5,20131112,203500,6.9600,6.9700,6.9600,6.9700,2263,0
UAM.US,5,20131112,204000,6.9700,7.0000,6.9700,6.9900,1782,0
