<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBP-F.US,5,20131112,171000,23.7500,23.7500,23.7500,23.7500,180,0
UBP-F.US,5,20131112,192500,23.8300,23.8300,23.8300,23.8300,465,0
UBP-F.US,5,20131112,200500,23.7500,23.7500,23.7500,23.7500,200,0
UBP-F.US,5,20131112,215500,23.7700,23.7700,23.7700,23.7700,126,0
UBP-F.US,5,20131113,174500,23.7700,23.7700,23.7700,23.7700,800,0
UBP-F.US,5,20131113,201500,23.7700,23.7700,23.7700,23.7700,2004,0
UBP-F.US,5,20131113,204500,23.7700,23.7700,23.7700,23.7700,968,0
UBP-F.US,5,20131113,205000,23.7500,23.7500,23.7500,23.7500,300,0
UBP-F.US,5,20131114,182000,23.6700,23.6700,23.6500,23.6600,1120,0
UBP-F.US,5,20131114,205000,23.7500,23.7500,23.7500,23.7500,267,0
UBP-F.US,5,20131114,213500,23.6500,23.6500,23.6500,23.6500,151,0
UBP-F.US,5,20131115,155000,23.6500,23.6500,23.5500,23.5500,1000,0
UBP-F.US,5,20131115,212500,23.6500,23.6500,23.6500,23.6500,1000,0
UBP-F.US,5,20131115,220000,23.6600,23.6600,23.6600,23.6600,100,0
UBP-F.US,5,20131118,162500,23.6500,23.6500,23.6500,23.6500,484,0
UBP-F.US,5,20131118,211500,23.6600,23.6600,23.6600,23.6600,100,0
UBP-F.US,5,20131118,214500,23.6500,23.6600,23.6400,23.6600,1071,0
UBP-F.US,5,20131118,215000,23.6500,23.6500,23.6000,23.6000,1200,0
UBP-F.US,5,20131119,154500,23.6000,23.6000,23.6000,23.6000,150,0
UBP-F.US,5,20131119,155500,23.6000,23.6000,23.6000,23.6000,171,0
UBP-F.US,5,20131119,194000,23.5900,23.6000,23.5900,23.6000,400,0
UBP-F.US,5,20131119,211500,23.6500,23.6500,23.6500,23.6500,177,0
UBP-F.US,5,20131120,161000,23.7900,23.8500,23.7600,23.7600,1351,0
UBP-F.US,5,20131120,171000,23.7900,23.7900,23.7900,23.7900,200,0
UBP-F.US,5,20131120,212500,23.7600,23.7600,23.7600,23.7600,100,0
UBP-F.US,5,20131121,202000,23.7400,23.7400,23.7400,23.7400,700,0
UBP-F.US,5,20131121,213500,23.6300,23.7300,23.6300,23.7300,1314,0
UBP-F.US,5,20131121,214000,23.6400,23.6400,23.6400,23.6400,144,0
UBP-F.US,5,20131122,201000,23.6200,23.6200,23.6200,23.6200,100,0
UBP-F.US,5,20131122,221000,23.5000,23.5000,23.5000,23.5000,1501,0
UBP-F.US,5,20131125,182000,23.6700,23.6700,23.6700,23.6700,425,0
UBP-F.US,5,20131125,182500,23.6700,23.6700,23.6700,23.6700,575,0
UBP-F.US,5,20131125,185000,23.7200,23.7200,23.7200,23.7200,100,0
UBP-F.US,5,20131125,210000,23.5100,23.5100,23.5100,23.5100,124,0
UBP-F.US,5,20131126,181000,23.7000,23.8700,23.7000,23.7500,2800,0
UBP-F.US,5,20131126,182000,23.9200,23.9300,23.8900,23.9300,2500,0
UBP-F.US,5,20131126,182500,24.0000,24.0000,24.0000,24.0000,2319,0
UBP-F.US,5,20131126,183500,24.0000,24.0000,24.0000,24.0000,820,0
UBP-F.US,5,20131126,184000,24.0000,24.0000,24.0000,24.0000,891,0
UBP-F.US,5,20131126,184500,24.0000,24.0000,24.0000,24.0000,600,0
UBP-F.US,5,20131126,200000,24.0000,24.0000,24.0000,24.0000,700,0
UBP-F.US,5,20131126,200500,24.0000,24.0000,24.0000,24.0000,300,0
UBP-F.US,5,20131126,220000,23.9000,23.9000,23.8900,23.8900,509,0
UBP-F.US,5,20131127,180500,23.9000,23.9000,23.9000,23.9000,130,0
UBP-F.US,5,20131127,195000,23.6500,23.6500,23.6500,23.6500,100,0
UBP-F.US,5,20131127,202500,23.7800,23.7800,23.7800,23.7800,100,0
