<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UHS.US,5,20131112,153500,80.4800,80.9600,80.4800,80.7700,9400,0
UHS.US,5,20131112,154000,80.7200,80.7500,80.4800,80.6900,8901,0
UHS.US,5,20131112,154500,80.6200,80.6900,80.4500,80.4500,4100,0
UHS.US,5,20131112,155000,80.5000,80.5900,80.4800,80.4800,6996,0
UHS.US,5,20131112,155500,80.5300,80.5300,80.0000,80.0800,22895,0
UHS.US,5,20131112,160000,80.0000,80.2200,79.9700,80.1600,6200,0
UHS.US,5,20131112,160500,80.2300,80.2300,79.9400,79.9400,3858,0
UHS.US,5,20131112,161000,80.0000,80.1600,79.9700,80.1600,1800,0
UHS.US,5,20131112,161500,80.1300,80.2600,80.0500,80.1100,15509,0
UHS.US,5,20131112,162000,80.0900,80.3300,80.0000,80.3100,4822,0
UHS.US,5,20131112,162500,80.3100,80.3400,80.1600,80.2600,3300,0
UHS.US,5,20131112,163000,80.2600,80.3900,80.2600,80.3600,800,0
UHS.US,5,20131112,163500,80.3400,80.3400,80.1000,80.1000,5200,0
UHS.US,5,20131112,164000,80.1100,80.1700,80.0800,80.1600,1800,0
UHS.US,5,20131112,164500,80.2200,80.2700,80.1300,80.1300,4330,0
UHS.US,5,20131112,165000,80.1600,80.1700,79.9800,80.1000,20159,0
UHS.US,5,20131112,165500,80.1000,80.1000,79.9300,79.9300,3300,0
UHS.US,5,20131112,170000,79.9800,80.1700,79.9800,80.1600,5660,0
UHS.US,5,20131112,170500,80.1500,80.1700,80.0500,80.1700,7247,0
UHS.US,5,20131112,171000,80.1400,80.2100,80.0500,80.0900,31284,0
UHS.US,5,20131112,171500,80.1300,80.2900,80.0700,80.2000,4300,0
UHS.US,5,20131112,172000,80.2500,80.3200,80.1900,80.2000,3730,0
UHS.US,5,20131112,172500,80.1600,80.2600,80.1400,80.2500,4200,0
UHS.US,5,20131112,173000,80.2600,80.2600,80.1400,80.1700,27129,0
UHS.US,5,20131112,173500,80.2100,80.3300,80.2000,80.3200,5100,0
UHS.US,5,20131112,174000,80.3000,80.3100,80.1400,80.1500,4868,0
UHS.US,5,20131112,174500,80.1800,80.2000,80.1400,80.1600,3045,0
UHS.US,5,20131112,175000,80.1600,80.1600,80.0900,80.1300,13612,0
