<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT.US,5,20131112,153500,49.8100,49.9400,49.8100,49.9400,2235,0
UNT.US,5,20131112,154000,49.8100,49.9700,49.8100,49.9700,600,0
UNT.US,5,20131112,154500,50.1100,50.1100,49.9300,49.9300,900,0
UNT.US,5,20131112,155000,50.0100,50.0200,49.8800,49.9100,3744,0
UNT.US,5,20131112,155500,49.9800,49.9800,49.9000,49.9200,1300,0
UNT.US,5,20131112,160000,49.8000,49.8500,49.7900,49.8500,500,0
UNT.US,5,20131112,160500,49.8700,49.8900,49.7600,49.7600,2400,0
UNT.US,5,20131112,161000,49.7200,49.7300,49.6700,49.7100,2380,0
UNT.US,5,20131112,161500,49.7100,49.7700,49.6400,49.6500,2700,0
UNT.US,5,20131112,162000,49.6400,49.8100,49.6400,49.8000,8078,0
UNT.US,5,20131112,162500,49.7900,49.8000,49.7100,49.7300,2600,0
UNT.US,5,20131112,163000,49.7100,49.7100,49.6300,49.6300,800,0
UNT.US,5,20131112,163500,49.6700,49.6800,49.4600,49.4700,3395,0
UNT.US,5,20131112,164000,49.4900,49.5300,49.4700,49.5300,1900,0
UNT.US,5,20131112,164500,49.5200,49.5400,49.4600,49.4900,2900,0
UNT.US,5,20131112,165000,49.5300,49.5300,49.4700,49.4700,1600,0
UNT.US,5,20131112,165500,49.4900,49.5100,49.4300,49.4500,2600,0
UNT.US,5,20131112,170000,49.4400,49.4600,49.3700,49.4200,1900,0
UNT.US,5,20131112,170500,49.4200,49.4400,49.3400,49.4100,4600,0
UNT.US,5,20131112,171000,49.3700,49.4100,49.3000,49.3300,2960,0
UNT.US,5,20131112,171500,49.3200,49.4100,49.2900,49.4100,1000,0
UNT.US,5,20131112,172000,49.4200,49.4300,49.3300,49.3900,7010,0
UNT.US,5,20131112,172500,49.3900,49.4400,49.3600,49.4400,2700,0
UNT.US,5,20131112,173000,49.4500,49.4900,49.4200,49.4900,2400,0
UNT.US,5,20131112,173500,49.4900,49.4900,49.4900,49.4900,300,0
UNT.US,5,20131112,174000,49.4700,49.4800,49.3800,49.3800,1900,0
UNT.US,5,20131112,174500,49.3200,49.3900,49.3200,49.3400,2574,0
UNT.US,5,20131112,175000,49.3400,49.3500,49.3200,49.3500,1700,0
UNT.US,5,20131112,175500,49.3300,49.3400,49.3300,49.3400,600,0
UNT.US,5,20131112,180000,49.3400,49.3400,49.2800,49.2900,1600,0
UNT.US,5,20131112,180500,49.2900,49.2900,49.2400,49.2600,1800,0
UNT.US,5,20131112,181000,49.2700,49.2700,49.1400,49.1600,4000,0
UNT.US,5,20131112,181500,49.1500,49.1900,49.1200,49.1200,800,0
UNT.US,5,20131112,182000,49.1300,49.1500,49.1100,49.1500,1800,0
UNT.US,5,20131112,182500,49.1200,49.1800,49.1000,49.1200,7042,0
UNT.US,5,20131112,183000,49.1200,49.1300,48.9800,49.0700,6400,0
UNT.US,5,20131112,183500,49.0800,49.1100,49.0600,49.1100,600,0
UNT.US,5,20131112,184000,49.1600,49.1600,49.1000,49.1000,1500,0
UNT.US,5,20131112,184500,49.1000,49.1200,49.0500,49.0600,3600,0
UNT.US,5,20131112,185000,49.0700,49.1300,49.0700,49.1000,1300,0
UNT.US,5,20131112,185500,49.1100,49.2400,49.1100,49.2400,11100,0
UNT.US,5,20131112,190000,49.2500,49.2600,49.1800,49.1900,3100,0
UNT.US,5,20131112,190500,49.1800,49.2000,49.1400,49.1400,1800,0
UNT.US,5,20131112,191000,49.1500,49.1600,49.1400,49.1600,1898,0
UNT.US,5,20131112,191500,49.2200,49.2200,49.1900,49.1900,600,0
UNT.US,5,20131112,192000,49.1900,49.1900,49.1600,49.1600,2700,0
UNT.US,5,20131112,192500,49.1600,49.1600,49.1600,49.1600,900,0
UNT.US,5,20131112,193000,49.1700,49.1700,49.0900,49.0900,3900,0
UNT.US,5,20131112,193500,49.0700,49.1200,48.9900,48.9900,6597,0
UNT.US,5,20131112,194000,49.0100,49.0400,48.9900,49.0100,3300,0
UNT.US,5,20131112,194500,48.9400,49.0200,48.9300,49.0200,3200,0
UNT.US,5,20131112,195000,49.0200,49.0600,49.0200,49.0600,900,0
UNT.US,5,20131112,195500,49.0700,49.1000,49.0600,49.0600,1600,0
UNT.US,5,20131112,200000,49.0700,49.0700,49.0000,49.0000,1800,0
UNT.US,5,20131112,200500,49.0100,49.0300,49.0100,49.0200,4300,0
