<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPS.US,5,20131112,153500,98.9400,99.0800,98.7600,99.0700,53294,0
UPS.US,5,20131112,154000,99.1000,99.2100,98.9200,99.0000,53745,0
UPS.US,5,20131112,154500,99.0100,99.1500,99.0100,99.0800,46469,0
UPS.US,5,20131112,155000,99.0900,99.1800,98.9600,99.1000,50005,0
UPS.US,5,20131112,155500,99.0600,99.1900,98.9700,99.0100,33457,0
UPS.US,5,20131112,160000,99.0000,99.0200,98.8500,98.9100,45216,0
UPS.US,5,20131112,160500,98.9100,98.9600,98.8400,98.8800,40985,0
UPS.US,5,20131112,161000,98.9000,98.9700,98.8700,98.9300,30295,0
UPS.US,5,20131112,161500,98.9500,99.0400,98.9300,99.0400,42095,0
UPS.US,5,20131112,162000,99.0200,99.3600,99.0200,99.3400,70317,0
UPS.US,5,20131112,162500,99.3500,99.3500,99.2000,99.2300,21467,0
UPS.US,5,20131112,163000,99.2400,99.3400,99.1600,99.3400,36258,0
UPS.US,5,20131112,163500,99.3400,99.4700,99.3200,99.4500,37223,0
UPS.US,5,20131112,164000,99.4600,99.5300,99.4300,99.4700,60244,0
UPS.US,5,20131112,164500,99.4600,99.7300,99.4000,99.6200,141167,0
UPS.US,5,20131112,165000,99.6200,99.9500,99.6200,99.9000,82212,0
UPS.US,5,20131112,165500,99.9200,99.9300,99.7600,99.8700,31355,0
UPS.US,5,20131112,170000,99.8800,99.9300,99.7500,99.7900,74547,0
UPS.US,5,20131112,170500,99.7900,99.8700,99.7200,99.8700,33001,0
UPS.US,5,20131112,171000,99.8700,99.9000,99.8300,99.8500,35535,0
UPS.US,5,20131112,171500,99.8600,99.9700,99.8600,99.9100,41654,0
UPS.US,5,20131112,172000,99.9200,100.0800,99.9000,100.0100,38483,0
UPS.US,5,20131112,172500,100.0000,100.0000,99.7900,99.8200,29710,0
UPS.US,5,20131112,173000,99.8100,99.8900,99.7400,99.8600,28612,0
UPS.US,5,20131112,173500,99.8400,100.0000,99.8300,100.0000,33376,0
UPS.US,5,20131112,174000,99.9800,99.9800,99.8000,99.8000,31388,0
UPS.US,5,20131112,174500,99.8000,99.9200,99.7900,99.8600,34737,0
UPS.US,5,20131112,175000,99.8600,99.8900,99.8300,99.8900,26569,0
UPS.US,5,20131112,175500,99.9000,99.9000,99.8500,99.8700,20219,0
UPS.US,5,20131112,180000,99.8800,99.9000,99.8500,99.8600,36990,0
UPS.US,5,20131112,180500,99.8500,99.9500,99.8400,99.9100,34033,0
UPS.US,5,20131112,181000,99.9100,99.9100,99.6600,99.6800,43572,0
UPS.US,5,20131112,181500,99.6900,99.7200,99.6400,99.6600,29637,0
UPS.US,5,20131112,182000,99.6800,99.8000,99.6800,99.6900,20735,0
UPS.US,5,20131112,182500,99.7000,99.7100,99.6600,99.7000,22665,0
UPS.US,5,20131112,183000,99.6900,99.7200,99.6600,99.7000,28772,0
UPS.US,5,20131112,183500,99.6900,99.6900,99.5900,99.6500,22124,0
UPS.US,5,20131112,184000,99.6500,99.6600,99.5900,99.6400,17110,0
UPS.US,5,20131112,184500,99.6300,99.6800,99.6100,99.6600,19363,0
UPS.US,5,20131112,185000,99.6600,99.6800,99.6300,99.6500,21838,0
UPS.US,5,20131112,185500,99.6500,99.6500,99.5900,99.6200,23351,0
UPS.US,5,20131112,190000,99.6100,99.6600,99.5900,99.6200,27139,0
UPS.US,5,20131112,190500,99.6200,99.6300,99.5800,99.6100,20783,0
UPS.US,5,20131112,191000,99.6100,99.6800,99.6100,99.6200,15854,0
UPS.US,5,20131112,191500,99.6200,99.6900,99.6200,99.6900,21558,0
UPS.US,5,20131112,192000,99.6800,99.7600,99.6600,99.7600,14629,0
UPS.US,5,20131112,192500,99.7600,99.8300,99.7600,99.8100,25338,0
UPS.US,5,20131112,193000,99.8200,99.8700,99.7000,99.7000,18673,0
UPS.US,5,20131112,193500,99.6900,99.7000,99.5500,99.5500,21469,0
UPS.US,5,20131112,194000,99.5400,99.6100,99.5000,99.6100,27661,0
UPS.US,5,20131112,194500,99.6100,99.7000,99.6000,99.6600,34565,0
UPS.US,5,20131112,195000,99.6600,99.7300,99.6400,99.7100,43203,0
UPS.US,5,20131112,195500,99.7100,99.7200,99.6200,99.6200,21709,0
UPS.US,5,20131112,200000,99.6200,99.6600,99.6100,99.6200,22814,0
UPS.US,5,20131112,200500,99.6200,99.6700,99.6200,99.6600,25347,0
UPS.US,5,20131112,201000,99.6600,99.7200,99.6600,99.6700,19757,0
UPS.US,5,20131112,201500,99.6700,99.7000,99.6400,99.6900,21654,0
UPS.US,5,20131112,202000,99.7000,99.7000,99.6600,99.7000,32020,0
UPS.US,5,20131112,202500,99.6900,99.8200,99.6900,99.7600,51885,0
UPS.US,5,20131112,203000,99.7500,99.7600,99.6400,99.6400,21226,0
UPS.US,5,20131112,203500,99.6300,99.6900,99.6300,99.6800,25555,0
UPS.US,5,20131112,204000,99.6800,99.8000,99.6800,99.7900,30742,0
UPS.US,5,20131112,204500,99.7700,99.8000,99.7400,99.7900,58620,0
UPS.US,5,20131112,205000,99.7800,99.8200,99.7600,99.8100,16565,0
UPS.US,5,20131112,205500,99.8300,99.8400,99.7900,99.7900,31044,0
UPS.US,5,20131112,210000,99.8000,99.8900,99.7900,99.8400,31236,0
UPS.US,5,20131112,210500,99.8300,99.9000,99.8100,99.8200,21562,0
UPS.US,5,20131112,211000,99.8200,99.8500,99.8000,99.8300,27824,0
UPS.US,5,20131112,211500,99.8300,99.9000,99.8000,99.8900,48633,0
