<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
URS.US,5,20131112,153500,51.4700,51.4900,51.3400,51.3400,1702,0
URS.US,5,20131112,154000,51.1800,51.1800,51.1500,51.1800,600,0
URS.US,5,20131112,154500,51.3300,51.3300,51.2400,51.2400,800,0
URS.US,5,20131112,155000,51.2800,51.3800,51.2500,51.3100,7059,0
URS.US,5,20131112,155500,51.3000,51.3800,51.2800,51.3400,4701,0
URS.US,5,20131112,160000,51.3100,51.4000,51.2400,51.2900,5833,0
URS.US,5,20131112,160500,51.2800,51.3000,50.9800,51.0300,10680,0
URS.US,5,20131112,161000,51.0400,51.0700,50.9400,51.0000,4934,0
URS.US,5,20131112,161500,50.9700,50.9700,50.8900,50.8900,2800,0
URS.US,5,20131112,162000,50.8700,51.0200,50.8300,50.9700,9700,0
URS.US,5,20131112,162500,50.9600,51.0200,50.8700,50.9000,10992,0
URS.US,5,20131112,163000,50.9100,51.0000,50.8700,50.9800,2800,0
URS.US,5,20131112,163500,50.9700,50.9900,50.9200,50.9800,1600,0
URS.US,5,20131112,164000,50.9500,51.0100,50.9200,50.9400,3900,0
URS.US,5,20131112,164500,50.9500,51.1200,50.9200,51.0500,6167,0
URS.US,5,20131112,165000,51.0300,51.1000,51.0300,51.0500,2310,0
URS.US,5,20131112,165500,51.0800,51.1000,51.0700,51.0800,800,0
URS.US,5,20131112,170000,51.0900,51.1400,51.0900,51.1200,2100,0
URS.US,5,20131112,170500,51.1300,51.1700,51.1000,51.1200,4600,0
URS.US,5,20131112,171000,51.0800,51.1300,51.0400,51.0900,3310,0
URS.US,5,20131112,171500,51.1300,51.2000,51.1300,51.1600,1000,0
URS.US,5,20131112,172000,51.1800,51.3300,51.1800,51.3100,2400,0
URS.US,5,20131112,172500,51.3500,51.4200,51.3300,51.4200,2301,0
URS.US,5,20131112,173000,51.4100,51.4200,51.3800,51.4200,3006,0
URS.US,5,20131112,173500,51.4300,51.4500,51.3500,51.3600,4285,0
URS.US,5,20131112,174000,51.3600,51.3700,51.2800,51.2800,3688,0
URS.US,5,20131112,174500,51.2700,51.3200,51.2700,51.3200,2500,0
URS.US,5,20131112,175000,51.2900,51.2900,51.1900,51.2200,1900,0
URS.US,5,20131112,175500,51.2700,51.2700,51.2600,51.2700,500,0
URS.US,5,20131112,180000,51.2200,51.2400,51.1600,51.1600,2474,0
URS.US,5,20131112,180500,51.1700,51.1900,51.1300,51.1400,13729,0
URS.US,5,20131112,181000,51.1300,51.1300,51.0100,51.0100,2730,0
URS.US,5,20131112,181500,51.0000,51.1000,51.0000,51.1000,1626,0
URS.US,5,20131112,182000,51.0800,51.1300,51.0700,51.0800,1927,0
URS.US,5,20131112,182500,51.0700,51.1400,51.0100,51.0400,4395,0
URS.US,5,20131112,183000,51.0100,51.0400,51.0100,51.0100,1200,0
URS.US,5,20131112,183500,51.0600,51.0600,50.9800,51.0100,2900,0
URS.US,5,20131112,184000,51.0100,51.0700,50.9900,51.0700,943,0
URS.US,5,20131112,184500,51.0600,51.0900,51.0200,51.0900,2047,0
URS.US,5,20131112,185000,51.0900,51.0900,51.0400,51.0900,1314,0
URS.US,5,20131112,185500,51.0900,51.0900,51.0200,51.0400,5116,0
URS.US,5,20131112,190000,51.0400,51.0700,50.9800,50.9900,3321,0
URS.US,5,20131112,190500,50.9900,51.0000,50.9600,50.9600,3600,0
URS.US,5,20131112,191000,50.9500,50.9900,50.9300,50.9800,1600,0
URS.US,5,20131112,191500,51.0100,51.0500,50.9800,50.9800,2400,0
URS.US,5,20131112,192000,51.0000,51.0100,50.9800,50.9900,2038,0
URS.US,5,20131112,192500,51.0100,51.0400,50.9700,50.9800,3468,0
URS.US,5,20131112,193000,50.9900,51.0000,50.9100,50.9100,6976,0
URS.US,5,20131112,193500,50.9100,50.9700,50.8400,50.8400,9703,0
URS.US,5,20131112,194000,50.8400,50.8600,50.7600,50.7700,5079,0
URS.US,5,20131112,194500,50.7700,50.7900,50.7000,50.7300,18576,0
URS.US,5,20131112,195000,50.7400,50.7800,50.7000,50.7500,19057,0
URS.US,5,20131112,195500,50.7700,50.7800,50.7200,50.7400,9857,0
URS.US,5,20131112,200000,50.7400,50.7400,50.7000,50.7300,4700,0
URS.US,5,20131112,200500,50.7100,50.7400,50.6800,50.6800,11019,0
URS.US,5,20131112,201000,50.6800,50.7400,50.6800,50.6900,19956,0
URS.US,5,20131112,201500,50.7200,50.7400,50.6900,50.7000,7236,0
URS.US,5,20131112,202000,50.7100,50.7200,50.6500,50.6600,37880,0
URS.US,5,20131112,202500,50.6600,50.6700,50.6300,50.6400,16625,0
URS.US,5,20131112,203000,50.6500,50.6500,50.5500,50.5700,5491,0
URS.US,5,20131112,203500,50.6000,50.6700,50.6000,50.6700,7610,0
URS.US,5,20131112,204000,50.6700,50.8000,50.6700,50.7700,2200,0
URS.US,5,20131112,204500,50.7700,50.8200,50.7500,50.8200,5301,0
URS.US,5,20131112,205000,50.8200,50.8200,50.6600,50.6800,16987,0
URS.US,5,20131112,205500,50.6800,50.6800,50.6500,50.6600,9898,0
URS.US,5,20131112,210000,50.7100,50.8100,50.7000,50.8000,2200,0
URS.US,5,20131112,210500,50.7800,50.8300,50.7500,50.8200,30021,0
URS.US,5,20131112,211000,50.8300,50.9100,50.8300,50.9100,3453,0
URS.US,5,20131112,211500,50.9200,50.9700,50.9200,50.9700,5197,0
URS.US,5,20131112,212000,50.9700,51.0100,50.9700,51.0100,6270,0
URS.US,5,20131112,212500,51.0100,51.0200,50.9500,50.9800,5180,0
URS.US,5,20131112,213000,50.9800,51.0100,50.9800,50.9800,4599,0
URS.US,5,20131112,213500,50.9900,51.0200,50.9900,51.0200,4761,0
URS.US,5,20131112,214000,51.0100,51.0100,50.9900,51.0000,4369,0
URS.US,5,20131112,214500,51.0100,51.0300,50.9900,51.0000,4386,0
URS.US,5,20131112,215000,50.9900,51.0000,50.9100,50.9300,13680,0
URS.US,5,20131112,215500,50.9200,50.9300,50.8600,50.8600,8852,0
URS.US,5,20131112,220000,50.8600,50.9100,50.7900,50.8400,80873,0
URS.US,5,20131112,220500,50.8400,50.8400,50.8400,50.8400,25543,0
URS.US,5,20131113,153500,50.8400,50.8400,50.7200,50.7500,1300,0
URS.US,5,20131113,154000,50.6100,50.7500,50.6100,50.7500,1225,0
URS.US,5,20131113,154500,50.8000,50.8400,50.7900,50.8000,1600,0
URS.US,5,20131113,155000,50.7700,50.8900,50.7000,50.8600,5002,0
URS.US,5,20131113,155500,50.8200,50.8200,50.6500,50.6600,2900,0
URS.US,5,20131113,160000,50.6300,50.8200,50.6300,50.8000,3631,0
URS.US,5,20131113,160500,50.8200,50.8900,50.6900,50.6900,11266,0
URS.US,5,20131113,161000,50.8200,50.8800,50.8000,50.8600,8335,0
URS.US,5,20131113,161500,50.8500,50.9200,50.8200,50.8900,6620,0
URS.US,5,20131113,162000,50.9200,50.9700,50.7400,50.8000,4900,0
URS.US,5,20131113,162500,50.8000,50.8900,50.7900,50.8600,3800,0
URS.US,5,20131113,163000,50.8600,51.1000,50.8300,51.1000,59560,0
URS.US,5,20131113,163500,51.0700,51.1100,51.0400,51.0400,486,0
URS.US,5,20131113,164000,51.0400,51.0800,50.9400,51.0400,9800,0
URS.US,5,20131113,164500,51.0600,51.0700,50.9800,51.0200,4500,0
URS.US,5,20131113,165000,51.0000,51.0400,51.0000,51.0100,5116,0
URS.US,5,20131113,165500,51.0400,51.0400,50.8900,50.9800,6331,0
URS.US,5,20131113,170000,50.9800,51.0200,50.9700,51.0100,5256,0
URS.US,5,20131113,170500,51.0200,51.0200,50.9100,50.9100,6287,0
