<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USA.US,5,20131112,154000,5.6900,5.7000,5.6800,5.7000,3135,0
USA.US,5,20131112,154500,5.7000,5.7100,5.7000,5.7100,3100,0
USA.US,5,20131112,155000,5.7100,5.7200,5.7100,5.7200,1600,0
USA.US,5,20131112,155500,5.7200,5.7200,5.7200,5.7200,2080,0
USA.US,5,20131112,160000,5.7200,5.7200,5.7100,5.7200,5485,0
USA.US,5,20131112,160500,5.7200,5.7200,5.7100,5.7200,2301,0
USA.US,5,20131112,161000,5.7200,5.7200,5.7100,5.7200,1657,0
USA.US,5,20131112,161500,5.7200,5.7200,5.7200,5.7200,600,0
USA.US,5,20131112,162000,5.7200,5.7200,5.7200,5.7200,400,0
USA.US,5,20131112,162500,5.7200,5.7200,5.7100,5.7100,4577,0
USA.US,5,20131112,163000,5.7100,5.7200,5.7100,5.7200,357,0
USA.US,5,20131112,163500,5.7200,5.7200,5.7000,5.7000,2900,0
USA.US,5,20131112,164000,5.7000,5.7100,5.7000,5.7000,3269,0
USA.US,5,20131112,164500,5.7100,5.7100,5.7000,5.7100,1100,0
USA.US,5,20131112,165000,5.7100,5.7100,5.6900,5.6900,5143,0
USA.US,5,20131112,165500,5.6900,5.6900,5.6900,5.6900,100,0
USA.US,5,20131112,170500,5.7000,5.7000,5.7000,5.7000,200,0
USA.US,5,20131112,171000,5.7000,5.7000,5.7000,5.7000,200,0
USA.US,5,20131112,171500,5.6900,5.7000,5.6900,5.7000,580,0
USA.US,5,20131112,172000,5.7000,5.7000,5.7000,5.7000,200,0
USA.US,5,20131112,172500,5.7000,5.7000,5.6900,5.7000,469,0
USA.US,5,20131112,173000,5.7000,5.7000,5.7000,5.7000,100,0
USA.US,5,20131112,173500,5.7000,5.7000,5.7000,5.7000,2775,0
USA.US,5,20131112,174000,5.7000,5.7000,5.7000,5.7000,8080,0
USA.US,5,20131112,174500,5.7000,5.7000,5.6900,5.7000,2033,0
USA.US,5,20131112,175000,5.7000,5.7000,5.7000,5.7000,200,0
USA.US,5,20131112,175500,5.7000,5.7100,5.7000,5.7000,1600,0
USA.US,5,20131112,180500,5.7000,5.7000,5.6900,5.6900,1200,0
USA.US,5,20131112,181000,5.7000,5.7000,5.7000,5.7000,200,0
USA.US,5,20131112,181500,5.7000,5.7000,5.7000,5.7000,200,0
USA.US,5,20131112,182000,5.7000,5.7000,5.7000,5.7000,200,0
USA.US,5,20131112,182500,5.7000,5.7000,5.7000,5.7000,200,0
USA.US,5,20131112,183000,5.7000,5.7000,5.7000,5.7000,500,0
USA.US,5,20131112,183500,5.7000,5.7000,5.6900,5.7000,675,0
USA.US,5,20131112,184000,5.7000,5.7000,5.7000,5.7000,700,0
USA.US,5,20131112,184500,5.7000,5.7000,5.7000,5.7000,700,0
USA.US,5,20131112,185000,5.7000,5.7000,5.7000,5.7000,5436,0
USA.US,5,20131112,185500,5.7000,5.7000,5.7000,5.7000,600,0
USA.US,5,20131112,190000,5.7000,5.7000,5.6900,5.7000,2363,0
USA.US,5,20131112,190500,5.7000,5.7000,5.7000,5.7000,600,0
USA.US,5,20131112,191000,5.7000,5.7000,5.7000,5.7000,500,0
USA.US,5,20131112,191500,5.7000,5.7000,5.6900,5.6900,814,0
USA.US,5,20131112,192000,5.7000,5.7100,5.6900,5.6900,6434,0
USA.US,5,20131112,192500,5.7000,5.7000,5.6900,5.7000,685,0
USA.US,5,20131112,193000,5.7000,5.7000,5.7000,5.7000,650,0
USA.US,5,20131112,193500,5.7000,5.7000,5.6900,5.6900,1579,0
USA.US,5,20131112,194000,5.6900,5.7000,5.6900,5.7000,2050,0
USA.US,5,20131112,194500,5.7000,5.7000,5.7000,5.7000,1200,0
USA.US,5,20131112,195000,5.7000,5.7000,5.7000,5.7000,2615,0
USA.US,5,20131112,195500,5.7000,5.7000,5.7000,5.7000,2300,0
USA.US,5,20131112,200000,5.7000,5.7000,5.6900,5.7000,2058,0
USA.US,5,20131112,200500,5.7000,5.7000,5.7000,5.7000,1900,0
USA.US,5,20131112,201000,5.7000,5.7100,5.7000,5.7100,1900,0
USA.US,5,20131112,201500,5.7100,5.7100,5.7000,5.7000,5975,0
USA.US,5,20131112,202000,5.7000,5.7100,5.6800,5.6800,14050,0
USA.US,5,20131112,202500,5.6900,5.6900,5.6900,5.6900,1600,0
USA.US,5,20131112,203000,5.6900,5.6900,5.6800,5.6900,3500,0
USA.US,5,20131112,203500,5.6900,5.6900,5.6900,5.6900,3300,0
USA.US,5,20131112,204000,5.6900,5.6900,5.6900,5.6900,7611,0
USA.US,5,20131112,204500,5.6900,5.6900,5.6900,5.6900,3800,0
USA.US,5,20131112,205000,5.6900,5.6900,5.6700,5.6800,6175,0
USA.US,5,20131112,205500,5.6800,5.6900,5.6700,5.6800,2350,0
USA.US,5,20131112,210000,5.6800,5.7000,5.6700,5.6900,8901,0
USA.US,5,20131112,210500,5.6900,5.6900,5.6900,5.6900,5900,0
USA.US,5,20131112,211000,5.6800,5.6800,5.6800,5.6800,2200,0
USA.US,5,20131112,214000,5.6900,5.6900,5.6900,5.6900,3195,0
USA.US,5,20131112,214500,5.6900,5.6900,5.6800,5.6800,18536,0
USA.US,5,20131112,215000,5.6900,5.6900,5.6800,5.6900,1900,0
USA.US,5,20131112,215500,5.6800,5.6900,5.6800,5.6900,9274,0
USA.US,5,20131112,220000,5.6900,5.7000,5.6900,5.7000,11781,0
USA.US,5,20131113,153500,5.6600,5.6600,5.6500,5.6500,2706,0
USA.US,5,20131113,154000,5.6600,5.6600,5.6600,5.6600,2572,0
USA.US,5,20131113,154500,5.6800,5.6800,5.6600,5.6700,5740,0
USA.US,5,20131113,155500,5.6600,5.6600,5.6600,5.6600,100,0
USA.US,5,20131113,160000,5.6600,5.6600,5.6600,5.6600,8084,0
USA.US,5,20131113,160500,5.6700,5.6700,5.6700,5.6700,2000,0
USA.US,5,20131113,161500,5.6600,5.6600,5.6600,5.6600,200,0
USA.US,5,20131113,162000,5.6700,5.6700,5.6700,5.6700,1901,0
USA.US,5,20131113,162500,5.6700,5.6700,5.6600,5.6600,2625,0
USA.US,5,20131113,163000,5.6700,5.6700,5.6700,5.6700,1711,0
USA.US,5,20131113,163500,5.6600,5.6600,5.6600,5.6600,1671,0
USA.US,5,20131113,164000,5.6600,5.6600,5.6600,5.6600,2000,0
USA.US,5,20131113,164500,5.6700,5.6800,5.6700,5.6800,4699,0
USA.US,5,20131113,165000,5.6700,5.6700,5.6700,5.6700,278,0
USA.US,5,20131113,165500,5.6700,5.6700,5.6700,5.6700,986,0
USA.US,5,20131113,170000,5.6700,5.6700,5.6700,5.6700,1840,0
USA.US,5,20131113,170500,5.6800,5.6800,5.6800,5.6800,500,0
USA.US,5,20131113,171000,5.6700,5.6800,5.6700,5.6700,5190,0
USA.US,5,20131113,171500,5.6800,5.6800,5.6800,5.6800,2515,0
USA.US,5,20131113,172000,5.6700,5.6700,5.6600,5.6600,3688,0
USA.US,5,20131113,172500,5.6700,5.6700,5.6700,5.6700,3600,0
USA.US,5,20131113,174000,5.6600,5.6600,5.6600,5.6600,1000,0
USA.US,5,20131113,174500,5.6700,5.6700,5.6600,5.6600,5500,0
USA.US,5,20131113,175500,5.6600,5.6600,5.6600,5.6600,2643,0
USA.US,5,20131113,180000,5.6700,5.6700,5.6600,5.6600,3014,0
USA.US,5,20131113,180500,5.6700,5.6700,5.6700,5.6700,700,0
USA.US,5,20131113,181000,5.6700,5.6700,5.6700,5.6700,400,0
USA.US,5,20131113,181500,5.6700,5.6700,5.6600,5.6600,3599,0
USA.US,5,20131113,182000,5.6700,5.6800,5.6700,5.6800,5427,0
USA.US,5,20131113,182500,5.6800,5.6800,5.6700,5.6800,2132,0
USA.US,5,20131113,183000,5.6800,5.7000,5.6800,5.6900,14500,0
USA.US,5,20131113,183500,5.6900,5.6900,5.6700,5.6800,12326,0
USA.US,5,20131113,184000,5.6800,5.6800,5.6800,5.6800,1142,0
USA.US,5,20131113,184500,5.6700,5.6800,5.6700,5.6800,4844,0
USA.US,5,20131113,185000,5.6800,5.6800,5.6700,5.6700,1589,0
USA.US,5,20131113,190500,5.6700,5.6700,5.6700,5.6700,100,0
USA.US,5,20131113,191000,5.6800,5.6800,5.6700,5.6700,1656,0
USA.US,5,20131113,191500,5.6800,5.6800,5.6700,5.6700,1442,0
USA.US,5,20131113,192000,5.6800,5.6800,5.6800,5.6800,1030,0
USA.US,5,20131113,192500,5.6800,5.6800,5.6700,5.6800,1000,0
USA.US,5,20131113,193000,5.6800,5.6800,5.6800,5.6800,360,0
USA.US,5,20131113,193500,5.6700,5.6700,5.6700,5.6700,1000,0
USA.US,5,20131113,194000,5.6700,5.6800,5.6700,5.6800,10334,0
USA.US,5,20131113,194500,5.6800,5.6800,5.6700,5.6700,12506,0
USA.US,5,20131113,195000,5.6800,5.6800,5.6800,5.6800,100,0
USA.US,5,20131113,195500,5.6800,5.6800,5.6700,5.6700,603,0
USA.US,5,20131113,201000,5.6700,5.6800,5.6700,5.6700,1433,0
USA.US,5,20131113,201500,5.6800,5.6800,5.6600,5.6600,28650,0
USA.US,5,20131113,202000,5.6600,5.6700,5.6600,5.6600,6481,0
USA.US,5,20131113,202500,5.6600,5.6700,5.6600,5.6700,780,0
USA.US,5,20131113,203000,5.6700,5.6700,5.6700,5.6700,2500,0
USA.US,5,20131113,203500,5.6700,5.6700,5.6700,5.6700,3219,0
USA.US,5,20131113,204000,5.6700,5.6700,5.6700,5.6700,11200,0
USA.US,5,20131113,204500,5.6700,5.6700,5.6600,5.6600,2572,0
USA.US,5,20131113,205000,5.6700,5.6700,5.6700,5.6700,5000,0
USA.US,5,20131113,205500,5.6700,5.6700,5.6600,5.6600,3760,0
USA.US,5,20131113,210000,5.6700,5.6700,5.6700,5.6700,905,0
USA.US,5,20131113,210500,5.6700,5.6700,5.6600,5.6600,1473,0
USA.US,5,20131113,211000,5.6700,5.6700,5.6600,5.6600,3800,0
USA.US,5,20131113,211500,5.6600,5.6600,5.6600,5.6600,1929,0
USA.US,5,20131113,212000,5.6600,5.6600,5.6600,5.6600,262,0
USA.US,5,20131113,212500,5.6700,5.6700,5.6600,5.6700,13640,0
