<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UTL.US,5,20131112,154000,29.5100,29.6900,29.4600,29.6800,3447,0
UTL.US,5,20131112,155000,29.6400,29.6400,29.6400,29.6400,100,0
UTL.US,5,20131112,155500,29.5500,29.5700,29.5500,29.5700,600,0
UTL.US,5,20131112,160000,29.5400,29.5700,29.5400,29.5700,300,0
UTL.US,5,20131112,161000,29.6000,29.6000,29.5600,29.5800,1100,0
UTL.US,5,20131112,162000,29.5300,29.5300,29.5300,29.5300,670,0
UTL.US,5,20131112,162500,29.5500,29.5500,29.5500,29.5500,100,0
UTL.US,5,20131112,163000,29.6000,29.6000,29.6000,29.6000,100,0
UTL.US,5,20131112,163500,29.6100,29.6100,29.5700,29.5900,1000,0
UTL.US,5,20131112,164000,29.6100,29.6100,29.5900,29.5900,300,0
UTL.US,5,20131112,165000,29.5900,29.5900,29.5900,29.5900,200,0
UTL.US,5,20131112,165500,29.6100,29.6500,29.6100,29.6500,200,0
UTL.US,5,20131112,170000,29.6400,29.6400,29.6200,29.6200,395,0
UTL.US,5,20131112,172000,29.6500,29.6500,29.6500,29.6500,100,0
UTL.US,5,20131112,172500,29.7000,29.7000,29.6600,29.6800,700,0
UTL.US,5,20131112,173000,29.6500,29.6500,29.6500,29.6500,100,0
UTL.US,5,20131112,173500,29.6500,29.6500,29.6500,29.6500,100,0
UTL.US,5,20131112,174500,29.6700,29.6700,29.6700,29.6700,100,0
UTL.US,5,20131112,180000,29.5800,29.5800,29.5800,29.5800,300,0
UTL.US,5,20131112,180500,29.5600,29.5600,29.5100,29.5100,300,0
UTL.US,5,20131112,181000,29.4600,29.5000,29.4500,29.4500,400,0
UTL.US,5,20131112,181500,29.4700,29.4700,29.4300,29.4300,200,0
UTL.US,5,20131112,183000,29.4000,29.4000,29.4000,29.4000,100,0
UTL.US,5,20131112,183500,29.4000,29.4100,29.3300,29.3300,1000,0
UTL.US,5,20131112,184000,29.3200,29.3200,29.3200,29.3200,200,0
UTL.US,5,20131112,184500,29.3800,29.3800,29.3300,29.3300,822,0
UTL.US,5,20131112,190000,29.4000,29.4000,29.4000,29.4000,100,0
