<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UVV.US,5,20131112,153500,50.9800,50.9800,50.9800,50.9800,100,0
UVV.US,5,20131112,155000,50.4600,50.5000,50.4600,50.5000,1100,0
UVV.US,5,20131112,155500,50.5000,50.5400,50.5000,50.5400,2778,0
UVV.US,5,20131112,160000,50.5700,50.6800,50.5700,50.6800,1300,0
UVV.US,5,20131112,160500,50.6800,50.7600,50.6800,50.7300,700,0
UVV.US,5,20131112,161000,50.7400,50.8200,50.6600,50.6600,2100,0
UVV.US,5,20131112,161500,50.6500,50.7000,50.6500,50.6700,3300,0
UVV.US,5,20131112,162000,50.6600,50.8500,50.6600,50.8500,4503,0
UVV.US,5,20131112,162500,50.8500,50.8500,50.6600,50.6600,1400,0
UVV.US,5,20131112,163000,50.6600,50.6600,50.5900,50.6500,4170,0
UVV.US,5,20131112,163500,50.6500,50.7000,50.6400,50.7000,850,0
UVV.US,5,20131112,164000,50.6700,50.6700,50.6600,50.6600,400,0
UVV.US,5,20131112,164500,50.6500,50.6500,50.6500,50.6500,300,0
UVV.US,5,20131112,165000,50.6800,50.6800,50.6200,50.6200,500,0
UVV.US,5,20131112,165500,50.6600,50.7200,50.6600,50.7100,2900,0
UVV.US,5,20131112,171000,50.8000,50.8000,50.7200,50.7300,517,0
UVV.US,5,20131112,171500,50.7400,50.7800,50.7400,50.7800,700,0
UVV.US,5,20131112,172000,50.8600,50.8600,50.8600,50.8600,100,0
UVV.US,5,20131112,172500,50.8900,50.8900,50.8900,50.8900,100,0
UVV.US,5,20131112,173000,50.9500,50.9500,50.8900,50.8900,400,0
UVV.US,5,20131112,173500,50.8700,50.8700,50.8300,50.8300,208,0
UVV.US,5,20131112,174000,50.8100,50.8100,50.7200,50.7200,200,0
UVV.US,5,20131112,174500,50.6900,50.7100,50.6900,50.7100,900,0
UVV.US,5,20131112,175000,50.6700,50.6800,50.6500,50.6700,600,0
UVV.US,5,20131112,175500,50.6100,50.6500,50.6100,50.6500,200,0
UVV.US,5,20131112,180000,50.6800,50.7100,50.6200,50.7100,900,0
UVV.US,5,20131112,180500,50.6500,50.6500,50.6000,50.6300,400,0
UVV.US,5,20131112,181000,50.6200,50.6200,50.5100,50.5900,1200,0
UVV.US,5,20131112,181500,50.5400,50.5500,50.5400,50.5500,200,0
UVV.US,5,20131112,182000,50.5800,50.5800,50.5100,50.5100,313,0
UVV.US,5,20131112,182500,50.5100,50.5100,50.3700,50.3700,600,0
UVV.US,5,20131112,183000,50.4300,50.4400,50.3600,50.4300,1605,0
UVV.US,5,20131112,183500,50.4300,50.4300,50.3500,50.3700,2110,0
UVV.US,5,20131112,184000,50.3600,50.3600,50.3100,50.3100,400,0
UVV.US,5,20131112,184500,50.2700,50.4800,50.2700,50.4800,2737,0
UVV.US,5,20131112,185500,50.5200,50.5700,50.5100,50.5100,700,0
UVV.US,5,20131112,190000,50.5000,50.5200,50.5000,50.5200,300,0
UVV.US,5,20131112,190500,50.4700,50.4700,50.4700,50.4700,100,0
UVV.US,5,20131112,191000,50.4300,50.4300,50.4300,50.4300,300,0
UVV.US,5,20131112,191500,50.4000,50.4000,50.4000,50.4000,100,0
UVV.US,5,20131112,192000,50.4500,50.4700,50.4300,50.4700,2314,0
UVV.US,5,20131112,192500,50.4800,50.5600,50.4800,50.5600,300,0
UVV.US,5,20131112,193000,50.5900,50.5900,50.5800,50.5800,300,0
UVV.US,5,20131112,193500,50.5300,50.5300,50.5000,50.5100,400,0
UVV.US,5,20131112,194000,50.4800,50.4800,50.3400,50.4100,3335,0
UVV.US,5,20131112,194500,50.4400,50.4400,50.2800,50.2900,2300,0
UVV.US,5,20131112,195000,50.2800,50.3300,50.2800,50.3300,1100,0
UVV.US,5,20131112,200000,50.3600,50.3800,50.3200,50.3200,400,0
UVV.US,5,20131112,200500,50.3000,50.3600,50.3000,50.3600,400,0
UVV.US,5,20131112,201000,50.3400,50.3600,50.3400,50.3600,700,0
UVV.US,5,20131112,201500,50.3900,50.3900,50.3600,50.3600,400,0
UVV.US,5,20131112,202000,50.3200,50.3600,50.2900,50.3000,1000,0
UVV.US,5,20131112,202500,50.3600,50.4300,50.3600,50.3800,700,0
UVV.US,5,20131112,203000,50.3500,50.3500,50.3500,50.3500,100,0
UVV.US,5,20131112,203500,50.3800,50.3800,50.3800,50.3800,200,0
UVV.US,5,20131112,204000,50.3900,50.4200,50.3900,50.4200,420,0
