<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VALE.US,5,20131112,153500,15.8700,15.8800,15.8000,15.8600,257337,0
VALE.US,5,20131112,154000,15.8600,15.8600,15.7800,15.8000,730135,0
VALE.US,5,20131112,154500,15.7900,15.8400,15.7500,15.8100,557076,0
VALE.US,5,20131112,155000,15.8000,15.8500,15.8000,15.8000,100549,0
VALE.US,5,20131112,155500,15.8000,15.8300,15.7900,15.8300,265621,0
VALE.US,5,20131112,160000,15.8400,15.8600,15.8100,15.8100,202735,0
VALE.US,5,20131112,160500,15.8100,15.8100,15.7600,15.7700,434336,0
VALE.US,5,20131112,161000,15.7700,15.7700,15.7500,15.7600,126489,0
VALE.US,5,20131112,161500,15.7500,15.8000,15.7300,15.8000,525115,0
VALE.US,5,20131112,162000,15.7900,15.8700,15.7800,15.8500,250383,0
VALE.US,5,20131112,162500,15.8500,15.8500,15.7600,15.7900,253006,0
VALE.US,5,20131112,163000,15.7900,15.8000,15.7700,15.7800,157970,0
VALE.US,5,20131112,163500,15.7800,15.7800,15.7400,15.7400,306000,0
VALE.US,5,20131112,164000,15.7500,15.8000,15.7400,15.7700,257987,0
VALE.US,5,20131112,164500,15.7600,15.7600,15.7200,15.7300,421193,0
VALE.US,5,20131112,165000,15.7300,15.7300,15.7000,15.7100,358373,0
VALE.US,5,20131112,165500,15.7100,15.7100,15.6800,15.6900,285359,0
VALE.US,5,20131112,170000,15.6900,15.7100,15.6800,15.6900,286342,0
VALE.US,5,20131112,170500,15.6900,15.7500,15.6800,15.7500,322969,0
VALE.US,5,20131112,171000,15.7500,15.7700,15.7300,15.7600,225801,0
VALE.US,5,20131112,171500,15.7500,15.7900,15.7500,15.7800,158007,0
VALE.US,5,20131112,172000,15.7700,15.7900,15.7500,15.7700,78375,0
VALE.US,5,20131112,172500,15.7700,15.7700,15.7200,15.7500,212259,0
VALE.US,5,20131112,173000,15.7500,15.7700,15.7300,15.7500,195800,0
VALE.US,5,20131112,173500,15.7500,15.7700,15.7400,15.7500,174401,0
VALE.US,5,20131112,174000,15.7500,15.7700,15.7400,15.7500,178797,0
VALE.US,5,20131112,174500,15.7500,15.7600,15.7300,15.7300,112924,0
VALE.US,5,20131112,175000,15.7400,15.7500,15.7100,15.7300,211673,0
VALE.US,5,20131112,175500,15.7200,15.7300,15.6800,15.7000,140449,0
VALE.US,5,20131112,180000,15.6900,15.7000,15.6800,15.7000,100389,0
VALE.US,5,20131112,180500,15.7000,15.7200,15.6900,15.7100,91241,0
VALE.US,5,20131112,181000,15.7100,15.7200,15.6600,15.6700,178413,0
VALE.US,5,20131112,181500,15.6700,15.6700,15.6200,15.6400,359532,0
VALE.US,5,20131112,182000,15.6400,15.6600,15.6100,15.6500,175803,0
VALE.US,5,20131112,182500,15.6400,15.6400,15.6000,15.6000,180210,0
VALE.US,5,20131112,183000,15.6100,15.6100,15.5600,15.5700,435398,0
VALE.US,5,20131112,183500,15.5700,15.5900,15.5500,15.5500,588775,0
VALE.US,5,20131112,184000,15.5600,15.5700,15.5400,15.5400,1029239,0
VALE.US,5,20131112,184500,15.5400,15.5400,15.5000,15.5000,248135,0
VALE.US,5,20131112,185000,15.5000,15.5200,15.4600,15.5000,1010723,0
VALE.US,5,20131112,185500,15.5000,15.5200,15.4900,15.5000,579679,0
VALE.US,5,20131112,190000,15.4900,15.5000,15.4800,15.5000,276054,0
VALE.US,5,20131112,190500,15.4900,15.5000,15.4400,15.4600,305764,0
VALE.US,5,20131112,191000,15.4500,15.4700,15.4400,15.4400,309217,0
VALE.US,5,20131112,191500,15.4400,15.4400,15.4200,15.4300,362834,0
VALE.US,5,20131112,192000,15.4300,15.4300,15.3600,15.3800,667279,0
VALE.US,5,20131112,192500,15.3800,15.4000,15.3500,15.3600,348964,0
VALE.US,5,20131112,193000,15.3500,15.3800,15.3500,15.3600,222876,0
VALE.US,5,20131112,193500,15.3600,15.3700,15.3500,15.3700,293996,0
VALE.US,5,20131112,194000,15.3800,15.3800,15.3200,15.3700,493924,0
VALE.US,5,20131112,194500,15.3700,15.3700,15.3000,15.3300,310895,0
VALE.US,5,20131112,195000,15.3400,15.3700,15.3300,15.3600,687531,0
