<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VHI.US,5,20131112,154000,16.6500,16.6800,16.6500,16.6800,300,0
VHI.US,5,20131112,154500,16.6900,17.0100,16.6400,16.9800,1800,0
VHI.US,5,20131112,155000,16.8200,16.8200,16.5300,16.7600,3200,0
VHI.US,5,20131112,155500,16.9700,16.9700,16.7400,16.7600,1200,0
VHI.US,5,20131112,160000,16.6100,16.7500,16.6100,16.7500,200,0
VHI.US,5,20131112,160500,17.0200,17.0200,16.6000,16.7800,1300,0
VHI.US,5,20131112,161000,16.8000,16.9500,16.8000,16.8700,700,0
VHI.US,5,20131112,161500,16.9400,16.9400,16.6600,16.7600,978,0
VHI.US,5,20131112,162000,16.6700,16.8600,16.6700,16.8400,900,0
VHI.US,5,20131112,163500,17.1600,17.1600,16.9300,16.9300,500,0
VHI.US,5,20131112,164000,17.2400,17.2400,16.8100,16.9700,2200,0
VHI.US,5,20131112,164500,17.1800,17.1800,16.9300,16.9700,1200,0
VHI.US,5,20131112,165500,16.9100,16.9100,16.9100,16.9100,100,0
VHI.US,5,20131112,170000,17.0700,17.0700,17.0700,17.0700,100,0
VHI.US,5,20131112,172500,16.8300,17.0600,16.8300,17.0600,200,0
VHI.US,5,20131112,173500,16.9600,17.0800,16.9600,17.0800,1000,0
VHI.US,5,20131112,174000,17.0500,17.0500,16.9100,16.9100,900,0
VHI.US,5,20131112,174500,16.8900,16.8900,16.8500,16.8700,600,0
VHI.US,5,20131112,180000,16.8500,16.8500,16.8500,16.8500,100,0
VHI.US,5,20131112,180500,16.9000,16.9400,16.9000,16.9400,650,0
VHI.US,5,20131112,182000,16.9000,16.9000,16.9000,16.9000,100,0
VHI.US,5,20131112,182500,16.8200,16.8200,16.8200,16.8200,200,0
VHI.US,5,20131112,183500,16.8200,16.8200,16.8100,16.8100,200,0
VHI.US,5,20131112,185500,16.8900,16.8900,16.8200,16.8200,500,0
VHI.US,5,20131112,190000,16.8100,16.8100,16.8100,16.8100,100,0
VHI.US,5,20131112,191000,16.8000,16.8000,16.8000,16.8000,300,0
VHI.US,5,20131112,192000,16.8000,16.8300,16.7900,16.8200,1600,0
VHI.US,5,20131112,192500,16.8200,16.9000,16.7600,16.7900,2900,0
VHI.US,5,20131112,193000,16.7800,16.8000,16.7300,16.7300,600,0
VHI.US,5,20131112,193500,16.7800,16.7800,16.6200,16.6200,800,0
VHI.US,5,20131112,200500,16.5700,16.5700,16.5700,16.5700,100,0
