<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VKQ.US,5,20131112,153500,11.3500,11.3500,11.3300,11.3300,8800,0
VKQ.US,5,20131112,154000,11.3400,11.3500,11.3400,11.3400,900,0
VKQ.US,5,20131112,154500,11.3300,11.3400,11.3300,11.3400,200,0
VKQ.US,5,20131112,155000,11.3300,11.3400,11.3300,11.3400,500,0
VKQ.US,5,20131112,160000,11.3300,11.3300,11.3300,11.3300,1100,0
VKQ.US,5,20131112,160500,11.3300,11.3300,11.3300,11.3300,300,0
VKQ.US,5,20131112,161000,11.3400,11.3600,11.3400,11.3600,1000,0
VKQ.US,5,20131112,161500,11.3600,11.3600,11.3600,11.3600,1100,0
VKQ.US,5,20131112,162000,11.3500,11.3500,11.3500,11.3500,200,0
VKQ.US,5,20131112,162500,11.3500,11.3500,11.3500,11.3500,1420,0
VKQ.US,5,20131112,163000,11.3600,11.3600,11.3400,11.3400,1402,0
VKQ.US,5,20131112,163500,11.3600,11.3600,11.3500,11.3600,673,0
VKQ.US,5,20131112,164000,11.3600,11.3600,11.3400,11.3500,2027,0
VKQ.US,5,20131112,164500,11.3500,11.3500,11.3500,11.3500,500,0
VKQ.US,5,20131112,165000,11.3500,11.3700,11.3500,11.3700,400,0
VKQ.US,5,20131112,165500,11.3700,11.3700,11.3700,11.3700,900,0
VKQ.US,5,20131112,170000,11.3600,11.3700,11.3600,11.3700,500,0
VKQ.US,5,20131112,170500,11.3700,11.3700,11.3700,11.3700,300,0
VKQ.US,5,20131112,171000,11.3700,11.3700,11.3700,11.3700,300,0
VKQ.US,5,20131112,171500,11.3700,11.3800,11.3600,11.3800,1400,0
VKQ.US,5,20131112,172000,11.3800,11.3800,11.3700,11.3800,1343,0
VKQ.US,5,20131112,172500,11.3800,11.3800,11.3700,11.3800,1400,0
VKQ.US,5,20131112,173000,11.3800,11.3800,11.3800,11.3800,3700,0
VKQ.US,5,20131112,173500,11.3800,11.3800,11.3800,11.3800,300,0
VKQ.US,5,20131112,174000,11.3700,11.3800,11.3700,11.3800,200,0
VKQ.US,5,20131112,174500,11.3800,11.3800,11.3700,11.3800,5500,0
VKQ.US,5,20131112,175000,11.3800,11.3800,11.3700,11.3800,1248,0
VKQ.US,5,20131112,175500,11.3800,11.3800,11.3700,11.3800,400,0
VKQ.US,5,20131112,180000,11.3800,11.3800,11.3600,11.3600,3500,0
VKQ.US,5,20131112,180500,11.3500,11.3500,11.3500,11.3500,300,0
VKQ.US,5,20131112,181000,11.3700,11.3700,11.3500,11.3500,3700,0
VKQ.US,5,20131112,181500,11.3400,11.3600,11.3400,11.3600,800,0
VKQ.US,5,20131112,182000,11.3600,11.3600,11.3300,11.3300,3604,0
VKQ.US,5,20131112,183000,11.3300,11.3400,11.3300,11.3400,1375,0
VKQ.US,5,20131112,184000,11.3400,11.3400,11.3300,11.3300,1200,0
VKQ.US,5,20131112,184500,11.3400,11.3500,11.3400,11.3500,200,0
