<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTN.US,5,20131112,153500,13.2600,13.2600,13.2600,13.2600,105,0
VTN.US,5,20131112,155000,13.2200,13.2200,13.2200,13.2200,200,0
VTN.US,5,20131112,160000,13.2000,13.2000,13.2000,13.2000,100,0
VTN.US,5,20131112,160500,13.2100,13.2100,13.2100,13.2100,400,0
VTN.US,5,20131112,163500,13.2400,13.2600,13.2400,13.2600,2700,0
VTN.US,5,20131112,164000,13.2200,13.2200,13.2200,13.2200,200,0
VTN.US,5,20131112,164500,13.2500,13.2600,13.2500,13.2600,200,0
VTN.US,5,20131112,165500,13.2200,13.2200,13.2200,13.2200,500,0
VTN.US,5,20131112,170000,13.2200,13.2200,13.2000,13.2000,900,0
VTN.US,5,20131112,170500,13.2000,13.2000,13.2000,13.2000,900,0
VTN.US,5,20131112,171000,13.2000,13.2000,13.1800,13.1800,1103,0
VTN.US,5,20131112,171500,13.2100,13.2100,13.2100,13.2100,2900,0
VTN.US,5,20131112,174000,13.2100,13.2100,13.2100,13.2100,100,0
VTN.US,5,20131112,180000,13.1800,13.1800,13.1800,13.1800,8434,0
VTN.US,5,20131112,180500,13.1800,13.1800,13.1800,13.1800,1476,0
VTN.US,5,20131112,181500,13.2000,13.2100,13.2000,13.2100,2364,0
VTN.US,5,20131112,182500,13.2000,13.2000,13.2000,13.2000,1700,0
VTN.US,5,20131112,183500,13.2100,13.3000,13.2100,13.3000,4000,0
VTN.US,5,20131112,194000,13.2200,13.2200,13.2200,13.2200,1200,0
VTN.US,5,20131112,195000,13.2300,13.2800,13.2300,13.2800,7903,0
VTN.US,5,20131112,195500,13.2600,13.2700,13.2400,13.2500,1400,0
VTN.US,5,20131112,202000,13.2500,13.2500,13.2300,13.2300,400,0
VTN.US,5,20131112,203500,13.2400,13.2400,13.2400,13.2400,100,0
VTN.US,5,20131112,205000,13.2400,13.2400,13.2400,13.2400,100,0
VTN.US,5,20131112,213000,13.2700,13.2700,13.2700,13.2700,2300,0
VTN.US,5,20131112,214000,13.2300,13.2300,13.2300,13.2300,2020,0
VTN.US,5,20131112,214500,13.2200,13.2200,13.2100,13.2100,6500,0
VTN.US,5,20131112,215000,13.2100,13.2100,13.2100,13.2100,216,0
VTN.US,5,20131112,220000,13.2100,13.2100,13.2100,13.2100,100,0
VTN.US,5,20131113,154000,13.2300,13.2300,13.1000,13.1900,12500,0
VTN.US,5,20131113,154500,13.1700,13.1700,13.1700,13.1700,200,0
VTN.US,5,20131113,155000,13.1600,13.1700,13.1600,13.1700,300,0
VTN.US,5,20131113,155500,13.1600,13.1600,13.1600,13.1600,100,0
VTN.US,5,20131113,160000,13.1600,13.1700,13.1500,13.1700,2400,0
VTN.US,5,20131113,160500,13.1800,13.1800,13.1700,13.1700,400,0
VTN.US,5,20131113,161000,13.1700,13.1700,13.1600,13.1600,2100,0
VTN.US,5,20131113,161500,13.1600,13.1600,13.1600,13.1600,300,0
VTN.US,5,20131113,162000,13.1600,13.1600,13.1500,13.1500,600,0
VTN.US,5,20131113,163000,13.1500,13.1500,13.1500,13.1500,100,0
VTN.US,5,20131113,164000,13.1500,13.1500,13.1500,13.1500,100,0
VTN.US,5,20131113,165000,13.1600,13.1700,13.1600,13.1700,2258,0
VTN.US,5,20131113,165500,13.1700,13.1800,13.1700,13.1800,2461,0
VTN.US,5,20131113,170000,13.2000,13.2000,13.2000,13.2000,100,0
VTN.US,5,20131113,172000,13.1900,13.1900,13.1900,13.1900,100,0
VTN.US,5,20131113,175000,13.1700,13.1800,13.1700,13.1800,2100,0
VTN.US,5,20131113,175500,13.1700,13.1700,13.1700,13.1700,6739,0
VTN.US,5,20131113,180000,13.1500,13.1500,13.1500,13.1500,100,0
VTN.US,5,20131113,182000,13.1500,13.1600,13.1500,13.1600,200,0
VTN.US,5,20131113,182500,13.1500,13.1600,13.1200,13.1600,4646,0
VTN.US,5,20131113,184000,13.1500,13.1500,13.1500,13.1500,1000,0
VTN.US,5,20131113,184500,13.1200,13.1200,13.1200,13.1200,100,0
VTN.US,5,20131113,185000,13.1500,13.1500,13.1500,13.1500,1800,0
VTN.US,5,20131113,194000,13.1700,13.1700,13.1500,13.1500,858,0
VTN.US,5,20131113,201000,13.1200,13.1200,13.1200,13.1200,100,0
VTN.US,5,20131113,203000,13.1200,13.1200,13.1200,13.1200,265,0
VTN.US,5,20131113,204000,13.1400,13.1400,13.1400,13.1400,100,0
VTN.US,5,20131113,205500,13.1400,13.1400,13.1400,13.1400,100,0
VTN.US,5,20131113,210000,13.1500,13.1500,13.1300,13.1400,3400,0
VTN.US,5,20131113,210500,13.1300,13.1300,13.1300,13.1300,1217,0
VTN.US,5,20131113,211000,13.1300,13.1300,13.1200,13.1200,799,0
VTN.US,5,20131113,213500,13.1100,13.1100,13.1000,13.1100,1000,0
VTN.US,5,20131113,214000,13.1100,13.1200,13.1100,13.1200,1600,0
VTN.US,5,20131113,215000,13.1100,13.1100,13.1100,13.1100,140,0
VTN.US,5,20131113,215500,13.1100,13.1100,13.1100,13.1100,100,0
VTN.US,5,20131113,220000,13.1100,13.1100,13.1000,13.1000,1400,0
VTN.US,5,20131113,221000,13.1000,13.1000,13.1000,13.1000,400,0
VTN.US,5,20131114,153500,13.1500,13.1500,13.1500,13.1500,300,0
VTN.US,5,20131114,154000,13.1800,13.1800,13.1700,13.1800,696,0
VTN.US,5,20131114,154500,13.1600,13.1600,13.1500,13.1500,640,0
VTN.US,5,20131114,160000,13.1500,13.1700,13.1500,13.1700,500,0
