<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WBC.US,5,20131112,153500,86.9500,86.9500,86.8500,86.8500,1854,0
WBC.US,5,20131112,154000,86.9200,87.0300,86.6600,86.6600,3015,0
WBC.US,5,20131112,154500,86.7100,86.7100,86.6700,86.6700,333,0
WBC.US,5,20131112,155000,86.6600,86.8300,86.5600,86.7200,10378,0
WBC.US,5,20131112,155500,86.7500,86.9600,86.5200,86.6300,27550,0
WBC.US,5,20131112,160000,86.6300,86.7200,86.5500,86.7200,1300,0
WBC.US,5,20131112,160500,86.7300,86.7400,86.5200,86.5200,3000,0
WBC.US,5,20131112,161000,86.5200,86.5800,86.5000,86.5500,2500,0
WBC.US,5,20131112,161500,86.5500,86.5500,86.2400,86.3300,10026,0
WBC.US,5,20131112,162000,86.3300,86.5700,86.2600,86.5200,1900,0
WBC.US,5,20131112,162500,86.5700,86.5700,86.1900,86.2900,6758,0
WBC.US,5,20131112,163000,86.2900,86.3500,86.2900,86.3400,3099,0
WBC.US,5,20131112,163500,86.3100,86.3100,86.1800,86.1800,4498,0
WBC.US,5,20131112,164000,86.1400,86.2600,86.1400,86.2100,4345,0
WBC.US,5,20131112,164500,86.2100,86.2200,86.1500,86.2000,2776,0
WBC.US,5,20131112,165000,86.2300,86.3300,86.1600,86.1600,4199,0
WBC.US,5,20131112,165500,86.1200,86.1900,86.1200,86.1400,1643,0
WBC.US,5,20131112,170000,86.1200,86.1300,86.0300,86.0400,2265,0
WBC.US,5,20131112,170500,86.0600,86.1300,86.0600,86.0900,2401,0
WBC.US,5,20131112,171000,86.0900,86.0900,86.0500,86.0500,1373,0
WBC.US,5,20131112,171500,86.0400,86.3000,86.0400,86.2900,9049,0
WBC.US,5,20131112,172000,86.3100,86.5100,86.2900,86.4700,4350,0
WBC.US,5,20131112,172500,86.4500,86.4600,86.2400,86.3600,20700,0
WBC.US,5,20131112,173000,86.3900,86.4100,86.3700,86.3700,4131,0
WBC.US,5,20131112,173500,86.3600,86.4100,86.3300,86.3800,4100,0
WBC.US,5,20131112,174000,86.4200,86.4300,86.2600,86.2600,7865,0
WBC.US,5,20131112,174500,86.1900,86.2500,86.1900,86.2300,3601,0
WBC.US,5,20131112,175000,86.2400,86.2400,86.0900,86.1500,2356,0
WBC.US,5,20131112,175500,86.1800,86.2400,86.1500,86.2400,2100,0
WBC.US,5,20131112,180000,86.2400,86.2400,86.1400,86.1400,2482,0
WBC.US,5,20131112,180500,86.1800,86.2000,86.0800,86.0900,1900,0
WBC.US,5,20131112,181000,86.0900,86.0900,86.0000,86.0900,3090,0
WBC.US,5,20131112,181500,86.1400,86.1400,86.0200,86.1000,2500,0
WBC.US,5,20131112,182000,86.1300,86.1400,86.1000,86.1200,1400,0
WBC.US,5,20131112,182500,86.1300,86.1500,86.0400,86.0900,1900,0
WBC.US,5,20131112,183000,86.0800,86.1100,86.0800,86.0900,1504,0
WBC.US,5,20131112,183500,86.0400,86.0800,86.0400,86.0700,1700,0
WBC.US,5,20131112,184000,86.0700,86.1600,86.0500,86.1400,1537,0
WBC.US,5,20131112,184500,86.1300,86.1400,86.0200,86.1400,12067,0
WBC.US,5,20131112,185000,86.1200,86.1400,86.1100,86.1100,700,0
WBC.US,5,20131112,185500,86.1200,86.1200,86.0700,86.1100,2410,0
WBC.US,5,20131112,190000,86.1100,86.1700,86.0900,86.0900,2500,0
WBC.US,5,20131112,190500,86.0700,86.0700,86.0100,86.0600,1894,0
WBC.US,5,20131112,191000,86.0600,86.1200,86.0600,86.0600,1600,0
WBC.US,5,20131112,191500,86.0700,86.1500,86.0700,86.1500,1100,0
WBC.US,5,20131112,192000,86.1500,86.1600,86.0700,86.0700,5603,0
WBC.US,5,20131112,192500,86.0400,86.1000,86.0300,86.1000,4700,0
WBC.US,5,20131112,193000,86.0800,86.0900,86.0100,86.0100,1933,0
WBC.US,5,20131112,193500,86.0000,86.0200,85.8300,85.8300,8435,0
WBC.US,5,20131112,194000,85.8000,85.9400,85.7500,85.9100,1600,0
WBC.US,5,20131112,194500,85.9400,86.0200,85.9200,85.9800,4843,0
WBC.US,5,20131112,195000,86.0400,86.1400,85.9800,86.1300,1700,0
WBC.US,5,20131112,195500,86.1300,86.1300,86.0000,86.0000,2000,0
WBC.US,5,20131112,200000,86.0200,86.1000,86.0100,86.0500,3000,0
