<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFC-P.US,5,20131112,154000,21.2500,21.2500,21.2500,21.2500,5000,0
WFC-P.US,5,20131112,154500,21.2600,21.2600,21.2600,21.2600,100,0
WFC-P.US,5,20131112,155000,21.2700,21.3300,21.2600,21.2600,3520,0
WFC-P.US,5,20131112,155500,21.2700,21.2700,21.2700,21.2700,500,0
WFC-P.US,5,20131112,163000,21.2700,21.2700,21.2500,21.2700,2162,0
WFC-P.US,5,20131112,165000,21.3000,21.3500,21.3000,21.3300,2420,0
WFC-P.US,5,20131112,170000,21.3100,21.3100,21.3100,21.3100,300,0
WFC-P.US,5,20131112,170500,21.3100,21.3100,21.3000,21.3000,1120,0
WFC-P.US,5,20131112,171000,21.3400,21.3500,21.3200,21.3200,400,0
WFC-P.US,5,20131112,171500,21.3100,21.3400,21.3100,21.3400,250,0
WFC-P.US,5,20131112,172000,21.3100,21.3100,21.3100,21.3100,300,0
WFC-P.US,5,20131112,173500,21.2800,21.2900,21.2800,21.2800,1100,0
WFC-P.US,5,20131112,174000,21.2800,21.2800,21.2800,21.2800,1400,0
WFC-P.US,5,20131112,174500,21.2700,21.2700,21.2700,21.2700,1166,0
WFC-P.US,5,20131112,175000,21.2700,21.2700,21.2300,21.2300,18797,0
WFC-P.US,5,20131112,175500,21.2300,21.2300,21.2100,21.2100,2700,0
WFC-P.US,5,20131112,180000,21.2000,21.2500,21.1800,21.2500,3700,0
WFC-P.US,5,20131112,180500,21.2500,21.2500,21.2200,21.2200,1500,0
WFC-P.US,5,20131112,181500,21.2200,21.2200,21.2200,21.2200,1200,0
WFC-P.US,5,20131112,182000,21.1800,21.1800,21.1800,21.1800,1000,0
WFC-P.US,5,20131112,182500,21.1800,21.1800,21.1800,21.1800,6400,0
WFC-P.US,5,20131112,183000,21.1900,21.2300,21.1900,21.2300,1357,0
WFC-P.US,5,20131112,183500,21.1800,21.1800,21.1800,21.1800,107,0
WFC-P.US,5,20131112,184000,21.2100,21.2100,21.2100,21.2100,400,0
WFC-P.US,5,20131112,184500,21.1900,21.1900,21.1900,21.1900,1200,0
WFC-P.US,5,20131112,185500,21.2200,21.2200,21.2200,21.2200,353,0
WFC-P.US,5,20131112,191000,21.1800,21.1900,21.1800,21.1800,993,0
WFC-P.US,5,20131112,192500,21.2000,21.2000,21.1800,21.2000,1300,0
WFC-P.US,5,20131112,194000,21.1900,21.1900,21.1900,21.1900,1000,0
WFC-P.US,5,20131112,194500,21.1800,21.1800,21.1800,21.1800,100,0
WFC-P.US,5,20131112,195500,21.1800,21.1800,21.1800,21.1800,108,0
WFC-P.US,5,20131112,200000,21.1900,21.1900,21.1800,21.1900,1100,0
WFC-P.US,5,20131112,202000,21.2000,21.2000,21.2000,21.2000,400,0
WFC-P.US,5,20131112,202500,21.2000,21.2000,21.1900,21.1900,544,0
WFC-P.US,5,20131112,203000,21.1800,21.1900,21.1800,21.1900,2000,0
WFC-P.US,5,20131112,204000,21.1800,21.1800,21.1800,21.1800,1909,0
WFC-P.US,5,20131112,204500,21.1800,21.1800,21.1800,21.1800,200,0
WFC-P.US,5,20131112,205000,21.2100,21.2500,21.2100,21.2400,2235,0
WFC-P.US,5,20131112,205500,21.2300,21.2300,21.2300,21.2300,118,0
WFC-P.US,5,20131112,210000,21.2300,21.2400,21.2300,21.2400,720,0
WFC-P.US,5,20131112,211500,21.2200,21.2400,21.1800,21.2200,2584,0
WFC-P.US,5,20131112,214500,21.2500,21.2500,21.1800,21.1800,1500,0
WFC-P.US,5,20131112,215000,21.1800,21.2300,21.1800,21.2300,561,0
WFC-P.US,5,20131112,215500,21.2000,21.2000,21.2000,21.2000,457,0
WFC-P.US,5,20131112,220000,21.2300,21.2300,21.2300,21.2300,100,0
WFC-P.US,5,20131113,154000,21.2200,21.2300,21.2200,21.2300,4008,0
WFC-P.US,5,20131113,154500,21.2500,21.2800,21.2500,21.2800,2700,0
WFC-P.US,5,20131113,160000,21.2500,21.2500,21.2500,21.2500,1882,0
WFC-P.US,5,20131113,161500,21.2400,21.2400,21.2100,21.2200,1522,0
WFC-P.US,5,20131113,162000,21.2300,21.2300,21.2100,21.2100,618,0
WFC-P.US,5,20131113,164000,21.2200,21.2200,21.2200,21.2200,490,0
WFC-P.US,5,20131113,164500,21.2300,21.2300,21.1500,21.2300,2411,0
WFC-P.US,5,20131113,171500,21.2200,21.2200,21.2200,21.2200,706,0
WFC-P.US,5,20131113,172000,21.2200,21.2200,21.2200,21.2200,106,0
WFC-P.US,5,20131113,172500,21.2000,21.2500,21.2000,21.2100,2350,0
WFC-P.US,5,20131113,173000,21.2000,21.2100,21.2000,21.2100,400,0
WFC-P.US,5,20131113,173500,21.1800,21.1800,21.1600,21.1800,1426,0
WFC-P.US,5,20131113,175500,21.1800,21.1800,21.1800,21.1800,170,0
WFC-P.US,5,20131113,181000,21.1800,21.1800,21.1800,21.1800,200,0
WFC-P.US,5,20131113,183500,21.2000,21.2000,21.1800,21.1800,554,0
WFC-P.US,5,20131113,184500,21.1800,21.1800,21.0800,21.1200,6670,0
WFC-P.US,5,20131113,191500,21.1500,21.1500,21.1500,21.1500,583,0
WFC-P.US,5,20131113,192000,21.1300,21.1400,21.1300,21.1400,1000,0
WFC-P.US,5,20131113,193000,21.1500,21.1500,21.1100,21.1500,1680,0
WFC-P.US,5,20131113,194000,21.1300,21.1300,21.1300,21.1300,200,0
WFC-P.US,5,20131113,195000,21.1500,21.1500,21.1300,21.1300,889,0
WFC-P.US,5,20131113,200500,21.1000,21.1300,21.0500,21.1100,5775,0
WFC-P.US,5,20131113,201500,21.0900,21.1000,21.0900,21.1000,400,0
WFC-P.US,5,20131113,202000,21.1000,21.1000,21.1000,21.1000,100,0
WFC-P.US,5,20131113,202500,21.0900,21.0900,21.0900,21.0900,1908,0
WFC-P.US,5,20131113,203500,21.0500,21.0500,21.0500,21.0500,200,0
WFC-P.US,5,20131113,205000,21.0500,21.0800,21.0500,21.0800,300,0
WFC-P.US,5,20131113,205500,21.0700,21.0700,21.0400,21.0400,1080,0
WFC-P.US,5,20131113,210000,21.0600,21.0600,21.0000,21.0000,3135,0
WFC-P.US,5,20131113,210500,21.0400,21.0400,21.0100,21.0100,1100,0
WFC-P.US,5,20131113,211000,21.0100,21.0100,21.0100,21.0100,215,0
WFC-P.US,5,20131113,212000,21.0300,21.0500,21.0300,21.0500,2027,0
WFC-P.US,5,20131113,213000,21.0000,21.0000,21.0000,21.0000,952,0
WFC-P.US,5,20131113,214000,21.0200,21.0300,21.0200,21.0300,700,0
WFC-P.US,5,20131113,214500,21.0000,21.0400,21.0000,21.0400,1174,0
WFC-P.US,5,20131113,215000,21.0400,21.0400,21.0400,21.0400,606,0
WFC-P.US,5,20131113,220000,21.0300,21.0400,21.0300,21.0400,5369,0
WFC-P.US,5,20131113,220500,21.0400,21.0400,21.0400,21.0400,300,0
WFC-P.US,5,20131114,155500,21.1600,21.1600,21.0700,21.0700,240,0
WFC-P.US,5,20131114,160000,21.1700,21.1700,21.1600,21.1600,2500,0
WFC-P.US,5,20131114,160500,21.1400,21.1500,21.1400,21.1500,270,0
WFC-P.US,5,20131114,161000,21.1600,21.1600,21.1500,21.1500,1000,0
WFC-P.US,5,20131114,162000,21.1300,21.1300,21.0500,21.0500,1200,0
WFC-P.US,5,20131114,162500,21.0600,21.0600,21.0500,21.0500,300,0
WFC-P.US,5,20131114,163000,21.0500,21.0600,21.0500,21.0500,300,0
WFC-P.US,5,20131114,163500,21.0500,21.0500,21.0500,21.0500,200,0
WFC-P.US,5,20131114,164000,21.0500,21.0500,21.0500,21.0500,300,0
WFC-P.US,5,20131114,164500,21.0500,21.0600,21.0500,21.0600,300,0
WFC-P.US,5,20131114,165000,21.0700,21.0800,21.0700,21.0800,1400,0
WFC-P.US,5,20131114,165500,21.0800,21.0800,21.0700,21.0700,800,0
WFC-P.US,5,20131114,170000,21.0700,21.0700,21.0500,21.0500,300,0
WFC-P.US,5,20131114,170500,21.0600,21.0600,21.0600,21.0600,200,0
WFC-P.US,5,20131114,171000,21.0600,21.0600,21.0500,21.0500,1000,0
WFC-P.US,5,20131114,171500,21.0500,21.0500,21.0500,21.0500,200,0
WFC-P.US,5,20131114,172000,21.0500,21.0600,21.0500,21.0600,700,0
WFC-P.US,5,20131114,172500,21.1100,21.1100,21.1100,21.1100,200,0
WFC-P.US,5,20131114,173000,21.0600,21.0600,21.0600,21.0600,200,0
WFC-P.US,5,20131114,173500,21.0600,21.0600,21.0600,21.0600,100,0
WFC-P.US,5,20131114,174000,21.0600,21.0600,21.0600,21.0600,200,0
WFC-P.US,5,20131114,174500,21.0800,21.1000,21.0700,21.0700,3000,0
WFC-P.US,5,20131114,175000,21.0700,21.0700,21.0700,21.0700,1000,0
WFC-P.US,5,20131114,175500,21.0700,21.0700,21.0700,21.0700,1013,0
WFC-P.US,5,20131114,180000,21.0700,21.0900,21.0700,21.0900,300,0
WFC-P.US,5,20131114,180500,21.0800,21.0800,21.0700,21.0800,6967,0
WFC-P.US,5,20131114,181500,21.0700,21.0700,21.0700,21.0700,300,0
WFC-P.US,5,20131114,182000,21.0700,21.0700,21.0500,21.0500,2400,0
WFC-P.US,5,20131114,182500,21.0500,21.0600,21.0500,21.0600,4350,0
