<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHG.US,5,20131112,154000,54.6900,54.6900,54.6900,54.6900,500,0
WHG.US,5,20131112,154500,54.6800,55.2000,54.6800,55.0000,1100,0
WHG.US,5,20131112,161000,55.0000,55.0000,55.0000,55.0000,1100,0
WHG.US,5,20131112,161500,55.0000,55.0000,54.9600,54.9900,900,0
WHG.US,5,20131112,174000,55.3500,55.3500,55.3500,55.3500,100,0
WHG.US,5,20131112,175500,54.6900,54.6900,54.6900,54.6900,100,0
WHG.US,5,20131112,183000,55.0000,55.0000,55.0000,55.0000,15500,0
WHG.US,5,20131112,184500,55.0000,55.0000,55.0000,55.0000,2069,0
WHG.US,5,20131112,185500,55.3200,55.3200,55.3200,55.3200,100,0
WHG.US,5,20131112,190000,55.0000,55.0000,55.0000,55.0000,600,0
WHG.US,5,20131112,190500,55.0000,55.0000,55.0000,55.0000,400,0
WHG.US,5,20131112,192000,55.0000,55.0000,55.0000,55.0000,731,0
WHG.US,5,20131112,192500,54.4900,54.4900,54.4900,54.4900,100,0
WHG.US,5,20131112,194500,54.1700,54.1700,54.1700,54.1700,100,0
WHG.US,5,20131112,200000,54.8200,54.8200,54.8200,54.8200,100,0
WHG.US,5,20131112,200500,54.8200,54.8200,54.8200,54.8200,100,0
WHG.US,5,20131112,201000,54.2100,54.8500,54.2100,54.8000,300,0
WHG.US,5,20131112,202000,54.8600,54.8600,54.8600,54.8600,1000,0
WHG.US,5,20131112,204000,54.2800,54.2800,54.2800,54.2800,100,0
WHG.US,5,20131112,205000,54.9800,54.9800,54.9800,54.9800,100,0
WHG.US,5,20131112,211000,55.0000,55.0000,54.4800,54.7400,500,0
WHG.US,5,20131112,211500,54.4800,54.4800,54.4800,54.4800,100,0
WHG.US,5,20131112,212500,54.8500,54.8500,54.8500,54.8500,200,0
WHG.US,5,20131112,213500,54.4100,54.4100,54.4100,54.4100,100,0
WHG.US,5,20131112,214000,54.8500,54.8700,54.8500,54.8700,200,0
WHG.US,5,20131112,215000,54.7500,54.8500,54.5000,54.8500,2298,0
WHG.US,5,20131112,215500,54.5300,54.8400,54.5300,54.8400,300,0
WHG.US,5,20131112,220000,54.9900,54.9900,54.9700,54.9800,575,0
WHG.US,5,20131112,220500,54.9800,54.9800,54.9800,54.9800,1140,0
WHG.US,5,20131113,154500,55.2700,55.2700,55.2700,55.2700,100,0
WHG.US,5,20131113,161000,55.3000,55.3000,55.2000,55.2800,439,0
WHG.US,5,20131113,163000,55.3300,55.3400,55.3300,55.3400,210,0
WHG.US,5,20131113,165500,55.2500,55.2500,55.2500,55.2500,200,0
WHG.US,5,20131113,170000,55.2400,55.2400,55.2400,55.2400,100,0
WHG.US,5,20131113,175000,55.3000,55.3500,55.3000,55.3500,400,0
WHG.US,5,20131113,175500,55.3500,55.4400,55.3500,55.4400,400,0
WHG.US,5,20131113,180000,55.4400,55.4600,55.4400,55.4600,400,0
WHG.US,5,20131113,180500,55.5000,55.5500,55.5000,55.5500,400,0
WHG.US,5,20131113,181000,55.5500,55.6000,55.5500,55.6000,400,0
WHG.US,5,20131113,181500,55.6000,55.6000,55.5000,55.6000,500,0
