<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WH.US,5,20131112,154500,2.4100,2.4300,2.4000,2.4000,6000,0
WH.US,5,20131112,160000,2.4800,2.4900,2.4800,2.4900,1000,0
WH.US,5,20131112,162500,2.4700,2.4700,2.4700,2.4700,150,0
WH.US,5,20131112,171000,2.4800,2.4800,2.4800,2.4800,400,0
WH.US,5,20131112,173000,2.4900,2.4900,2.4900,2.4900,200,0
WH.US,5,20131112,175000,2.4900,2.4900,2.4900,2.4900,400,0
WH.US,5,20131112,175500,2.4800,2.4800,2.4800,2.4800,300,0
WH.US,5,20131112,180500,2.4800,2.4800,2.4800,2.4800,1000,0
WH.US,5,20131112,201500,2.4800,2.4800,2.4800,2.4800,1374,0
WH.US,5,20131112,203000,2.4700,2.4700,2.4600,2.4600,1800,0
WH.US,5,20131112,204000,2.4400,2.4400,2.4400,2.4400,100,0
WH.US,5,20131112,210000,2.4400,2.4400,2.4400,2.4400,200,0
WH.US,5,20131112,210500,2.4000,2.4100,2.4000,2.4000,300,0
WH.US,5,20131112,211000,2.4100,2.4900,2.4100,2.4900,2700,0
WH.US,5,20131112,212000,2.4800,2.4800,2.4500,2.4500,1400,0
WH.US,5,20131112,212500,2.4700,2.4700,2.4700,2.4700,500,0
WH.US,5,20131112,214000,2.4500,2.4800,2.4500,2.4800,200,0
WH.US,5,20131112,214500,2.4600,2.4900,2.4600,2.4900,1900,0
WH.US,5,20131112,215500,2.4900,2.4900,2.4800,2.4800,1000,0
WH.US,5,20131113,190500,2.4400,2.4400,2.4400,2.4400,200,0
WH.US,5,20131113,200500,2.4700,2.5000,2.4600,2.5000,1600,0
WH.US,5,20131113,213500,2.4900,2.4900,2.4900,2.4900,100,0
WH.US,5,20131114,161500,2.4900,2.4900,2.4900,2.4900,500,0
WH.US,5,20131114,163000,2.4900,2.4900,2.4900,2.4900,106,0
WH.US,5,20131114,170500,2.4900,2.4900,2.4900,2.4900,700,0
WH.US,5,20131114,201000,2.4400,2.4400,2.4400,2.4400,700,0
WH.US,5,20131114,201500,2.4600,2.4700,2.4600,2.4700,1000,0
WH.US,5,20131114,202000,2.4700,2.5000,2.4700,2.5000,200,0
WH.US,5,20131114,213500,2.5000,2.5000,2.5000,2.5000,400,0
WH.US,5,20131115,153500,2.5000,2.5500,2.5000,2.5500,900,0
WH.US,5,20131115,154000,2.6000,2.6000,2.6000,2.6000,100,0
WH.US,5,20131115,160500,2.5600,2.5800,2.5600,2.5800,400,0
WH.US,5,20131115,161000,2.5300,2.5800,2.5300,2.5800,300,0
WH.US,5,20131115,161500,2.5800,2.5800,2.5800,2.5800,100,0
WH.US,5,20131115,162000,2.6000,2.6000,2.6000,2.6000,1950,0
WH.US,5,20131115,163500,2.5900,2.5900,2.5800,2.5800,1100,0
WH.US,5,20131115,164500,2.6000,2.6000,2.6000,2.6000,100,0
WH.US,5,20131115,165000,2.6000,2.6000,2.6000,2.6000,2434,0
WH.US,5,20131115,170500,2.6300,2.6300,2.6300,2.6300,790,0
WH.US,5,20131115,171000,2.6000,2.6000,2.5900,2.5900,2800,0
WH.US,5,20131115,174000,2.5700,2.6000,2.5500,2.6000,6100,0
WH.US,5,20131115,174500,2.5900,2.6300,2.5900,2.6300,400,0
WH.US,5,20131115,180500,2.6400,2.6400,2.6400,2.6400,400,0
WH.US,5,20131115,181500,2.6500,2.6500,2.6500,2.6500,300,0
WH.US,5,20131115,184000,2.6600,2.6600,2.6600,2.6600,100,0
WH.US,5,20131115,184500,2.6900,2.6900,2.6600,2.6600,400,0
WH.US,5,20131115,185000,2.6500,2.6500,2.6500,2.6500,100,0
WH.US,5,20131115,191000,2.6500,2.6500,2.6500,2.6500,600,0
WH.US,5,20131115,192000,2.6500,2.6500,2.6500,2.6500,1000,0
WH.US,5,20131115,192500,2.6500,2.6500,2.6500,2.6500,2640,0
WH.US,5,20131115,194000,2.6500,2.6500,2.6500,2.6500,3000,0
WH.US,5,20131115,194500,2.6500,2.6500,2.6500,2.6500,300,0
WH.US,5,20131115,195500,2.6500,2.6500,2.6500,2.6500,300,0
WH.US,5,20131115,211500,2.6500,2.6500,2.6500,2.6500,1100,0
WH.US,5,20131115,212000,2.6500,2.6500,2.6500,2.6500,1900,0
WH.US,5,20131115,213000,2.6500,2.6500,2.6500,2.6500,1400,0
WH.US,5,20131115,215500,2.7000,2.7000,2.7000,2.7000,100,0
WH.US,5,20131115,220000,2.6900,2.7200,2.6900,2.7100,850,0
WH.US,5,20131118,154000,2.7000,2.7000,2.7000,2.7000,999,0
WH.US,5,20131118,155500,2.6700,2.6700,2.6700,2.6700,100,0
WH.US,5,20131118,161000,2.6200,2.7100,2.6200,2.6900,1600,0
WH.US,5,20131118,163500,2.6700,2.7100,2.6600,2.6800,4800,0
WH.US,5,20131118,164000,2.7000,2.7000,2.6800,2.6800,2200,0
WH.US,5,20131118,164500,2.6700,2.7100,2.6700,2.7100,1100,0
WH.US,5,20131118,165000,2.6900,2.6900,2.6200,2.6600,6506,0
WH.US,5,20131118,171000,2.6500,2.7000,2.6500,2.7000,500,0
WH.US,5,20131118,173000,2.6300,2.6400,2.6000,2.6000,3100,0
WH.US,5,20131118,173500,2.6100,2.6600,2.6100,2.6600,200,0
WH.US,5,20131118,174500,2.6600,2.6600,2.6600,2.6600,1000,0
WH.US,5,20131118,175000,2.6500,2.6600,2.6500,2.6600,200,0
WH.US,5,20131118,180000,2.6600,2.6600,2.6600,2.6600,4000,0
WH.US,5,20131118,181000,2.6600,2.6600,2.6600,2.6600,200,0
WH.US,5,20131118,182500,2.6600,2.6600,2.6600,2.6600,1200,0
WH.US,5,20131118,183500,2.6600,2.6600,2.6600,2.6600,3732,0
WH.US,5,20131118,203000,2.6500,2.6600,2.6500,2.6600,1200,0
WH.US,5,20131118,215500,2.6600,2.6600,2.6600,2.6600,1200,0
WH.US,5,20131118,220000,2.6600,2.6600,2.6600,2.6600,2100,0
WH.US,5,20131119,153500,2.6100,2.6500,2.6100,2.6500,961,0
WH.US,5,20131119,155500,2.6500,2.6500,2.6500,2.6500,3200,0
WH.US,5,20131119,161000,2.6200,2.6200,2.6200,2.6200,1500,0
WH.US,5,20131119,161500,2.6200,2.6200,2.6200,2.6200,800,0
WH.US,5,20131119,162000,2.6500,2.6500,2.6500,2.6500,1800,0
WH.US,5,20131119,172000,2.6400,2.6600,2.6400,2.6400,600,0
WH.US,5,20131119,174000,2.6600,2.6600,2.6600,2.6600,100,0
WH.US,5,20131119,183500,2.6400,2.6400,2.6400,2.6400,900,0
WH.US,5,20131119,184000,2.6600,2.6600,2.6500,2.6500,400,0
WH.US,5,20131119,191500,2.6300,2.6300,2.6300,2.6300,200,0
WH.US,5,20131119,192000,2.6600,2.6600,2.6600,2.6600,100,0
WH.US,5,20131119,193000,2.6200,2.6200,2.6200,2.6200,500,0
WH.US,5,20131119,194500,2.6500,2.6500,2.6400,2.6400,400,0
WH.US,5,20131119,195000,2.6600,2.6600,2.6400,2.6500,500,0
WH.US,5,20131119,201500,2.6500,2.6700,2.6400,2.6600,4373,0
WH.US,5,20131119,204000,2.6400,2.6400,2.6400,2.6400,1200,0
WH.US,5,20131119,204500,2.6500,2.6700,2.6400,2.6700,3700,0
WH.US,5,20131119,205000,2.6400,2.6700,2.6400,2.6700,1500,0
WH.US,5,20131119,205500,2.6500,2.6500,2.6500,2.6500,2500,0
WH.US,5,20131119,210000,2.6500,2.6700,2.6500,2.6700,1400,0
WH.US,5,20131119,212000,2.6600,2.6600,2.6500,2.6500,14981,0
WH.US,5,20131119,212500,2.6500,2.6500,2.6500,2.6500,400,0
WH.US,5,20131119,214500,2.6500,2.6500,2.6500,2.6500,600,0
WH.US,5,20131119,215500,2.6500,2.6500,2.6500,2.6500,3700,0
WH.US,5,20131120,155000,2.6300,2.6300,2.6300,2.6300,200,0
WH.US,5,20131120,174000,2.6400,2.6400,2.6400,2.6400,100,0
WH.US,5,20131120,175000,2.6300,2.6300,2.6300,2.6300,100,0
WH.US,5,20131120,184000,2.6500,2.6700,2.6300,2.6500,3200,0
WH.US,5,20131120,184500,2.6500,2.6700,2.6000,2.6700,2001,0
WH.US,5,20131120,204500,2.6300,2.6700,2.6300,2.6700,300,0
WH.US,5,20131120,210500,2.6700,2.6700,2.6700,2.6700,100,0
WH.US,5,20131120,215500,2.6800,2.6800,2.6800,2.6800,100,0
WH.US,5,20131120,220000,2.6600,2.6600,2.6600,2.6600,100,0
WH.US,5,20131121,164000,2.6400,2.6600,2.6300,2.6300,1500,0
WH.US,5,20131121,164500,2.6200,2.6600,2.6200,2.6300,1400,0
WH.US,5,20131121,165000,2.6200,2.6200,2.6200,2.6200,700,0
WH.US,5,20131121,165500,2.6600,2.6600,2.6100,2.6100,1350,0
WH.US,5,20131121,171000,2.6600,2.6600,2.6600,2.6600,1000,0
WH.US,5,20131121,202500,2.6400,2.6400,2.6200,2.6200,1100,0
WH.US,5,20131121,203000,2.6600,2.6600,2.6600,2.6600,100,0
WH.US,5,20131121,220000,2.6200,2.6200,2.6200,2.6200,100,0
WH.US,5,20131122,153500,2.6600,2.6600,2.6400,2.6400,1300,0
WH.US,5,20131122,154500,2.6600,2.6600,2.6600,2.6600,100,0
WH.US,5,20131122,160500,2.6600,2.6700,2.6600,2.6700,1500,0
