<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WMB.US,5,20131112,153500,34.7300,34.8300,34.6300,34.6400,57921,0
WMB.US,5,20131112,154000,34.6300,34.6700,34.6200,34.6300,123910,0
WMB.US,5,20131112,154500,34.6300,34.6400,34.5900,34.6100,127757,0
WMB.US,5,20131112,155000,34.6200,34.6900,34.6100,34.6600,52689,0
WMB.US,5,20131112,155500,34.6600,34.6600,34.5700,34.5800,59669,0
WMB.US,5,20131112,160000,34.5700,34.6400,34.5600,34.6400,43331,0
WMB.US,5,20131112,160500,34.6400,34.6600,34.6000,34.6300,43025,0
WMB.US,5,20131112,161000,34.6300,34.7000,34.6100,34.6100,83616,0
WMB.US,5,20131112,161500,34.6100,34.6300,34.5500,34.6300,131095,0
WMB.US,5,20131112,162000,34.6300,34.7600,34.6000,34.7400,175017,0
WMB.US,5,20131112,162500,34.7400,34.7400,34.6700,34.7000,66001,0
WMB.US,5,20131112,163000,34.7000,34.7100,34.6600,34.6600,72283,0
WMB.US,5,20131112,163500,34.6700,34.6700,34.5800,34.6000,34402,0
WMB.US,5,20131112,164000,34.5900,34.5900,34.5300,34.5500,61028,0
WMB.US,5,20131112,164500,34.5500,34.5600,34.5100,34.5300,136609,0
WMB.US,5,20131112,165000,34.5200,34.5200,34.4300,34.4600,98982,0
WMB.US,5,20131112,165500,34.4500,34.4500,34.3600,34.3600,40747,0
WMB.US,5,20131112,170000,34.3600,34.4100,34.3600,34.4100,68129,0
WMB.US,5,20131112,170500,34.4100,34.4700,34.4000,34.4600,56033,0
WMB.US,5,20131112,171000,34.4600,34.5000,34.4600,34.4800,32286,0
WMB.US,5,20131112,171500,34.4700,34.5700,34.4700,34.5300,58888,0
WMB.US,5,20131112,172000,34.5300,34.5400,34.4900,34.5000,27390,0
WMB.US,5,20131112,172500,34.4900,34.4900,34.4300,34.4700,141550,0
WMB.US,5,20131112,173000,34.4700,34.5600,34.4700,34.5500,73865,0
WMB.US,5,20131112,173500,34.5500,34.5800,34.5400,34.5700,54661,0
WMB.US,5,20131112,174000,34.5600,34.6100,34.5200,34.5300,71320,0
WMB.US,5,20131112,174500,34.5300,34.5400,34.5000,34.5100,61359,0
WMB.US,5,20131112,175000,34.5000,34.5400,34.5000,34.5400,40567,0
WMB.US,5,20131112,175500,34.5400,34.5600,34.5300,34.5600,28197,0
WMB.US,5,20131112,180000,34.5600,34.5700,34.5400,34.5700,42855,0
WMB.US,5,20131112,180500,34.5700,34.6100,34.5600,34.6000,60942,0
WMB.US,5,20131112,181000,34.5900,34.5900,34.5400,34.5700,41294,0
WMB.US,5,20131112,181500,34.5700,34.5800,34.5400,34.5500,38875,0
WMB.US,5,20131112,182000,34.5500,34.5900,34.5400,34.5500,38403,0
WMB.US,5,20131112,182500,34.5500,34.5600,34.5100,34.5300,47985,0
WMB.US,5,20131112,183000,34.5400,34.5400,34.5000,34.5000,23260,0
WMB.US,5,20131112,183500,34.5000,34.5100,34.4600,34.4800,26162,0
WMB.US,5,20131112,184000,34.4900,34.5400,34.4900,34.5400,21222,0
WMB.US,5,20131112,184500,34.5300,34.5700,34.5100,34.5300,43030,0
WMB.US,5,20131112,185000,34.5300,34.5700,34.5300,34.5700,7674,0
WMB.US,5,20131112,185500,34.5700,34.6000,34.5700,34.6000,32800,0
WMB.US,5,20131112,190000,34.6000,34.6100,34.5900,34.6100,29280,0
WMB.US,5,20131112,190500,34.6100,34.6200,34.5900,34.6200,26986,0
WMB.US,5,20131112,191000,34.6200,34.6400,34.6200,34.6400,34693,0
WMB.US,5,20131112,191500,34.6400,34.6600,34.6300,34.6500,28044,0
WMB.US,5,20131112,192000,34.6500,34.6500,34.6100,34.6200,29461,0
WMB.US,5,20131112,192500,34.6200,34.6400,34.6100,34.6200,39927,0
WMB.US,5,20131112,193000,34.6200,34.6600,34.6100,34.6200,53398,0
WMB.US,5,20131112,193500,34.6200,34.6200,34.6000,34.6100,22563,0
WMB.US,5,20131112,194000,34.6100,34.6100,34.5400,34.5600,119142,0
WMB.US,5,20131112,194500,34.5500,34.5600,34.5200,34.5400,81604,0
WMB.US,5,20131112,195000,34.5500,34.5900,34.5400,34.5800,23480,0
WMB.US,5,20131112,195500,34.5900,34.5900,34.5500,34.5700,22673,0
WMB.US,5,20131112,200000,34.5600,34.5900,34.5600,34.5600,18697,0
WMB.US,5,20131112,200500,34.5600,34.6100,34.5600,34.5900,15364,0
WMB.US,5,20131112,201000,34.6000,34.6200,34.6000,34.6200,22371,0
WMB.US,5,20131112,201500,34.6200,34.6600,34.6200,34.6300,43908,0
WMB.US,5,20131112,202000,34.6300,34.6700,34.6300,34.6700,70595,0
WMB.US,5,20131112,202500,34.6700,34.6700,34.6400,34.6500,39221,0
WMB.US,5,20131112,203000,34.6500,34.6700,34.6200,34.6200,38245,0
WMB.US,5,20131112,203500,34.6100,34.6500,34.6100,34.6300,33351,0
WMB.US,5,20131112,204000,34.6300,34.6700,34.6300,34.6500,40852,0
WMB.US,5,20131112,204500,34.6400,34.6500,34.6000,34.6100,35448,0
WMB.US,5,20131112,205000,34.6000,34.6000,34.5600,34.6000,38801,0
WMB.US,5,20131112,205500,34.6000,34.6400,34.5900,34.5900,49172,0
WMB.US,5,20131112,210000,34.6000,34.6700,34.6000,34.6300,53043,0
WMB.US,5,20131112,210500,34.6400,34.6600,34.6300,34.6500,30784,0
WMB.US,5,20131112,211000,34.6400,34.6800,34.6400,34.6800,34363,0
WMB.US,5,20131112,211500,34.6800,34.7200,34.6800,34.6800,74955,0
WMB.US,5,20131112,212000,34.6800,34.6900,34.6600,34.6600,36083,0
WMB.US,5,20131112,212500,34.6600,34.6600,34.6100,34.6400,49322,0
WMB.US,5,20131112,213000,34.6400,34.6500,34.5600,34.5600,53594,0
WMB.US,5,20131112,213500,34.5700,34.6500,34.5600,34.6400,60312,0
WMB.US,5,20131112,214000,34.6400,34.6400,34.5900,34.6000,45079,0
WMB.US,5,20131112,214500,34.5900,34.6400,34.5900,34.6300,63469,0
WMB.US,5,20131112,215000,34.6200,34.6400,34.5800,34.5900,120128,0
WMB.US,5,20131112,215500,34.5900,34.6100,34.5500,34.5500,140196,0
WMB.US,5,20131112,220000,34.5500,34.6000,34.5400,34.5800,207141,0
WMB.US,5,20131112,220500,34.5700,34.5700,34.5700,34.5700,311016,0
WMB.US,5,20131113,153500,34.5300,34.5700,34.4400,34.4500,24113,0
WMB.US,5,20131113,154000,34.4500,34.4800,34.3800,34.4800,92033,0
WMB.US,5,20131113,154500,34.4700,34.5200,34.3500,34.3700,113573,0
WMB.US,5,20131113,155000,34.3700,34.4600,34.3200,34.4000,122276,0
WMB.US,5,20131113,155500,34.4000,34.4100,34.2800,34.2800,92653,0
WMB.US,5,20131113,160000,34.2800,34.3700,34.2600,34.3600,148645,0
