<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPZ.US,5,20131112,153500,49.4600,49.5700,49.4000,49.4600,17204,0
WPZ.US,5,20131112,154000,49.4300,49.6600,49.4300,49.4900,4160,0
WPZ.US,5,20131112,154500,49.4700,49.5700,49.4700,49.4800,1625,0
WPZ.US,5,20131112,155000,49.4800,49.4800,49.4100,49.4300,1700,0
WPZ.US,5,20131112,155500,49.4500,49.5100,49.4200,49.4400,7900,0
WPZ.US,5,20131112,160000,49.4500,49.4500,49.3700,49.3700,4021,0
WPZ.US,5,20131112,160500,49.3900,49.4000,49.2700,49.3500,14148,0
WPZ.US,5,20131112,161000,49.3500,49.5000,49.3500,49.5000,1500,0
WPZ.US,5,20131112,161500,49.5100,49.5100,49.4400,49.4400,1531,0
WPZ.US,5,20131112,162000,49.4500,49.5100,49.4500,49.5100,4200,0
WPZ.US,5,20131112,162500,49.4600,49.4900,49.3600,49.3800,3280,0
WPZ.US,5,20131112,163000,49.3800,49.4600,49.3700,49.4000,2050,0
WPZ.US,5,20131112,163500,49.3900,49.4300,49.2400,49.2900,2794,0
WPZ.US,5,20131112,164000,49.3000,49.3500,49.2200,49.3500,4117,0
WPZ.US,5,20131112,164500,49.3000,49.3000,49.2000,49.2100,4322,0
WPZ.US,5,20131112,165000,49.2300,49.2500,49.2000,49.2200,900,0
WPZ.US,5,20131112,165500,49.2400,49.2900,49.2200,49.2200,2649,0
WPZ.US,5,20131112,170000,49.2100,49.3300,49.2100,49.3300,2985,0
WPZ.US,5,20131112,170500,49.3300,49.3900,49.3300,49.3900,580,0
WPZ.US,5,20131112,171000,49.3600,49.4700,49.3600,49.4500,3656,0
WPZ.US,5,20131112,171500,49.4500,49.6400,49.4500,49.5800,21398,0
WPZ.US,5,20131112,172000,49.5900,49.6100,49.4900,49.5000,8000,0
WPZ.US,5,20131112,172500,49.5000,49.5300,49.4800,49.4900,17545,0
WPZ.US,5,20131112,173000,49.5000,49.5200,49.4600,49.5000,2756,0
WPZ.US,5,20131112,173500,49.5000,49.5200,49.4500,49.5100,11613,0
WPZ.US,5,20131112,174000,49.5200,49.5300,49.4800,49.5000,10085,0
WPZ.US,5,20131112,174500,49.5400,49.6500,49.5300,49.5900,13597,0
WPZ.US,5,20131112,175000,49.6200,49.6200,49.5600,49.6100,3600,0
WPZ.US,5,20131112,175500,49.6300,49.6300,49.5800,49.6100,599,0
WPZ.US,5,20131112,180000,49.6300,49.7400,49.6300,49.6900,9193,0
WPZ.US,5,20131112,180500,49.6800,49.7400,49.6600,49.7400,9208,0
WPZ.US,5,20131112,181000,49.7000,49.7100,49.6300,49.6400,4600,0
WPZ.US,5,20131112,181500,49.6300,49.6800,49.5500,49.5500,2432,0
WPZ.US,5,20131112,182000,49.5600,49.5600,49.5500,49.5500,1300,0
WPZ.US,5,20131112,182500,49.5500,49.5600,49.5100,49.5200,3995,0
WPZ.US,5,20131112,183000,49.5200,49.5800,49.5000,49.5200,2300,0
WPZ.US,5,20131112,183500,49.5300,49.5300,49.5000,49.5300,4595,0
WPZ.US,5,20131112,184000,49.5300,49.5300,49.5000,49.5000,4500,0
WPZ.US,5,20131112,184500,49.5000,49.5200,49.5000,49.5100,4626,0
WPZ.US,5,20131112,185000,49.5100,49.5700,49.5100,49.5300,6999,0
WPZ.US,5,20131112,185500,49.5300,49.5500,49.5100,49.5200,2910,0
WPZ.US,5,20131112,190000,49.5400,49.5400,49.4700,49.5200,4410,0
WPZ.US,5,20131112,190500,49.5200,49.5200,49.4700,49.5000,1227,0
WPZ.US,5,20131112,191000,49.4800,49.5400,49.4800,49.4800,1600,0
WPZ.US,5,20131112,191500,49.5000,49.5100,49.4800,49.4900,1800,0
WPZ.US,5,20131112,192000,49.4900,49.4900,49.4100,49.4400,2860,0
WPZ.US,5,20131112,192500,49.4500,49.4500,49.4100,49.4100,1000,0
WPZ.US,5,20131112,193000,49.4200,49.4300,49.3800,49.3800,910,0
WPZ.US,5,20131112,193500,49.3600,49.3800,49.2900,49.2900,2255,0
WPZ.US,5,20131112,194000,49.3100,49.3200,49.2500,49.2800,4030,0
WPZ.US,5,20131112,194500,49.2700,49.3100,49.2600,49.2800,3450,0
WPZ.US,5,20131112,195000,49.3200,49.3900,49.2900,49.3900,1625,0
WPZ.US,5,20131112,195500,49.3800,49.4500,49.3500,49.4000,3553,0
WPZ.US,5,20131112,200000,49.4600,49.4900,49.4400,49.4700,2065,0
WPZ.US,5,20131112,200500,49.4500,49.4500,49.4300,49.4300,1900,0
WPZ.US,5,20131112,201000,49.4400,49.4800,49.4300,49.4400,4200,0
WPZ.US,5,20131112,201500,49.4700,49.4700,49.3900,49.3900,3126,0
WPZ.US,5,20131112,202000,49.4000,49.4000,49.3400,49.3400,3300,0
WPZ.US,5,20131112,202500,49.3500,49.3900,49.3300,49.3300,2624,0
WPZ.US,5,20131112,203000,49.3300,49.3800,49.3200,49.3500,2300,0
WPZ.US,5,20131112,203500,49.3700,49.4000,49.3400,49.4000,3432,0
WPZ.US,5,20131112,204000,49.4200,49.4300,49.3400,49.4000,25303,0
WPZ.US,5,20131112,204500,49.3700,49.4100,49.3400,49.3900,4331,0
WPZ.US,5,20131112,205000,49.3700,49.4100,49.3600,49.4000,1300,0
