<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WWE.US,5,20131112,153500,13.0300,13.1200,13.0100,13.1100,3500,0
WWE.US,5,20131112,154000,13.1000,13.1100,13.0800,13.1100,950,0
WWE.US,5,20131112,154500,13.1000,13.1100,13.1000,13.1000,500,0
WWE.US,5,20131112,155000,13.1100,13.1100,13.1100,13.1100,100,0
WWE.US,5,20131112,155500,13.1100,13.1100,13.1100,13.1100,100,0
WWE.US,5,20131112,160000,13.1100,13.1100,13.0600,13.0700,1531,0
WWE.US,5,20131112,160500,13.0800,13.0900,13.0400,13.0600,2750,0
WWE.US,5,20131112,161000,13.0700,13.0700,13.0500,13.0500,300,0
WWE.US,5,20131112,161500,13.0600,13.0600,13.0300,13.0400,1887,0
WWE.US,5,20131112,162500,13.0400,13.0700,13.0400,13.0700,300,0
WWE.US,5,20131112,163000,13.0600,13.0600,12.9700,13.0100,1683,0
WWE.US,5,20131112,163500,13.0300,13.0300,13.0300,13.0300,200,0
WWE.US,5,20131112,164000,13.0200,13.0200,13.0000,13.0000,1200,0
WWE.US,5,20131112,164500,12.9700,12.9700,12.9700,12.9700,200,0
WWE.US,5,20131112,165000,12.9500,13.0000,12.9500,13.0000,925,0
WWE.US,5,20131112,165500,12.9800,13.0000,12.9800,12.9800,700,0
WWE.US,5,20131112,170000,13.0000,13.0000,12.9900,13.0000,3026,0
WWE.US,5,20131112,170500,12.9900,13.0100,12.9900,13.0100,1050,0
WWE.US,5,20131112,171000,13.0000,13.0000,13.0000,13.0000,800,0
WWE.US,5,20131112,171500,13.0000,13.0100,13.0000,13.0100,300,0
WWE.US,5,20131112,172000,13.0100,13.0200,13.0100,13.0100,1828,0
WWE.US,5,20131112,172500,13.0200,13.0300,13.0200,13.0300,1200,0
WWE.US,5,20131112,173000,13.0200,13.0400,13.0200,13.0400,557,0
WWE.US,5,20131112,173500,13.0500,13.0600,13.0400,13.0400,7558,0
WWE.US,5,20131112,174000,13.0300,13.0300,13.0000,13.0100,2200,0
WWE.US,5,20131112,174500,13.0100,13.0200,13.0000,13.0000,1000,0
WWE.US,5,20131112,175000,13.0100,13.0100,13.0000,13.0000,1000,0
WWE.US,5,20131112,180500,13.0200,13.0200,13.0200,13.0200,200,0
WWE.US,5,20131112,181000,13.0000,13.0200,12.9900,13.0200,10699,0
WWE.US,5,20131112,181500,13.0200,13.0200,13.0100,13.0200,1100,0
WWE.US,5,20131112,182000,13.0200,13.0400,13.0000,13.0400,3100,0
WWE.US,5,20131112,182500,13.0300,13.0300,13.0100,13.0100,529,0
WWE.US,5,20131112,183000,13.0200,13.0200,13.0100,13.0100,300,0
WWE.US,5,20131112,183500,13.0000,13.0300,13.0000,13.0200,700,0
WWE.US,5,20131112,184000,13.0000,13.0400,13.0000,13.0300,1350,0
WWE.US,5,20131112,184500,13.0100,13.0100,13.0100,13.0100,200,0
WWE.US,5,20131112,185000,13.0400,13.0600,13.0400,13.0500,1000,0
WWE.US,5,20131112,185500,13.0400,13.0700,12.9500,13.0700,3015,0
WWE.US,5,20131112,190000,13.0500,13.0500,13.0400,13.0500,500,0
WWE.US,5,20131112,190500,13.0500,13.0700,13.0500,13.0700,1100,0
WWE.US,5,20131112,191000,13.0500,13.0500,13.0500,13.0500,100,0
WWE.US,5,20131112,191500,13.0500,13.0700,13.0500,13.0600,700,0
WWE.US,5,20131112,192000,13.0700,13.0800,13.0700,13.0800,400,0
WWE.US,5,20131112,193000,13.0800,13.1000,13.0800,13.0900,2223,0
WWE.US,5,20131112,193500,13.0800,13.0800,13.0800,13.0800,200,0
WWE.US,5,20131112,194500,13.0900,13.0900,13.0700,13.0700,600,0
WWE.US,5,20131112,200000,13.0800,13.0800,13.0600,13.0600,1708,0
WWE.US,5,20131112,200500,13.0700,13.0700,13.0700,13.0700,100,0
WWE.US,5,20131112,201000,13.0600,13.0700,13.0600,13.0700,600,0
WWE.US,5,20131112,201500,13.0600,13.0600,13.0600,13.0600,800,0
WWE.US,5,20131112,202000,13.0400,13.0400,13.0400,13.0400,100,0
WWE.US,5,20131112,202500,13.0700,13.0700,13.0700,13.0700,100,0
WWE.US,5,20131112,203000,13.0700,13.0700,13.0700,13.0700,300,0
WWE.US,5,20131112,203500,13.0700,13.0900,13.0700,13.0800,1200,0
WWE.US,5,20131112,204000,13.0800,13.0800,13.0700,13.0700,950,0
WWE.US,5,20131112,204500,13.0800,13.0800,13.0800,13.0800,500,0
WWE.US,5,20131112,205000,13.0800,13.0900,13.0700,13.0700,2158,0
WWE.US,5,20131112,210000,13.0900,13.0900,13.0700,13.0900,1300,0
WWE.US,5,20131112,210500,13.1000,13.1000,13.0900,13.0900,700,0
WWE.US,5,20131112,211000,13.0800,13.0800,13.0800,13.0800,307,0
WWE.US,5,20131112,211500,13.0800,13.1000,13.0800,13.0900,1627,0
WWE.US,5,20131112,212000,13.1000,13.1000,13.0900,13.0900,400,0
WWE.US,5,20131112,212500,13.1000,13.1000,13.0800,13.0800,2300,0
WWE.US,5,20131112,213000,13.0800,13.0800,13.0600,13.0600,600,0
WWE.US,5,20131112,213500,13.0600,13.0800,13.0600,13.0700,700,0
WWE.US,5,20131112,214000,13.0700,13.0700,13.0600,13.0600,3400,0
WWE.US,5,20131112,214500,13.0500,13.0600,13.0500,13.0600,2800,0
WWE.US,5,20131112,215000,13.0600,13.0600,13.0500,13.0600,1800,0
WWE.US,5,20131112,215500,13.0500,13.0600,13.0400,13.0600,3060,0
WWE.US,5,20131112,220000,13.0400,13.0700,13.0400,13.0600,9737,0
WWE.US,5,20131112,220500,13.0500,13.0500,13.0500,13.0500,5739,0
WWE.US,5,20131113,153500,12.9800,12.9800,12.9800,12.9800,760,0
WWE.US,5,20131113,154000,13.0200,13.0200,13.0100,13.0100,200,0
WWE.US,5,20131113,155000,13.0500,13.0500,13.0400,13.0500,300,0
WWE.US,5,20131113,155500,13.0500,13.0500,12.9900,12.9900,800,0
WWE.US,5,20131113,161000,13.0500,13.0500,13.0500,13.0500,200,0
WWE.US,5,20131113,161500,13.0500,13.0500,13.0500,13.0500,100,0
WWE.US,5,20131113,162000,13.0200,13.0500,13.0200,13.0500,200,0
WWE.US,5,20131113,162500,13.0500,13.0500,13.0500,13.0500,200,0
WWE.US,5,20131113,163000,13.0200,13.0400,13.0100,13.0400,1100,0
WWE.US,5,20131113,163500,13.0400,13.0400,13.0300,13.0300,900,0
WWE.US,5,20131113,164500,13.0400,13.0400,13.0400,13.0400,1000,0
WWE.US,5,20131113,165000,13.0500,13.0500,13.0500,13.0500,325,0
WWE.US,5,20131113,165500,13.0500,13.0500,13.0500,13.0500,100,0
WWE.US,5,20131113,170000,13.0500,13.0500,13.0500,13.0500,200,0
WWE.US,5,20131113,170500,13.0500,13.0500,13.0500,13.0500,300,0
WWE.US,5,20131113,171000,13.0600,13.0600,13.0400,13.0500,500,0
WWE.US,5,20131113,171500,13.0600,13.0600,13.0400,13.0500,3200,0
WWE.US,5,20131113,172000,13.0500,13.0500,13.0500,13.0500,1354,0
WWE.US,5,20131113,172500,13.0500,13.0500,13.0300,13.0500,414,0
WWE.US,5,20131113,173000,13.0400,13.0500,13.0300,13.0500,300,0
WWE.US,5,20131113,173500,13.0500,13.0500,13.0500,13.0500,200,0
WWE.US,5,20131113,174000,13.0500,13.0500,13.0400,13.0500,3800,0
WWE.US,5,20131113,174500,13.0500,13.0500,13.0500,13.0500,700,0
WWE.US,5,20131113,175000,13.0500,13.0500,13.0300,13.0400,615,0
WWE.US,5,20131113,175500,13.0400,13.0500,13.0400,13.0500,450,0
WWE.US,5,20131113,180000,13.0500,13.0500,13.0400,13.0400,600,0
WWE.US,5,20131113,180500,13.0400,13.0500,13.0400,13.0500,16700,0
WWE.US,5,20131113,181000,13.0500,13.0500,13.0500,13.0500,1500,0
WWE.US,5,20131113,181500,13.0500,13.0500,13.0500,13.0500,300,0
WWE.US,5,20131113,182000,13.0500,13.0700,13.0500,13.0700,2841,0
WWE.US,5,20131113,182500,13.0900,13.0900,13.0900,13.0900,600,0
WWE.US,5,20131113,183000,13.1000,13.1300,13.1000,13.1300,2079,0
WWE.US,5,20131113,183500,13.1300,13.1300,13.1200,13.1200,2205,0
WWE.US,5,20131113,184000,13.1000,13.1000,13.1000,13.1000,100,0
WWE.US,5,20131113,185000,13.1200,13.1200,13.0800,13.0800,600,0
WWE.US,5,20131113,185500,13.1200,13.1300,13.1200,13.1300,200,0
