<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XCO.US,5,20131112,153500,5.4300,5.4600,5.4100,5.4100,9138,0
XCO.US,5,20131112,154000,5.4100,5.4400,5.4000,5.4200,24861,0
XCO.US,5,20131112,154500,5.4200,5.4400,5.4100,5.4300,11792,0
XCO.US,5,20131112,155000,5.4300,5.4500,5.4200,5.4300,21067,0
XCO.US,5,20131112,155500,5.4200,5.4300,5.4100,5.4300,30014,0
XCO.US,5,20131112,160000,5.4300,5.4300,5.4100,5.4100,19035,0
XCO.US,5,20131112,160500,5.4200,5.4200,5.3700,5.3800,66999,0
XCO.US,5,20131112,161000,5.3800,5.3900,5.3600,5.3700,75294,0
XCO.US,5,20131112,161500,5.3800,5.4000,5.3800,5.4000,18377,0
XCO.US,5,20131112,162000,5.3900,5.4200,5.3800,5.4100,25500,0
XCO.US,5,20131112,162500,5.4100,5.4200,5.4000,5.4000,2700,0
XCO.US,5,20131112,163000,5.3900,5.3900,5.3700,5.3900,32878,0
XCO.US,5,20131112,163500,5.3800,5.3800,5.3600,5.3800,18945,0
XCO.US,5,20131112,164000,5.3800,5.3800,5.3700,5.3700,9498,0
XCO.US,5,20131112,164500,5.3700,5.3700,5.3700,5.3700,3837,0
XCO.US,5,20131112,165000,5.3800,5.3800,5.3600,5.3700,51079,0
XCO.US,5,20131112,165500,5.3600,5.3700,5.3500,5.3500,57731,0
XCO.US,5,20131112,170000,5.3600,5.3600,5.3500,5.3500,40200,0
XCO.US,5,20131112,170500,5.3500,5.3600,5.3300,5.3400,115068,0
XCO.US,5,20131112,171000,5.3400,5.3500,5.3300,5.3500,16300,0
XCO.US,5,20131112,171500,5.3500,5.3600,5.3500,5.3500,16058,0
XCO.US,5,20131112,172000,5.3600,5.3700,5.3500,5.3500,24612,0
XCO.US,5,20131112,172500,5.3600,5.3600,5.3500,5.3600,6463,0
XCO.US,5,20131112,173000,5.3500,5.3700,5.3500,5.3700,16800,0
XCO.US,5,20131112,173500,5.3700,5.3800,5.3600,5.3800,30868,0
XCO.US,5,20131112,174000,5.3800,5.3800,5.3500,5.3700,43118,0
XCO.US,5,20131112,174500,5.3600,5.3600,5.3500,5.3500,18057,0
XCO.US,5,20131112,175000,5.3500,5.3600,5.3500,5.3500,6479,0
XCO.US,5,20131112,175500,5.3500,5.3600,5.3500,5.3500,33392,0
XCO.US,5,20131112,180000,5.3500,5.3600,5.3500,5.3600,21212,0
XCO.US,5,20131112,180500,5.3500,5.3600,5.3500,5.3500,45475,0
XCO.US,5,20131112,181000,5.3500,5.3500,5.3400,5.3500,46116,0
XCO.US,5,20131112,181500,5.3400,5.3600,5.3400,5.3400,29053,0
XCO.US,5,20131112,182000,5.3500,5.3500,5.3400,5.3500,13400,0
XCO.US,5,20131112,182500,5.3500,5.3600,5.3500,5.3600,19987,0
XCO.US,5,20131112,183000,5.3600,5.3600,5.3500,5.3500,16950,0
XCO.US,5,20131112,183500,5.3500,5.3600,5.3500,5.3500,29800,0
XCO.US,5,20131112,184000,5.3500,5.3600,5.3500,5.3600,51215,0
XCO.US,5,20131112,184500,5.3500,5.3600,5.3500,5.3500,7200,0
XCO.US,5,20131112,185000,5.3600,5.3600,5.3500,5.3500,7286,0
XCO.US,5,20131112,185500,5.3500,5.3600,5.3500,5.3500,42800,0
XCO.US,5,20131112,190000,5.3500,5.3600,5.3500,5.3600,5700,0
XCO.US,5,20131112,190500,5.3500,5.3500,5.3400,5.3500,22563,0
XCO.US,5,20131112,191000,5.3500,5.3500,5.3300,5.3400,36309,0
XCO.US,5,20131112,191500,5.3300,5.3400,5.3100,5.3200,117269,0
XCO.US,5,20131112,192000,5.3200,5.3200,5.2700,5.2900,247178,0
XCO.US,5,20131112,192500,5.2900,5.3200,5.2900,5.3200,55944,0
XCO.US,5,20131112,193000,5.3200,5.3400,5.3200,5.3300,20019,0
XCO.US,5,20131112,193500,5.3400,5.3400,5.3300,5.3400,8480,0
XCO.US,5,20131112,194000,5.3400,5.3400,5.2900,5.3000,63837,0
XCO.US,5,20131112,194500,5.3000,5.3100,5.2900,5.3100,41967,0
XCO.US,5,20131112,195000,5.3100,5.3300,5.3100,5.3200,7476,0
XCO.US,5,20131112,195500,5.3200,5.3300,5.3000,5.3000,30000,0
XCO.US,5,20131112,200000,5.3100,5.3100,5.2900,5.3100,27990,0
XCO.US,5,20131112,200500,5.3100,5.3200,5.3000,5.3100,18207,0
XCO.US,5,20131112,201000,5.3200,5.3300,5.3100,5.3100,28500,0
XCO.US,5,20131112,201500,5.3100,5.3100,5.2900,5.3000,30342,0
