<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YGE.US,5,20131112,153500,6.3000,6.3000,6.1200,6.2600,576334,0
YGE.US,5,20131112,154000,6.2500,6.4000,6.1700,6.2300,950679,0
YGE.US,5,20131112,154500,6.2400,6.3800,6.1600,6.3200,548597,0
YGE.US,5,20131112,155000,6.3200,6.3800,6.3100,6.3200,376386,0
YGE.US,5,20131112,155500,6.3200,6.3400,6.2300,6.3000,314272,0
YGE.US,5,20131112,160000,6.3000,6.3200,6.2600,6.3000,176772,0
YGE.US,5,20131112,160500,6.3000,6.3000,6.2000,6.2000,338078,0
YGE.US,5,20131112,161000,6.2000,6.2200,6.1800,6.2000,343965,0
YGE.US,5,20131112,161500,6.2000,6.2400,6.1900,6.2000,186194,0
YGE.US,5,20131112,162000,6.2000,6.2200,6.1700,6.1900,281416,0
YGE.US,5,20131112,162500,6.1900,6.2300,6.1800,6.2300,186737,0
YGE.US,5,20131112,163000,6.2300,6.2900,6.2200,6.2900,241815,0
YGE.US,5,20131112,163500,6.2800,6.2900,6.2500,6.2700,127669,0
YGE.US,5,20131112,164000,6.2600,6.3700,6.2600,6.3500,346746,0
YGE.US,5,20131112,164500,6.3400,6.4500,6.3200,6.4100,419852,0
YGE.US,5,20131112,165000,6.4000,6.4000,6.3300,6.3500,123698,0
YGE.US,5,20131112,165500,6.3600,6.4000,6.3100,6.3200,152238,0
YGE.US,5,20131112,170000,6.3200,6.3200,6.2300,6.2400,177049,0
YGE.US,5,20131112,170500,6.2300,6.3000,6.2200,6.3000,179818,0
YGE.US,5,20131112,171000,6.3000,6.3000,6.2500,6.2600,91805,0
YGE.US,5,20131112,171500,6.2600,6.2900,6.2500,6.2600,88515,0
YGE.US,5,20131112,172000,6.2600,6.2900,6.2500,6.2700,83569,0
YGE.US,5,20131112,172500,6.2700,6.3100,6.2600,6.3100,99857,0
YGE.US,5,20131112,173000,6.3000,6.4900,6.2900,6.3300,130986,0
YGE.US,5,20131112,173500,6.3200,6.3500,6.3200,6.3500,51461,0
YGE.US,5,20131112,174000,6.3400,6.3500,6.2900,6.2900,60181,0
YGE.US,5,20131112,174500,6.2900,6.3500,6.2700,6.3400,78575,0
YGE.US,5,20131112,175000,6.3300,6.3500,6.3100,6.3300,72646,0
YGE.US,5,20131112,175500,6.3300,6.3500,6.3200,6.3300,38188,0
YGE.US,5,20131112,180000,6.3400,6.3500,6.3300,6.3500,43919,0
YGE.US,5,20131112,180500,6.3500,6.3800,6.3400,6.3600,44975,0
YGE.US,5,20131112,181000,6.3600,6.3700,6.3500,6.3600,57669,0
YGE.US,5,20131112,181500,6.3600,6.3800,6.3500,6.3500,69206,0
YGE.US,5,20131112,182000,6.3600,6.3600,6.3200,6.3200,40560,0
YGE.US,5,20131112,182500,6.3200,6.3200,6.3000,6.3100,27625,0
YGE.US,5,20131112,183000,6.3000,6.3300,6.3000,6.3200,61942,0
YGE.US,5,20131112,183500,6.3300,6.3300,6.2900,6.3000,74988,0
YGE.US,5,20131112,184000,6.3100,6.3500,6.3000,6.3300,93199,0
YGE.US,5,20131112,184500,6.3400,6.3400,6.3100,6.3400,56611,0
YGE.US,5,20131112,185000,6.3300,6.3400,6.3000,6.3100,39075,0
YGE.US,5,20131112,185500,6.3100,6.3400,6.3000,6.3300,35263,0
YGE.US,5,20131112,190000,6.3300,6.3300,6.2700,6.2800,88681,0
YGE.US,5,20131112,190500,6.2800,6.2900,6.2700,6.2900,16981,0
YGE.US,5,20131112,191000,6.2900,6.2900,6.2700,6.2700,43396,0
YGE.US,5,20131112,191500,6.2700,6.2900,6.2700,6.2800,67070,0
YGE.US,5,20131112,192000,6.2800,6.2900,6.2700,6.2800,32935,0
YGE.US,5,20131112,192500,6.2800,6.3000,6.2700,6.2900,49534,0
YGE.US,5,20131112,193000,6.3000,6.3000,6.2700,6.2700,49068,0
YGE.US,5,20131112,193500,6.2700,6.2700,6.2100,6.2200,176773,0
YGE.US,5,20131112,194000,6.2100,6.2400,6.2100,6.2400,88306,0
YGE.US,5,20131112,194500,6.2400,6.2400,6.2200,6.2400,41123,0
YGE.US,5,20131112,195000,6.2400,6.2400,6.2300,6.2400,29520,0
YGE.US,5,20131112,195500,6.2300,6.2400,6.2200,6.2300,44046,0
YGE.US,5,20131112,200000,6.2400,6.2400,6.2300,6.2400,46061,0
YGE.US,5,20131112,200500,6.2300,6.2400,6.2200,6.2200,75789,0
YGE.US,5,20131112,201000,6.2200,6.2300,6.2200,6.2200,57540,0
YGE.US,5,20131112,201500,6.2200,6.2300,6.2100,6.2200,85492,0
YGE.US,5,20131112,202000,6.2300,6.2300,6.2200,6.2200,56523,0
YGE.US,5,20131112,202500,6.2300,6.2400,6.2200,6.2400,51011,0
YGE.US,5,20131112,203000,6.2300,6.2400,6.2100,6.2100,61367,0
YGE.US,5,20131112,203500,6.2100,6.2200,6.2100,6.2100,31250,0
YGE.US,5,20131112,204000,6.2100,6.2200,6.2000,6.2100,311016,0
YGE.US,5,20131112,204500,6.2000,6.2100,6.1900,6.2000,50574,0
YGE.US,5,20131112,205000,6.2100,6.2100,6.2000,6.2100,62876,0
YGE.US,5,20131112,205500,6.2100,6.2300,6.2000,6.2200,81803,0
YGE.US,5,20131112,210000,6.2200,6.2700,6.2100,6.2500,53612,0
YGE.US,5,20131112,210500,6.2500,6.2700,6.2300,6.2700,73727,0
YGE.US,5,20131112,211000,6.2600,6.2700,6.2600,6.2700,27153,0
YGE.US,5,20131112,211500,6.2600,6.2700,6.2600,6.2600,47543,0
YGE.US,5,20131112,212000,6.2600,6.2700,6.2400,6.2600,114112,0
YGE.US,5,20131112,212500,6.2600,6.2600,6.2200,6.2200,67203,0
YGE.US,5,20131112,213000,6.2300,6.2300,6.2200,6.2200,69796,0
YGE.US,5,20131112,213500,6.2300,6.2300,6.2100,6.2200,121788,0
YGE.US,5,20131112,214000,6.2300,6.2400,6.2200,6.2200,119171,0
YGE.US,5,20131112,214500,6.2200,6.2300,6.2200,6.2300,117145,0
YGE.US,5,20131112,215000,6.2300,6.2300,6.2200,6.2200,135614,0
YGE.US,5,20131112,215500,6.2300,6.2300,6.2200,6.2300,145384,0
