<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZB-F.US,5,20131112,155500,27.7100,27.7100,27.7100,27.7100,189,0
ZB-F.US,5,20131112,170000,27.7000,27.7000,27.7000,27.7000,1500,0
ZB-F.US,5,20131112,212000,27.5200,27.5300,27.5200,27.5300,400,0
ZB-F.US,5,20131113,161500,27.7000,27.7000,27.7000,27.7000,100,0
ZB-F.US,5,20131113,162500,27.7000,27.7000,27.7000,27.7000,100,0
ZB-F.US,5,20131113,164500,27.7200,27.7200,27.7200,27.7200,100,0
ZB-F.US,5,20131113,165500,27.7200,27.7200,27.7200,27.7200,100,0
ZB-F.US,5,20131113,175000,27.7800,27.7800,27.7800,27.7800,200,0
ZB-F.US,5,20131113,181000,27.7500,27.7500,27.7500,27.7500,100,0
ZB-F.US,5,20131113,183000,27.7500,27.7500,27.7500,27.7500,200,0
ZB-F.US,5,20131113,190000,27.7200,27.7200,27.7200,27.7200,100,0
ZB-F.US,5,20131113,190500,27.7200,27.7200,27.7200,27.7200,100,0
ZB-F.US,5,20131113,193000,27.7200,27.7200,27.7200,27.7200,288,0
ZB-F.US,5,20131113,200500,27.7200,27.7200,27.7200,27.7200,100,0
ZB-F.US,5,20131113,210000,27.7100,27.7100,27.7100,27.7100,100,0
ZB-F.US,5,20131113,210500,27.6400,27.6400,27.6400,27.6400,100,0
ZB-F.US,5,20131113,213500,27.7200,27.7200,27.7200,27.7200,100,0
ZB-F.US,5,20131113,220000,27.6000,27.6000,27.6000,27.6000,193,0
ZB-F.US,5,20131114,155000,27.5400,27.5400,27.5400,27.5400,108,0
ZB-F.US,5,20131114,160500,27.4100,27.4100,27.4100,27.4100,100,0
ZB-F.US,5,20131114,205000,27.4000,27.5500,27.4000,27.5500,1811,0
ZB-F.US,5,20131114,210000,27.5800,27.5800,27.5500,27.5800,1606,0
ZB-F.US,5,20131114,213500,27.4200,27.4200,27.4200,27.4200,177,0
ZB-F.US,5,20131114,221000,27.5200,27.5200,27.5200,27.5200,100,0
ZB-F.US,5,20131115,161000,27.5200,27.5200,27.5200,27.5200,1000,0
ZB-F.US,5,20131115,162000,27.5200,27.5200,27.5200,27.5200,1609,0
ZB-F.US,5,20131115,192500,27.7800,27.7800,27.7800,27.7800,400,0
ZB-F.US,5,20131115,202500,27.5400,27.5400,27.5000,27.5000,400,0
ZB-F.US,5,20131115,203000,27.4600,27.4600,27.4600,27.4600,100,0
ZB-F.US,5,20131115,215500,27.4500,27.4500,27.4200,27.4200,468,0
ZB-F.US,5,20131118,215000,27.5500,27.5500,27.5500,27.5500,155,0
ZB-F.US,5,20131119,153500,27.5500,27.5500,27.5500,27.5500,100,0
ZB-F.US,5,20131119,155500,27.4200,27.4400,27.4200,27.4400,383,0
ZB-F.US,5,20131119,170000,27.4900,27.4900,27.4900,27.4900,101,0
ZB-F.US,5,20131119,181500,27.6500,27.6500,27.6500,27.6500,200,0
ZB-F.US,5,20131119,183000,27.5100,27.5100,27.5000,27.5000,1400,0
ZB-F.US,5,20131119,191500,27.5500,27.5500,27.5500,27.5500,1100,0
ZB-F.US,5,20131119,210500,27.6400,27.6400,27.6400,27.6400,168,0
ZB-F.US,5,20131119,211500,27.4600,27.4600,27.4600,27.4600,105,0
ZB-F.US,5,20131119,215000,27.6400,27.6400,27.6400,27.6400,271,0
ZB-F.US,5,20131119,215500,27.6400,27.6400,27.6400,27.6400,250,0
ZB-F.US,5,20131120,162000,27.5300,27.5300,27.5300,27.5300,200,0
